,drug,cell_line,IC50,prediction
0,Lapatinib,SIDM01251,2.2817,3.4865146
1,ABT737,SIDM00975,0.613451,3.2776747
2,Dinaciclib,SIDM01073,-3.314845,-0.88666266
3,AZD5363,SIDM00863,1.885114,2.2272007
4,Trametinib,SIDM01248,-1.231516,-0.18355452
5,Ipatasertib,SIDM00553,4.693632,3.1685085
6,WZ4003,SIDM00180,3.911978,3.9412014
7,AZD5582,SIDM00668,1.92563,1.1906555
8,Sepantronium bromide,SIDM01248,-4.8301425,-3.4205894
9,Cyclophosphamide,SIDM00233,4.507502,4.3689175
10,PLX-4720,SIDM00277,1.0639263333333335,3.0675192
11,BIBR-1532,SIDM00044,6.046545,4.554898
12,AGI-5198,SIDM00250,4.209991,4.471973
13,Irinotecan,SIDM00269,-2.022891,-0.9909765
14,AZD3759,SIDM01179,4.416146,2.9171233
15,Lapatinib,SIDM00326,2.4395995,3.4158201
16,OSI-027,SIDM01073,0.840315,1.5521016
17,LY2109761,SIDM01064,5.144615,4.8922973
18,Gemcitabine,SIDM00416,-2.5637043333333334,-2.9542375
19,Camptothecin,SIDM00971,2.836993,-1.5381567
20,Oxaliplatin,SIDM00252,5.741103,5.6115727
21,5-Fluorouracil,SIDM00441,1.35804,1.5289341
22,Sabutoclax,SIDM00195,-1.271226,-1.3481712
23,AGI-6780,SIDM00250,2.6466775,2.902896
24,Alisertib,SIDM01019,0.4932335,-0.7429407
25,Lapatinib,SIDM00923,2.094829,2.7307334
26,RVX-208,SIDM00310,5.92736,6.0616026
27,Venetoclax,SIDM01179,4.376981,2.926917
28,Dactolisib,SIDM00199,-2.6580950000000003,-2.5269704
29,Luminespib,SIDM00438,-2.1503135,-4.3670325
30,LY2109761,SIDM00195,6.166521,5.0438576
31,Foretinib,SIDM00294,-1.2807965,2.7757735
32,Linsitinib,SIDM00487,1.447848,3.0646946
33,EPZ004777,SIDM00487,4.404049,5.4534025
34,PD0325901,SIDM01098,0.8736655,-0.8240561
35,Wee1 Inhibitor,SIDM00233,-0.588905,1.7595937
36,Afatinib,SIDM00269,1.3930733333333334,1.766533
37,AGI-5198,SIDM00326,4.083026,4.148763
38,Taselisib,SIDM00948,2.6512,0.5901068
39,Sepantronium bromide,SIDM00292,-5.3072425,-2.4618318
40,AZD4547,SIDM00441,2.596097666666666,2.2224379
41,Venetoclax,SIDM00863,1.978407,1.3213844
42,Alpelisib,SIDM00250,3.106724,2.8977618
43,Foretinib,SIDM00487,1.061984,2.4057684
44,Talazoparib,SIDM00233,0.922631,1.9264815
45,PRT062607,SIDM01064,4.263023,3.1010938
46,Ulixertinib,SIDM00975,1.1531875,2.663046
47,Linsitinib,SIDM01073,3.70783,3.3773994
48,LGK974,SIDM00438,3.2050435,2.165342
49,AZ960,SIDM00326,0.653611,1.2452154
50,ABT737,SIDM00438,3.009115,1.2005968
51,IWP-2,SIDM00310,4.323783,3.156764
52,AZD6738,SIDM00269,0.5936670000000001,2.2355938
53,BMS-345541,SIDM00292,3.9338005,3.1616535
54,AZD8186,SIDM00292,5.1077525,2.166346
55,OF-1,SIDM00250,2.718002,4.108842
56,Afatinib,SIDM00975,3.2141673333333336,2.5513618
57,Gefitinib,SIDM00292,3.6890855,2.5558133
58,AZD4547,SIDM00269,1.9696493333333336,1.7354426
59,Nilotinib,SIDM00441,1.548936,1.1849763
60,LY2109761,SIDM00975,3.761119,5.137015
61,AZD5363,SIDM00292,3.179298,3.1065187
62,NVP-ADW742,SIDM01098,0.872284,1.8936753
63,Lapatinib,SIDM01179,4.714086,3.9172344
64,Niraparib,SIDM00441,0.235614,3.5454016
65,PCI-34051,SIDM00863,1.835628,3.131335
66,PD0325901,SIDM00441,-2.9891745,-0.49585086
67,AZD4547,SIDM00416,3.2047535,2.0025625
68,WZ4003,SIDM00292,6.857058,3.9054399
69,Olaparib,SIDM00668,3.951286,2.775662
70,PLX-4720,SIDM00971,5.755802666666667,3.27804
71,Luminespib,SIDM00277,-3.9189195,-4.3436255
72,VE821,SIDM00487,2.83823,3.4625826
73,Buparlisib,SIDM00487,0.675281,2.3336134
74,I-BRD9,SIDM00180,5.916718,5.091273
75,Gefitinib,SIDM01064,2.608511,2.15798
76,Crizotinib,SIDM00975,3.167436,2.631798
77,Sorafenib,SIDM00277,-1.4240849999999998,1.1809973
78,Obatoclax Mesylate,SIDM01251,-1.1573925,-0.54271793
79,PD173074,SIDM00416,2.649958,1.1652865
80,Cisplatin,SIDM00326,2.638646,2.7050734
81,AZD8186,SIDM00438,3.852477,0.43082637
82,I-BET-762,SIDM00553,2.677082,0.6045944
83,Cyclophosphamide,SIDM00971,6.144244,3.3914993
84,Leflunomide,SIDM00269,5.119051,4.516704
85,AZD7762,SIDM00863,-1.459682,-1.5208879
86,Cytarabine,SIDM00971,3.507725,1.003561
87,Linsitinib,SIDM00441,-0.1022414999999999,3.0984826
88,OTX015,SIDM00250,4.405693,3.1498404
89,PF-4708671,SIDM00971,3.9385975,1.5882963
90,Venetoclax,SIDM01073,1.536721,0.10757327
91,Savolitinib,SIDM00233,1.564552,1.8654783
92,Cytarabine,SIDM00326,0.3479595000000001,0.4687274
93,Ibrutinib,SIDM00923,2.967265,3.170768
94,VE-822,SIDM00668,1.923703,0.6988865
95,PD173074,SIDM00553,1.880827,0.65921277
96,CZC24832,SIDM01179,5.693193,5.5487704
97,IWP-2,SIDM00233,1.22916,0.116383806
98,Ipatasertib,SIDM01248,5.506761,3.351757
99,Ruxolitinib,SIDM00553,3.7201225,3.19583
100,Rapamycin,SIDM00863,-2.327929,-4.087773
101,Nilotinib,SIDM00195,3.382126,3.0131245
102,GDC0810,SIDM00195,4.988147,4.510379
103,RVX-208,SIDM01019,4.88756,4.069606
104,AZ6102,SIDM00195,4.225058,2.296606
105,GSK591,SIDM00487,4.956636,3.4020102
106,Leflunomide,SIDM00233,4.156228,4.4314365
107,Camptothecin,SIDM01073,-4.960306,-4.3422656
108,Uprosertib,SIDM01064,3.6013095,2.93327
109,Camptothecin,SIDM00553,-4.648031,-3.8446481
110,Sabutoclax,SIDM00668,-0.733901,-2.493917
111,MIRA-1,SIDM00044,5.696241,4.7519937
112,Ipatasertib,SIDM00199,3.476206,3.695706
113,Nutlin-3a (-),SIDM01248,4.944979,3.7529278
114,Palbociclib,SIDM00923,3.4373645,2.6250076
115,Olaparib,SIDM00326,3.6733356666666666,3.860151
116,VE821,SIDM01064,3.399881,3.4136815
117,MIRA-1,SIDM00195,4.286122,3.7346756
118,MN-64,SIDM00269,4.306409,2.582417
119,Erlotinib,SIDM01248,3.625092,3.6885004
120,Erlotinib,SIDM00233,2.6027955,3.0979385
121,Buparlisib,SIDM00250,0.775523,1.9040933
122,NVP-ADW742,SIDM00252,5.718246,2.9928622
123,Vorinostat,SIDM00416,0.6891035,0.13229483
124,ML323,SIDM00923,4.747278,4.458298
125,Buparlisib,SIDM00971,2.736042,0.8651411
126,Tamoxifen,SIDM00668,4.4278385,2.5386896
127,AZ6102,SIDM01251,1.966865,2.3718336
128,GSK1904529A,SIDM00326,2.855438,3.3665118
129,Ibrutinib,SIDM00310,4.575562,5.6374183
130,ABT737,SIDM00487,1.854916,2.9865842
131,Gefitinib,SIDM00326,1.575468,2.0135958
132,AZD5363,SIDM00975,3.893155,2.5049796
133,EPZ5676,SIDM00250,5.355187,6.26518
134,MIM1,SIDM00180,4.132666,3.8605673
135,Vinorelbine,SIDM01248,-3.309597,-2.6863284
136,PD173074,SIDM00195,3.6939545,1.7192124
137,Dactolisib,SIDM00971,1.2319415,-2.078147
138,BMS-345541,SIDM00668,2.4324545000000004,2.1314044
139,RVX-208,SIDM00416,4.003904,3.727975
140,Luminespib,SIDM00971,-1.78049,-3.8172472
141,Docetaxel,SIDM00180,-4.3320675,-2.5495
142,NVP-ADW742,SIDM00294,0.87192,1.2818537
143,Luminespib,SIDM00416,-2.5077495,-3.7743227
144,Epirubicin,SIDM00975,-0.836183,-2.7244306
145,BMS-536924,SIDM00294,2.805907,1.2565391
146,VE821,SIDM00292,5.209827,4.228799
147,AT13148,SIDM00416,0.996841,2.696359
148,WEHI-539,SIDM00250,3.484561,4.8571696
149,EPZ004777,SIDM00044,5.944139,5.414089
150,Rapamycin,SIDM01064,-2.2138335,-2.5336907
151,Taselisib,SIDM00199,2.597253,2.6994982
152,Nilotinib,SIDM00269,1.864165,2.38513
153,Savolitinib,SIDM00975,2.308253,2.7172139
154,CZC24832,SIDM00923,5.363678,4.7738485
155,Erlotinib,SIDM00416,2.9720055,2.3501785
