,drug,cell_line,IC50,prediction
0,Linsitinib,SIDM00832,3.7264865,2.113493
1,Pictilisib,SIDM00227,1.0316663333333331,1.0579131
2,Ulixertinib,SIDM00835,3.2002795,2.6346855
3,Entinostat,SIDM00501,2.45602,2.1746788
4,MN-64,SIDM00814,5.15109,5.024926
5,Uprosertib,SIDM00176,3.2102975,2.6153328
6,Dabrafenib,SIDM00389,3.288884,2.3308845
7,NVP-ADW742,SIDM00550,1.679199,2.265301
8,Wnt-C59,SIDM00047,4.068933,4.0809546
9,XAV939,SIDM00316,4.215832499999999,4.958503
10,IWP-2,SIDM00864,2.35505,3.307556
11,Taselisib,SIDM00627,-0.696875,0.49931332
12,Dasatinib,SIDM00251,4.14583,2.0682678
13,Sabutoclax,SIDM00577,-2.165106,-1.417033
14,WIKI4,SIDM00377,4.253178,4.199295
15,Sepantronium bromide,SIDM00047,-5.463869,-3.1942022
16,PFI3,SIDM00846,5.050288,5.9295864
17,AGI-6780,SIDM01042,2.189475,3.0897408
18,WEHI-539,SIDM00528,4.668635,3.4208615
19,Daporinad,SIDM01155,-1.381173,-2.9566927
20,Gefitinib,SIDM00205,1.0962685,1.0602993
21,MIRA-1,SIDM00896,3.206583,3.6090367
22,LGK974,SIDM00230,3.247925,3.4384947
23,Luminespib,SIDM00465,-2.04523,-0.2961997
24,Gemcitabine,SIDM00535,-1.6671273333333334,-2.7165523
25,AZD3759,SIDM00384,1.73871,2.2054996
26,Luminespib,SIDM00129,-1.9222365,-0.4445162
27,Dasatinib,SIDM01174,3.357426,1.7778685
28,AT13148,SIDM00241,2.059037,4.7546663
29,RVX-208,SIDM00214,5.345416,3.8295193
30,I-BRD9,SIDM00261,3.161915,4.037908
31,Lapatinib,SIDM00045,2.0251475,2.313756
32,XAV939,SIDM00227,3.9083025,5.082139
33,EPZ5676,SIDM00896,4.458965,4.340596
34,Osimertinib,SIDM00214,1.115264,1.3155341
35,Sorafenib,SIDM00377,3.169837,2.9957175
36,Cediranib,SIDM00047,1.290583,3.8388534
37,Vinblastine,SIDM00176,-2.9221235,-4.1236124
38,Oxaliplatin,SIDM00550,5.7256415,4.5092216
39,PLX-4720,SIDM00261,4.321038,3.643008
40,Epirubicin,SIDM00214,-0.753007,-0.74084955
41,LY2109761,SIDM00835,6.28493,5.4190435
42,I-BET-762,SIDM00501,4.056707,3.2833307
43,AZD7762,SIDM00227,-0.628864,2.4452353
44,ML323,SIDM01042,4.020805,4.6365833
45,SB216763,SIDM01042,4.554536,3.5589824
46,Lapatinib,SIDM00896,2.1056980000000003,2.2802265
47,Olaparib,SIDM00261,1.0119793333333331,2.267929
48,Vinblastine,SIDM00389,-6.368668,-5.0796995
49,AZD5582,SIDM00577,4.642208,2.2834044
50,MK-8776,SIDM00577,2.163877,3.1675587
51,Camptothecin,SIDM00835,0.012046,-1.4131134
52,VE-822,SIDM01174,6.23469,2.921264
53,WZ4003,SIDM00389,1.463999,2.7069435
54,AMG-319,SIDM00389,3.173974,3.4972892
55,Pictilisib,SIDM00577,0.9474143333333332,0.9740967
56,Palbociclib,SIDM00832,4.153731,1.9278626
57,Osimertinib,SIDM00389,1.297342,1.0339844
58,Sapitinib,SIDM01042,3.471816,3.24354
59,EPZ5676,SIDM00814,5.400431,5.772875
60,GSK1904529A,SIDM00316,3.366958,3.529647
61,AT13148,SIDM00251,4.590344,4.255956
62,AT13148,SIDM00261,1.914519,3.8993373
63,Cediranib,SIDM00389,1.195298,2.1219766
64,Linsitinib,SIDM00230,2.7885565000000003,2.7749496
65,Oxaliplatin,SIDM00251,3.969453,3.99592
66,Ruxolitinib,SIDM00501,4.773867,4.565527
67,5-Fluorouracil,SIDM00045,1.814785,3.3273196
68,Savolitinib,SIDM00627,3.529845,3.0355864
69,Gefitinib,SIDM01155,2.3004465,2.4127612
70,Niraparib,SIDM00214,4.047082,5.0782375
71,LCL161,SIDM00384,2.9158075,3.2666838
72,Cisplatin,SIDM00577,1.556485,2.222315
73,AMG-319,SIDM00864,5.218314,5.113433
74,ZM447439,SIDM01042,1.8791845,2.8863292
75,Cisplatin,SIDM00316,2.198929,2.2110527
76,UMI-77,SIDM00227,3.677664,2.755733
77,Buparlisib,SIDM00550,1.012369,-0.10742075
78,AMG-319,SIDM00528,5.220404,5.115368
79,Sapitinib,SIDM00465,-1.078311,3.46971
80,NVP-ADW742,SIDM00205,-0.089209,1.8705629
81,Temozolomide,SIDM00384,2.967521,4.5829554
82,MK-8776,SIDM00251,0.595505,3.2261753
83,Foretinib,SIDM00227,-0.5065295,1.0720509
84,Wnt-C59,SIDM00846,2.795865,3.5023773
85,Taselisib,SIDM01042,0.484697,2.0752115
86,OTX015,SIDM00176,3.412868,2.7677584
87,Entospletinib,SIDM00577,4.895605,3.2238245
88,PCI-34051,SIDM00832,5.9183,4.710297
89,MN-64,SIDM01042,4.532854,5.3450217
90,GSK2578215A,SIDM00550,4.44357,3.6013818
91,Tamoxifen,SIDM01042,2.6248685,3.8083022
92,Afatinib,SIDM00261,2.078414,1.828469
