,drug,cell_line,IC50,prediction
0,Afatinib,SIDM00289,1.7911963333333334,0.838381
1,AZD5582,SIDM00277,-0.0211104999999999,0.39955732
2,LGK974,SIDM01145,3.2463005000000003,3.371955
3,EPZ5676,SIDM01228,6.065731,5.861824
4,AZ960,SIDM00445,2.460955,2.2253826
5,Ulixertinib,SIDM00302,3.2015695,1.8232037
6,Alisertib,SIDM00621,0.3069999999999999,0.55784965
7,Leflunomide,SIDM01042,5.062318,4.1449327
8,Vinorelbine,SIDM01095,-3.62104,-3.5714579
9,Pictilisib,SIDM01197,0.6711546666666667,1.8941147
10,Nilotinib,SIDM00579,2.2341145,1.8716826
11,Pevonedistat,SIDM01197,3.6369465,2.5380795
12,WEHI-539,SIDM00422,-0.659821,1.7209985
13,Olaparib,SIDM00885,3.069203,3.9132583
14,Entospletinib,SIDM00638,3.596209,3.8782084
15,Erlotinib,SIDM00976,4.36099,3.023416
16,GSK2578215A,SIDM00274,5.753257,4.4142666
17,AZ960,SIDM00180,0.608721,1.8001542
18,Buparlisib,SIDM00900,-0.20368,-0.5151034
19,UMI-77,SIDM01197,5.513878,3.5728514
20,Foretinib,SIDM00967,1.229189,2.5191479
21,RVX-208,SIDM01090,4.203541,3.6270976
22,Oxaliplatin,SIDM00324,4.4340905,4.092369
23,Entospletinib,SIDM00064,2.861308,3.795883
24,Ulixertinib,SIDM00422,2.5125900000000003,1.812576
25,Pevonedistat,SIDM00251,0.1539199999999999,0.935612
26,LY2109761,SIDM01175,6.611881,5.9314604
27,AZD6738,SIDM00377,3.033682,1.9622173
28,GSK591,SIDM00923,4.151483,4.44172
29,Gemcitabine,SIDM01197,2.464501,0.5662807
30,Cytarabine,SIDM00900,0.2204635,-1.8341695
31,Paclitaxel,SIDM01205,-2.7631605,-4.1768246
32,PRT062607,SIDM00137,1.965982,3.1636832
33,Leflunomide,SIDM00491,5.603959,5.074276
34,Buparlisib,SIDM00276,0.442025,0.43643972
35,RVX-208,SIDM00842,4.756647,4.1263103
36,MN-64,SIDM00542,5.929403,5.139045
37,Sepantronium bromide,SIDM00834,2.209383,-1.4446449
38,Linsitinib,SIDM00834,3.1938375,3.2765298
39,LGK974,SIDM01197,3.592521,4.3297453
40,Bortezomib,SIDM01163,-2.579502,-3.7159343
41,AZD8186,SIDM01163,2.617801,2.578261
42,AGI-6780,SIDM00411,4.029636,4.1141577
43,I-BRD9,SIDM00096,1.378659,2.3466487
44,AZD5363,SIDM00962,2.58898,0.9358152
45,OF-1,SIDM00520,4.622042,4.968154
46,GSK1904529A,SIDM00527,3.5077225,2.734321
47,MIRA-1,SIDM00424,4.171627,4.3157578
48,Cyclophosphamide,SIDM00412,3.329276,3.9947884
49,Wee1 Inhibitor,SIDM00953,0.4623144999999999,1.5087494
50,Foretinib,SIDM00427,-1.184961,-0.23250666
51,Crizotinib,SIDM00129,2.522388,1.9086244
52,WIKI4,SIDM01092,4.673951,3.9176114
53,Pictilisib,SIDM00632,2.4895086666666666,1.169245
54,AGI-6780,SIDM00549,2.276534,1.981146
55,ABT737,SIDM00351,0.932413,2.6346884
56,AZD5582,SIDM00969,2.3292795,2.2651918
57,Niraparib,SIDM00111,5.879019,4.559327
58,Wnt-C59,SIDM00113,4.3332820000000005,5.07273
59,Entinostat,SIDM00418,3.476636,3.4038067
60,XAV939,SIDM00047,1.6609379999999998,4.172392
61,MK-2206,SIDM00976,2.9268975,2.6948764
62,Epirubicin,SIDM00003,-1.752856,-1.6992255
63,GSK343,SIDM00793,3.029475,3.6581533
64,Osimertinib,SIDM00680,1.856094,2.554237
65,Nutlin-3a (-),SIDM00699,4.5789105,4.7997465
66,AZD8055,SIDM00136,0.6001915,-0.002217114
67,Oxaliplatin,SIDM00553,1.888569,2.760462
68,PRT062607,SIDM00136,1.968832,2.474495
69,Erlotinib,SIDM00448,3.411739,2.9658306
70,AZD7762,SIDM00394,-0.6072073333333333,0.7046966
71,GDC0810,SIDM00923,4.090868,4.5077906
72,Dactolisib,SIDM00120,1.3227745,-1.1182314
73,PFI3,SIDM00233,4.506931,4.350828
