,drug,cell_line,IC50,prediction
0,Linsitinib,SIDM00202,1.1471795,1.764389
1,I-BRD9,SIDM00375,5.680769,4.7185225
2,Buparlisib,SIDM00225,1.649161,1.6305718
3,BMS-754807,SIDM00136,-1.4329275,0.7261584
4,Entospletinib,SIDM00958,2.171126,0.5849885
5,Osimertinib,SIDM00412,-0.223318,0.8789902
6,Venetoclax,SIDM01174,4.563162,3.7786872
7,Paclitaxel,SIDM01006,-4.897769,-3.075544
8,Niraparib,SIDM00099,6.730591,5.315966
9,Palbociclib,SIDM00935,0.8469855000000001,1.075793
10,Foretinib,SIDM00233,0.1451215,1.8516835
11,GSK2578215A,SIDM00444,2.323853,5.1566887
12,Trametinib,SIDM00099,0.1157444999999999,1.6825702
13,AZ6102,SIDM00530,3.614544,2.6051242
14,VX-11e,SIDM00808,3.520727,2.159247
15,Fulvestrant,SIDM00111,3.669574666666667,4.0018983
16,Afatinib,SIDM00224,3.1259339999999995,2.1505218
17,Tamoxifen,SIDM00606,3.101656,3.4882247
18,PFI3,SIDM00834,5.964981,4.7000985
19,VX-11e,SIDM00504,3.174275,2.2815835
20,BIBR-1532,SIDM00424,4.292196,3.9189186
21,OSI-027,SIDM00810,3.5443775,1.4214072
22,EPZ004777,SIDM00375,5.754359,5.3965993
23,VE821,SIDM00783,5.195233,3.6725657
24,Cytarabine,SIDM01006,3.1105215,-0.98702776
25,SCH772984,SIDM01093,4.361179,4.006728
26,BMS-536924,SIDM00549,2.829683333333333,-0.12455785
27,Dinaciclib,SIDM00264,-1.855651,1.2692156
28,Ipatasertib,SIDM00600,2.843806,3.7210476
29,MIRA-1,SIDM00846,4.336999,4.8747654
30,Docetaxel,SIDM00438,-1.761089,-3.1935112
31,AZD7762,SIDM00842,-0.683607,-0.313419
32,MIM1,SIDM01248,4.162001,3.556337
33,AZ960,SIDM00309,1.640554,1.7053657
34,Buparlisib,SIDM00537,0.369063,1.0374331
35,AZD5363,SIDM00623,3.850706,3.1519153
36,Ipatasertib,SIDM00487,3.769082,2.554499
37,Dabrafenib,SIDM00758,3.7684915,3.0068314
38,LGK974,SIDM00260,3.0883595,3.1257803
39,BMS-536924,SIDM00841,2.34875,1.34784
40,P22077,SIDM00261,3.726985,3.1913714
41,Sabutoclax,SIDM00243,-3.164077,-0.6486503
42,Luminespib,SIDM00962,-3.5437135,-4.629192
43,Erlotinib,SIDM01259,3.6602205,2.419655
44,Sorafenib,SIDM01042,1.4984385,1.356598
45,IWP-2,SIDM00104,3.278315,3.3771257
46,Taselisib,SIDM01007,1.123819,0.98644674
47,SCH772984,SIDM00465,1.827665,2.5203764
48,LY2109761,SIDM00343,6.074611,5.758984
49,Gefitinib,SIDM00527,2.430632,2.3071854
50,EPZ5676,SIDM00612,6.052595,6.6151023
51,VE-822,SIDM00129,1.418061,3.1005175
52,LY2109761,SIDM00218,8.170369,7.064091
53,Dasatinib,SIDM00842,2.53254,1.5986236
54,LGK974,SIDM00832,3.596705,3.6938875
55,Gefitinib,SIDM00627,0.5111165,1.558821
56,Ibrutinib,SIDM00519,5.690033,5.126582
57,GSK343,SIDM00483,4.4337295,4.940046
58,Leflunomide,SIDM00411,6.228413,5.808024
59,PLX-4720,SIDM00137,5.130909,3.8328173
60,ML323,SIDM00121,3.255807,2.9083729
61,Sapitinib,SIDM00374,5.102179,0.6677216
62,AZD7762,SIDM00540,0.114367,-1.3504387
63,Lapatinib,SIDM00976,4.079491,3.8045447
64,Osimertinib,SIDM00832,3.396377,2.4105327
65,NVP-ADW742,SIDM00508,0.637452,1.6152391
66,BMS-536924,SIDM00299,1.5834793333333337,1.3140208
67,XAV939,SIDM00550,4.145919,3.4410994
68,Oxaliplatin,SIDM00104,6.3861865,5.034249
69,Olaparib,SIDM01011,2.6509276666666666,2.3843353
70,Oxaliplatin,SIDM00612,6.6432255,5.232804
71,I-BET-762,SIDM01132,4.675969,2.0441887
72,LGK974,SIDM00537,3.657959,2.933851
73,BMS-345541,SIDM00808,2.1834875,2.005437
74,Vorinostat,SIDM00285,0.312737,0.6507195
75,Vinblastine,SIDM00596,-2.3201215,-1.73968
76,Dactolisib,SIDM00542,-1.895397,-1.2703949
77,Linsitinib,SIDM01160,4.3940165,3.0668857
78,IWP-2,SIDM00098,3.953942,2.7748573
79,PLX-4720,SIDM00472,5.157571,4.4040766
80,Buparlisib,SIDM00174,-0.737503,0.62267435
81,SCH772984,SIDM00045,1.41514,1.0593418
82,Trametinib,SIDM00308,-5.543896,-1.2680621
83,NVP-ADW742,SIDM01175,6.103876,5.1422997
84,Foretinib,SIDM01245,-1.722253,0.8251138
85,Lapatinib,SIDM01122,4.48507,3.7300925
86,Crizotinib,SIDM00262,1.920884,3.0214188
87,MK-8776,SIDM00064,4.537834,3.4474623
88,Entospletinib,SIDM00263,2.413226,3.6442907
89,I-BET-762,SIDM00496,2.3780465,2.8670118
90,Sapitinib,SIDM00324,4.596575,2.4611828
91,Gemcitabine,SIDM00388,-2.2657086666666664,-2.3601863
92,VE821,SIDM01132,4.969494,3.2809055
93,LGK974,SIDM00101,3.9959995,3.6500242
94,Taselisib,SIDM00328,-1.106792,1.0094697
95,VE-822,SIDM00234,4.174516,0.698784
96,MN-64,SIDM00263,4.451203,3.9168231
97,Sabutoclax,SIDM00042,-0.390211,-0.023326755
98,Linsitinib,SIDM00833,2.9068465,3.262769
99,PRT062607,SIDM00242,1.49152,2.5017836
100,Entospletinib,SIDM00362,2.400345,1.9776654
101,BMS-345541,SIDM00631,3.6118015,2.8285162
102,Leflunomide,SIDM00188,6.060631,4.930981
103,Luminespib,SIDM00591,-3.088596,-2.989845
104,Talazoparib,SIDM00326,2.176074,3.1595273
105,BMS-536924,SIDM00384,1.2174345,-0.70679164
106,Obatoclax Mesylate,SIDM00923,-0.377454,-0.38707787
107,Epirubicin,SIDM00101,0.311672,0.09283683
108,Dinaciclib,SIDM00627,-3.366333,0.2714423
