,drug,cell_line,IC50,prediction
0,Dabrafenib,SIDM00201,4.4734655,-0.27899876
1,AZD7762,SIDM00346,-0.4462809999999999,-0.09384551
2,Leflunomide,SIDM00859,4.32032,0.33085415
3,Wnt-C59,SIDM00534,2.810193,0.7000113
4,WEHI-539,SIDM00203,3.061166,2.4805086
5,OTX015,SIDM00974,3.725203,1.4102184
6,Ibrutinib,SIDM00411,5.899052,3.8607595
7,Sepantronium bromide,SIDM00042,-5.8211975,-1.101647
8,Dactinomycin,SIDM00632,-5.825258,1.0890771
9,CZC24832,SIDM00540,5.488764,0.45960903
10,Wnt-C59,SIDM00612,4.5870045,1.3618892
11,BMS-754807,SIDM00216,-1.291566,3.371741
12,Sabutoclax,SIDM00308,-1.98858,-0.8781351
13,Wee1 Inhibitor,SIDM00489,0.980307,-0.46790987
14,Ruxolitinib,SIDM00599,4.3168945,1.8402456
15,Wee1 Inhibitor,SIDM00003,1.012738,-0.05994106
16,Leflunomide,SIDM00427,4.257889,1.1021823
17,Dabrafenib,SIDM00826,-0.075091,0.35445806
18,AZD7762,SIDM01183,0.2055136666666666,1.192865
19,CZC24832,SIDM01007,3.507873,1.2058158
20,Ibrutinib,SIDM01120,5.42526,3.2236834
21,CZC24832,SIDM00211,2.866025,0.24644725
22,Ruxolitinib,SIDM00781,5.242806,2.8288586
23,Dabrafenib,SIDM00680,5.525157999999999,1.0598763
24,Dabrafenib,SIDM00389,3.288884,-0.8854437
25,Wnt-C59,SIDM00047,4.068933,-0.11223954
26,Sabutoclax,SIDM00577,-2.165106,1.2691437
27,Sepantronium bromide,SIDM00047,-5.463869,-1.4635581
28,WEHI-539,SIDM00528,4.668635,2.7151735
29,AZD7762,SIDM00527,-1.591596,0.36833638
30,Dabrafenib,SIDM00632,1.724149,-1.2334237
31,Ibrutinib,SIDM00103,6.349576,3.4757636
32,Dactinomycin,SIDM00218,0.3218264999999999,5.970543
33,Ruxolitinib,SIDM00216,4.587106,1.9273418
34,OTX015,SIDM00834,4.277906,3.080155
35,AZD7762,SIDM01175,2.4667096666666666,2.0845077
36,Dabrafenib,SIDM00082,3.222405,1.4741813
37,CZC24832,SIDM01114,3.823074,1.9924855
38,CZC24832,SIDM00324,5.00421,1.7407415
39,Wee1 Inhibitor,SIDM01097,0.779505,0.56588936
40,Dabrafenib,SIDM00817,4.4795785,1.1692691
41,Leflunomide,SIDM00953,4.160465,2.209724
42,AZD7762,SIDM00227,-0.628864,1.1906509
43,Ruxolitinib,SIDM00527,4.600614,2.391435
44,CZC24832,SIDM00174,3.977655,1.634797
45,Leflunomide,SIDM00406,2.858465,-0.36287448
46,Ruxolitinib,SIDM00969,4.452237,2.226016
47,Dabrafenib,SIDM00291,1.8860145,0.6869567
48,WEHI-539,SIDM00905,4.292709,2.6248171
49,Sepantronium bromide,SIDM01248,-4.8301425,-0.64803815
50,Ibrutinib,SIDM00198,5.396274,2.8439553
51,Sabutoclax,SIDM00195,-1.271226,1.9663427
52,CZC24832,SIDM00842,4.643635,1.9782022
53,Ibrutinib,SIDM00407,0.54719,0.25556874
54,WEHI-539,SIDM00242,2.189878,2.0984538
55,Wee1 Inhibitor,SIDM00233,-0.588905,-0.6831318
56,AZD7762,SIDM01247,-1.898701,0.046691813
57,Ibrutinib,SIDM00976,5.902417,2.629638
58,Leflunomide,SIDM00263,5.381485,1.7150236
59,Sepantronium bromide,SIDM00292,-5.3072425,2.7952354
60,Ruxolitinib,SIDM00501,4.773867,2.502362
61,Dactinomycin,SIDM00781,-2.355409,4.517539
62,AZD7762,SIDM01198,-1.1429156666666669,-0.10705212
63,AZD7762,SIDM00198,0.2535895,0.44253096
64,Wnt-C59,SIDM00833,3.966146,1.343877
65,Sabutoclax,SIDM01197,0.58037,1.9365997
66,OTX015,SIDM00274,2.707552,2.5147471
67,CZC24832,SIDM00346,4.29186,0.14620651
68,CZC24832,SIDM00121,3.100095,0.66390866
69,Ibrutinib,SIDM00935,-1.188035,-0.0013867036
70,Dabrafenib,SIDM00098,4.188765500000001,1.3049842
71,Wnt-C59,SIDM00846,2.795865,0.817425
72,OTX015,SIDM00176,3.412868,2.376818
73,Sepantronium bromide,SIDM00976,-3.5709845,-0.91991556
74,Leflunomide,SIDM00420,5.584777,3.0785253
75,Wnt-C59,SIDM00721,5.639853,2.0536187
76,Wee1 Inhibitor,SIDM01146,0.937411,1.2188925
77,Dactinomycin,SIDM00263,-4.1860285,3.2016833
78,AZD7762,SIDM00258,1.1668213333333333,0.6001997
79,Wnt-C59,SIDM00262,4.552633,0.9801705
80,Dabrafenib,SIDM01247,4.1038535,-0.3608519
81,Leflunomide,SIDM00976,5.675821,2.563317
82,CZC24832,SIDM01206,4.24245,1.4035392
83,AZD7762,SIDM00539,-0.5161746666666667,0.40852937
84,Ibrutinib,SIDM00688,3.41599,1.143265
85,Ruxolitinib,SIDM00251,4.303181,2.2760606
86,Sepantronium bromide,SIDM00579,0.360967,-1.1567112
87,OTX015,SIDM00826,2.345154,1.8568825
88,Leflunomide,SIDM00269,5.119051,1.2650665
89,AZD7762,SIDM00863,-1.459682,0.020377873
90,Sepantronium bromide,SIDM00539,-4.712460999999999,-0.2585123
91,Dabrafenib,SIDM00591,3.9558605,-0.15850246
92,Sabutoclax,SIDM00930,-0.635141,0.76213753
93,OTX015,SIDM00250,4.405693,1.9324913
94,Sabutoclax,SIDM00241,-1.077768,0.16251695
95,Dabrafenib,SIDM00091,5.2317075,1.0901576
96,WEHI-539,SIDM00302,4.72518,2.3868344
97,WEHI-539,SIDM00889,4.21662,2.2158406
98,CZC24832,SIDM00193,4.748425,2.2449682
99,Dabrafenib,SIDM00137,4.162262,0.8837323
