,drug,cell_line,IC50,prediction
0,Axitinib,SIDM00332,-0.0051045,3.377799
1,GSK2606414,SIDM01093,3.633744,1.9708567
2,P22077,SIDM00234,2.972383,1.5029317
3,Afatinib,SIDM00269,1.3930733333333334,1.8385319
4,P22077,SIDM00596,5.11993,2.8232687
5,Afatinib,SIDM01122,1.439806,3.2862172
6,ZM447439,SIDM01042,1.8791845,1.2156491
7,SB505124,SIDM00216,3.0864085,1.5706214
8,AZ960,SIDM00326,0.653611,3.1843085
9,AZ960,SIDM00351,2.327771,2.3461657
10,GSK2606414,SIDM00967,3.917071,1.2882439
11,Afatinib,SIDM00261,2.078414,2.0868158
12,Afatinib,SIDM00975,3.2141673333333336,3.5270967
13,GSK2606414,SIDM00259,3.533958,1.0127814
14,GSK2606414,SIDM00064,3.139338,1.0386226
15,Afatinib,SIDM01228,-2.1754453333333337,2.738752
16,RO-3306,SIDM00332,4.699782000000001,2.724153
17,AZ960,SIDM00324,-0.257596,2.5467587
18,SB505124,SIDM01233,1.6382350000000003,2.679059
19,P22077,SIDM00539,4.655571,2.6648319
20,GSK2606414,SIDM00758,4.856177,1.1485469
21,AZD8055,SIDM00833,2.1400395,1.3664669
22,AZ960,SIDM00834,4.972692,3.595069
23,P22077,SIDM00550,4.647392,2.2807019
24,PF-4708671,SIDM00971,3.9385975,2.5257144
25,AZ960,SIDM00427,-0.263915,1.8044865
26,GSK2606414,SIDM00859,2.50178,0.2421547
27,Afatinib,SIDM00954,1.7369153333333334,2.6372128
28,GSK2606414,SIDM00256,2.841195,0.5980349
29,AZ960,SIDM00274,2.367271,3.0234299
30,SB505124,SIDM00534,4.468161666666666,2.2439213
31,Afatinib,SIDM00193,3.5815406666666667,3.2085814
32,AZD6482,SIDM00332,3.0365296666666666,1.7770145
33,GSK2606414,SIDM00381,3.677112,1.6029578
34,Afatinib,SIDM00118,2.086818333333333,2.7012377
35,AZ960,SIDM00230,1.321395,2.6277006
36,AZ960,SIDM01245,-1.445493,2.0408654
37,Afatinib,SIDM00350,-2.1258513333333333,2.770761
38,AZ960,SIDM00374,1.295126,2.3513029
39,P22077,SIDM00211,2.258049,1.2425776
40,P22077,SIDM00789,3.73364,1.7641593
41,AZ960,SIDM00951,-0.942742,1.9329754
