,drug,cell_line,IC50,prediction
0,Gemcitabine,SIDM00659,-3.508871333333333,-1.1210608
1,EPZ004777,SIDM00783,5.083257,5.0008416
2,Entospletinib,SIDM00407,0.132074,2.1433342
3,GDC0810,SIDM00091,6.973783,5.2120514
4,Ibrutinib,SIDM00103,6.349576,6.648669
5,I-BRD9,SIDM00917,3.280439,3.9079747
6,VX-11e,SIDM01132,3.3916905,3.0232615
7,NVP-ADW742,SIDM00592,2.270735,2.0939844
8,Venetoclax,SIDM01168,3.390214,3.8303328
9,Nilotinib,SIDM00154,3.3176005,3.6222193
10,Fulvestrant,SIDM00196,3.374845333333333,3.63913
11,KU-55933,SIDM00954,4.5482245,4.0639796
12,PLX-4720,SIDM00532,3.9665313333333336,5.0816693
13,Erlotinib,SIDM00367,3.712832,2.524326
14,Epirubicin,SIDM00299,-0.624894,-0.09760657
15,Crizotinib,SIDM00606,3.93993,2.590661
16,Sapitinib,SIDM00930,5.364807,4.8869753
17,PD0325901,SIDM00302,-0.49516,1.7053411
18,BMS-345541,SIDM00905,3.097411,3.4268703
19,EPZ004777,SIDM00256,4.339178,3.7738657
20,BIBR-1532,SIDM00374,5.214057,4.9399257
21,Gefitinib,SIDM00969,1.7519695000000002,2.4611902
22,UMI-77,SIDM00917,2.442734,2.9378364
23,Linsitinib,SIDM00242,0.6660615000000001,1.4087019
24,I-BET-762,SIDM00198,3.416004,3.370669
25,Camptothecin,SIDM00917,-5.095388,-3.236496
26,MK-1775,SIDM00792,0.563692,1.4952364
27,5-Fluorouracil,SIDM00472,5.961736999999999,4.820987
28,Cytarabine,SIDM00262,0.970566,0.76446724
29,UMI-77,SIDM00562,1.823414,3.2216973
30,LY2109761,SIDM00317,7.386086,4.3409505
31,Camptothecin,SIDM00101,-1.391849,-1.2064121
32,OF-1,SIDM00257,4.206854,3.7597756
33,Sapitinib,SIDM00256,4.146909,3.5975437
34,Talazoparib,SIDM00407,3.2505315,2.419788
35,Fulvestrant,SIDM00154,3.346953333333333,4.406506
36,Lapatinib,SIDM00302,3.3607455,3.8846242
37,Navitoclax,SIDM00242,1.0465555,0.37809733
38,Ruxolitinib,SIDM00969,4.452237,4.7908945
39,Savolitinib,SIDM00299,4.577383,3.384353
40,WZ4003,SIDM00917,2.478805,3.4069424
41,WEHI-539,SIDM00905,4.292709,4.508173
42,5-Fluorouracil,SIDM00198,3.907721,2.7589965
43,Lapatinib,SIDM00103,5.417033,4.9740853
44,Uprosertib,SIDM00659,2.658066,3.3507736
45,Ibrutinib,SIDM00198,5.396274,4.503204
46,Vinblastine,SIDM00969,-4.0910875,-3.82308
47,Ibrutinib,SIDM00407,0.54719,2.3888977
48,WEHI-539,SIDM00242,2.189878,3.017697
49,Obatoclax Mesylate,SIDM00905,-0.342835,1.0628531
50,Cytarabine,SIDM00917,-0.248954,0.13318491
51,Osimertinib,SIDM00256,1.115958,0.17903125
52,BMS-536924,SIDM00606,4.2037495,1.2588186
53,PD0325901,SIDM00562,1.5770475000000002,1.4937637
54,AZD7762,SIDM00198,0.2535895,-1.0307678
55,Nutlin-3a (-),SIDM00606,4.9335875,4.432991
56,ML323,SIDM00659,6.369862,4.5479364
57,Dasatinib,SIDM00407,-4.4507675,-1.0070615
58,Vinblastine,SIDM00198,-4.642701499999999,-4.519132
59,Vinblastine,SIDM00606,-4.0811355,-3.9695487
60,AZD4547,SIDM00532,2.886074666666667,3.1729698
61,WIKI4,SIDM00472,3.497884,4.6043773
62,Navitoclax,SIDM00917,1.1348115,0.98642945
63,VX-11e,SIDM00905,2.735075,2.9115312
64,GSK591,SIDM00969,3.736686,4.9209027
65,Nilotinib,SIDM00299,3.673846,3.6619685
66,GSK2578215A,SIDM00930,4.877151,5.0466294
67,OF-1,SIDM00969,4.94498,3.9745407
68,PCI-34051,SIDM00592,4.222158,4.699701
69,Navitoclax,SIDM00783,2.437232,1.8448038
70,AZ6102,SIDM00154,2.480067,3.5480494
71,BIBR-1532,SIDM00262,6.669694,4.719029
72,WZ4003,SIDM00407,1.939668,2.7098877
73,VE-822,SIDM00256,0.899192,3.0375326
74,PRT062607,SIDM00196,2.453866,2.8898818
75,VE821,SIDM00792,4.608397,3.3688688
76,XAV939,SIDM00606,3.042025,3.7115138
77,Lapatinib,SIDM00101,5.751819,4.4187274
78,PD173074,SIDM00969,2.802637,3.038387
79,Wnt-C59,SIDM00262,4.552633,3.111051
80,Vinorelbine,SIDM00154,-2.525001,-1.1137097
81,Temozolomide,SIDM00532,5.942512000000001,6.00923
82,GDC0810,SIDM00302,5.208002,4.341269
83,I-BRD9,SIDM00592,3.839586,4.4654684
84,Niraparib,SIDM00606,4.590887,4.528899
85,Daporinad,SIDM00472,-0.569979,2.5394382
86,Savolitinib,SIDM00917,1.149607,2.0424402
87,Crizotinib,SIDM00969,1.740469,3.0414033
88,Cisplatin,SIDM00905,2.185283333333333,3.1109471
89,Sabutoclax,SIDM00930,-0.635141,0.96394575
90,ML323,SIDM00101,4.479902,5.099527
91,Alpelisib,SIDM00783,2.735136,4.3924117
92,Dabrafenib,SIDM00091,5.2317075,3.6969285
93,WEHI-539,SIDM00302,4.72518,4.6907487
94,Entospletinib,SIDM00154,2.0514,4.296211
95,AT13148,SIDM00103,3.617478,4.685001
96,Ipatasertib,SIDM00407,-0.527901,1.3676108
97,OTX015,SIDM00317,4.784651,2.5182586
98,UMI-77,SIDM00196,1.637912,2.9515843
99,Luminespib,SIDM00154,-3.142811,-0.54092765
100,RVX-208,SIDM00407,4.050679,3.792999
101,Navitoclax,SIDM00103,4.468857,3.4944558
102,LCL161,SIDM00101,5.484640499999999,4.9272943
103,AT13148,SIDM00606,4.679245,3.6652424
104,SCH772984,SIDM00256,3.396955,2.4802427
105,Buparlisib,SIDM00592,0.147832,0.4905841
106,5-Fluorouracil,SIDM00969,3.2104505000000003,4.2184224
107,Dabrafenib,SIDM00196,4.506411,3.3434057
108,Afatinib,SIDM00954,1.7369153333333334,1.8413079
109,WIKI4,SIDM00659,3.038173,3.9595199
110,Niraparib,SIDM00783,3.461667,4.7026944
111,Erlotinib,SIDM01168,4.112417,3.0289512
112,Buparlisib,SIDM00374,0.059628,0.560447
113,Cediranib,SIDM00196,1.764986,1.5094988
114,I-BET-762,SIDM00917,1.0742405,3.0907254
115,MIRA-1,SIDM00905,4.905862,5.809829
116,GSK2606414,SIDM00256,2.841195,3.6692147
117,Lapatinib,SIDM00091,3.93855,3.5446918
118,PFI3,SIDM00954,5.499537,4.777377
119,ML323,SIDM00905,4.035333,3.9888716
120,VE821,SIDM00472,3.634301,4.4412947
121,Osimertinib,SIDM00374,2.366466,1.3527677
122,AZD4547,SIDM00905,2.333362333333333,2.8794966
123,OF-1,SIDM00954,4.169365,4.197352
124,AMG-319,SIDM00242,4.622485,-1.1158849
125,OF-1,SIDM00317,6.785584,3.8147368
126,XAV939,SIDM00905,4.655537,4.1575036
127,Luminespib,SIDM00317,-0.330711,0.17825596
128,BIBR-1532,SIDM00299,6.338824,5.6450534
129,Dactinomycin,SIDM00562,-4.85318,0.1345261
130,Osimertinib,SIDM00562,2.523078,0.96923053
131,LY2109761,SIDM00407,3.715375,1.9954937
132,Vorinostat,SIDM00103,1.402374,2.8905187
133,AZ960,SIDM00374,1.295126,1.9400253
134,Cediranib,SIDM00242,0.546902,1.5740372
135,Linsitinib,SIDM00299,3.6721345,3.3240023
136,MK-8776,SIDM00242,2.259689,2.89194
137,XAV939,SIDM00198,3.7711485,3.9286175
138,AGI-5198,SIDM01168,5.668405,5.438818
139,Dasatinib,SIDM00532,-0.966262,-0.26660287
140,Sapitinib,SIDM00103,6.686334,5.6998277
141,Ibrutinib,SIDM00954,4.484046,4.6928744
142,Bortezomib,SIDM00659,-5.482082,-3.9729643
143,Oxaliplatin,SIDM01168,4.864938,5.907215
144,VX-11e,SIDM00592,2.6516245,2.181681
145,GDC0810,SIDM00256,3.788929,3.5180662
146,AZD7762,SIDM00917,-1.1441993333333331,-1.0750289
147,BMS-536924,SIDM01168,2.2822940000000003,2.319684
148,Dactinomycin,SIDM00317,0.1701685,0.65398526
149,VE821,SIDM00091,6.594332,4.106497
150,AZD5363,SIDM00969,3.353852,2.8897913
151,Venetoclax,SIDM00792,1.446592,3.282445
152,Wnt-C59,SIDM00592,3.693633,3.3322837
153,IWP-2,SIDM00783,1.399641,3.352411
154,LY2109761,SIDM00472,6.55587,4.542395
155,Rapamycin,SIDM00783,-1.814071,1.5631772
156,Navitoclax,SIDM00606,2.6124685,1.2584933
157,MK-1775,SIDM00783,0.757976,1.3344998
