,drug,cell_line,IC50,prediction
0,MIRA-1,SIDM00517,6.073941,6.22877
1,Cisplatin,SIDM01114,2.006427,3.2870452
2,WIKI4,SIDM00244,3.914198,2.766264
3,BMS-536924,SIDM00537,1.733863,1.5322223
4,Bortezomib,SIDM01093,-4.115848,-2.8496702
5,MK-1775,SIDM00094,1.91712,2.9747283
6,LY2109761,SIDM00539,5.400771,4.8623657
7,LGK974,SIDM01233,3.895076,3.4010327
8,GDC0810,SIDM00496,4.965005,4.7168064
9,Sorafenib,SIDM00551,2.384396,2.35928
10,BMS-536924,SIDM01093,3.1085975,2.6762164
11,Bortezomib,SIDM01161,-4.938108,-4.5511417
12,LGK974,SIDM00520,3.924767,4.1591587
13,Fulvestrant,SIDM00136,3.780350333333333,4.073838
14,Entospletinib,SIDM00244,1.924032,3.266067
15,MIM1,SIDM01175,4.770428,4.176285
16,Oxaliplatin,SIDM00561,1.8525435,2.5515473
17,Epirubicin,SIDM00565,-0.311385,0.26581097
18,VE821,SIDM01090,3.11085,2.4005146
19,Dinaciclib,SIDM00291,-2.624957,-1.2642722
20,Cediranib,SIDM00837,1.05822,2.8222167
21,Vorinostat,SIDM01187,1.608329,2.9267032
22,Buparlisib,SIDM00077,0.013728,0.48459968
23,Cisplatin,SIDM00064,1.7632536666666667,3.239492
24,PCI-34051,SIDM00332,5.746768,5.1651134
25,Vinblastine,SIDM00174,-4.493240500000001,-4.068087
26,IWP-2,SIDM00793,2.146301,2.5404446
27,VX-11e,SIDM00758,1.657313,3.378681
28,LY2109761,SIDM00837,4.501555,3.8680565
29,Nilotinib,SIDM01247,1.1534605,1.870363
30,Linsitinib,SIDM00699,2.579066,4.0415735
31,AT13148,SIDM00537,2.842459,3.0308213
32,Cisplatin,SIDM00120,2.2501773333333333,4.255677
33,BMS-345541,SIDM00719,5.569043,5.198929
34,WIKI4,SIDM01229,4.344849,4.0758715
35,GSK1904529A,SIDM00287,2.695081,2.5780203
36,XAV939,SIDM00964,2.5174255,3.4483242
37,AZD8186,SIDM00098,3.6110575,2.2372446
38,Alpelisib,SIDM00309,4.972602,4.581236
39,Navitoclax,SIDM00381,3.9914675,2.992963
40,Nutlin-3a (-),SIDM00885,4.117058500000001,4.5982065
41,MK-1775,SIDM00381,0.971567,2.6319764
42,Oxaliplatin,SIDM00539,4.1511535,4.592002
43,SCH772984,SIDM00826,-2.371284,2.5256279
44,WIKI4,SIDM00056,3.873413,3.4377687
45,AMG-319,SIDM00351,4.381102,0.19906719
46,MIM1,SIDM00042,3.76392,2.8551826
47,Luminespib,SIDM00655,-3.2395240000000003,-0.9095435
48,MIRA-1,SIDM00817,5.042824,6.209691
49,BIBR-1532,SIDM01159,4.30429,5.6900206
50,Alpelisib,SIDM00263,1.009765,3.2377014
51,Vinorelbine,SIDM01006,-5.701762,-2.4273362
52,Venetoclax,SIDM00388,3.261062,1.7465504
53,Pictilisib,SIDM00542,2.4920940000000003,0.7972504
54,Irinotecan,SIDM00111,2.03566,3.3455956
55,LGK974,SIDM01126,3.0547295,3.2105038
56,Dabrafenib,SIDM00201,4.4734655,3.668174
57,AZD7762,SIDM00346,-0.4462809999999999,-2.1988022
58,Leflunomide,SIDM00859,4.32032,4.0181274
59,Wnt-C59,SIDM00534,2.810193,3.5386446
60,WEHI-539,SIDM00203,3.061166,2.971629
61,OTX015,SIDM00974,3.725203,2.7302244
62,Dinaciclib,SIDM00976,-3.108552,-1.440887
63,Ibrutinib,SIDM00411,5.899052,6.121457
64,Sepantronium bromide,SIDM00042,-5.8211975,-3.9652197
65,Dactinomycin,SIDM00632,-5.825258,-1.3365719
66,CZC24832,SIDM00540,5.488764,3.682227
67,VX-11e,SIDM00096,2.2575585,1.4401047
68,Wnt-C59,SIDM00612,4.5870045,4.001609
69,BMS-754807,SIDM00216,-1.291566,2.363784
70,Sabutoclax,SIDM00308,-1.98858,1.355999
71,Wee1 Inhibitor,SIDM00489,0.980307,2.255212
72,Ruxolitinib,SIDM00599,4.3168945,3.810703
73,Rapamycin,SIDM00542,-1.799362,2.875875
74,GSK2578215A,SIDM00218,7.581259,7.320878
75,ML323,SIDM00951,2.854192,3.191951
76,PLX-4720,SIDM00958,2.607257333333333,2.92835
77,AGI-6780,SIDM00579,2.1536795,2.072915
78,VX-11e,SIDM00197,3.5317465,3.954291
79,Uprosertib,SIDM00417,4.6382995000000005,2.6774914
80,Ipatasertib,SIDM00596,5.244861,3.4527223
81,Foretinib,SIDM00410,0.6407845,1.8567355
82,Wee1 Inhibitor,SIDM00003,1.012738,2.3919752
83,BMS-345541,SIDM00332,4.2296025,3.4915864
84,IWP-2,SIDM00422,2.032252,2.2994702
85,Leflunomide,SIDM00427,4.257889,4.5603094
86,Gefitinib,SIDM01228,0.2812125000000001,2.1973403
87,Entospletinib,SIDM00375,4.530611,3.8537288
88,Dactolisib,SIDM00504,-3.4105480000000004,-2.6554058
89,Nilotinib,SIDM01160,3.765993,3.4337995
90,Alpelisib,SIDM00962,4.46513,2.7026725
91,Dabrafenib,SIDM00826,-0.075091,3.7724755
92,Cisplatin,SIDM01197,5.9172183333333335,4.6465697
93,Cisplatin,SIDM00842,2.6765326666666667,2.9685357
94,PD173074,SIDM00259,3.424969,1.6916878
95,Niraparib,SIDM01161,4.115739,2.9258645
96,WZ4003,SIDM00632,2.238154,3.387564
97,Daporinad,SIDM01245,-6.725857,-0.5129931
98,Afuresertib,SIDM00127,1.532706,3.3187797
99,Trametinib,SIDM00234,-0.6844520000000001,1.0661339
100,Navitoclax,SIDM00197,-2.674453,0.98280954
101,Trametinib,SIDM00600,-3.9769335,0.8126682
102,BMS-536924,SIDM01095,-0.1175565,0.9757761
103,PD0325901,SIDM00638,0.9421035,0.8756306
104,AZD7762,SIDM01183,0.2055136666666666,0.6975913
105,Dasatinib,SIDM00488,-0.674317,0.17535695
106,Cyclophosphamide,SIDM00561,4.404114,4.511367
107,Navitoclax,SIDM00362,1.7957800000000002,-0.3844165
108,PD173074,SIDM00935,2.8530415,2.1452467
109,Osimertinib,SIDM00549,0.792496,0.91371953
110,Luminespib,SIDM00699,-0.6123465000000001,0.37176996
111,Cediranib,SIDM00491,3.399394,3.2492297
112,Dinaciclib,SIDM00343,-2.027895,0.8461196
113,BMS-536924,SIDM00202,0.3315213333333333,1.5077212
114,Gefitinib,SIDM00266,2.5749515,1.1943378
115,Buparlisib,SIDM00638,0.366617,0.7369195
116,Afuresertib,SIDM00968,2.512336,3.5737114
117,PRT062607,SIDM00393,2.385608,3.3817947
118,Cediranib,SIDM00350,2.2844,3.1775756
119,PFI3,SIDM00362,3.486362,3.6355636
120,CZC24832,SIDM01007,3.507873,4.1593313
121,ABT737,SIDM00202,-2.39304,1.3480539
122,Ibrutinib,SIDM01120,5.42526,4.1861324
123,Talazoparib,SIDM00260,5.934196,4.2342186
124,AMG-319,SIDM00448,4.236596,0.36179855
125,CZC24832,SIDM00211,2.866025,4.2454047
126,MK-2206,SIDM00243,-0.0307494999999999,1.4535682
127,Linsitinib,SIDM00410,3.46691,2.3408175
128,BMS-345541,SIDM00201,2.1755675,2.4919193
129,Ruxolitinib,SIDM00781,5.242806,5.7178063
