,drug,cell_line,IC50,prediction
0,OF-1,SIDM00257,4.206854,1.1722392
1,Docetaxel,SIDM00082,-1.4578746666666664,2.9698877
2,Pevonedistat,SIDM00541,0.725677,2.2787223
3,Paclitaxel,SIDM00328,-3.3222995,3.8423715
4,Temozolomide,SIDM00576,2.8046,-2.3067238
5,MK-8776,SIDM00732,4.019024,3.649051
6,MK-8776,SIDM00699,4.530687,3.9102917
7,OF-1,SIDM00537,4.217272,2.2997525
8,LCL161,SIDM00841,4.6634945,1.1719347
9,AZ6102,SIDM00394,3.281192,2.694306
10,OF-1,SIDM00565,4.979893,2.982822
11,SB216763,SIDM01042,4.554536,1.6960053
12,GSK343,SIDM00411,4.8941025,4.722384
13,Docetaxel,SIDM00375,-3.4546956666666664,2.012975
14,Alisertib,SIDM00393,3.508407,3.6987834
15,AGI-5198,SIDM00308,4.280853,2.3356895
16,AZD5363,SIDM00863,1.885114,2.5927823
17,MK-8776,SIDM00577,2.163877,2.495649
18,OF-1,SIDM00826,4.406393,2.2877092
19,AGI-5198,SIDM00250,4.209991,3.614469
20,AZD5363,SIDM01245,2.748978,1.8238896
21,OSI-027,SIDM01073,0.840315,2.103846
22,Alisertib,SIDM01019,0.4932335,3.4858303
23,Pevonedistat,SIDM01175,4.3406435,4.2118063
24,Temozolomide,SIDM00094,5.9999665,1.2566501
25,AGI-5198,SIDM00326,4.083026,3.5528393
26,GSK343,SIDM01233,5.1984295,4.123396
27,MK-8776,SIDM00098,2.815627,3.5965776
28,LCL161,SIDM00519,5.219727,1.40859
29,AZD5363,SIDM00445,1.780595,2.503724
30,AZD5363,SIDM00579,3.025458,1.9583853
31,AZ6102,SIDM01097,2.062228,2.4248435
32,Paclitaxel,SIDM00411,0.195684,5.5375385
33,LCL161,SIDM00384,2.9158075,-0.9061677
34,OF-1,SIDM00211,2.668586,0.106411055
35,OF-1,SIDM00136,4.818226,2.410643
36,MK-8776,SIDM00875,0.000374,3.2585983
37,AZ6102,SIDM00056,1.982137,1.895615
38,LCL161,SIDM00388,3.3760705,-0.5895808
39,GSK343,SIDM00190,3.118034,3.7043362
40,OF-1,SIDM00929,3.950818,2.5995903
41,Temozolomide,SIDM00538,6.4119005,0.24558288
42,Temozolomide,SIDM00384,2.967521,-1.0555162
43,MK-8776,SIDM00251,0.595505,4.049326
44,MK-8776,SIDM00056,4.806866,2.8616729
45,GSK343,SIDM00156,4.4624805,3.670313
46,Pevonedistat,SIDM01161,-0.3630345,1.8130147
47,OF-1,SIDM00969,4.94498,1.5601747
48,OF-1,SIDM00250,2.718002,2.2060604
49,AZ6102,SIDM00154,2.480067,2.1009834
50,Pevonedistat,SIDM00638,0.5442485000000001,2.7344985
51,AZ6102,SIDM01146,2.667574,2.5112655
52,LCL161,SIDM00332,5.9473565,1.2981277
53,SB216763,SIDM00833,5.2144725,4.4277916
54,Pevonedistat,SIDM01237,3.803114,3.0988219
55,AZD5363,SIDM00292,3.179298,4.6681404
56,MK-8776,SIDM00885,4.68494,3.7992907
57,AZ6102,SIDM00973,1.882672,2.2561955
58,MK-8776,SIDM01183,4.322739,3.7271907
59,OF-1,SIDM00964,5.67621,1.8149287
60,AGI-5198,SIDM00813,3.842013,2.4381177
61,OSI-027,SIDM00621,0.9035845,2.569943
62,MK-8776,SIDM00118,3.092557,2.847887
63,Docetaxel,SIDM00543,-2.607687333333333,2.0034826
64,Temozolomide,SIDM00532,5.942512000000001,0.92459583
65,GSK343,SIDM00099,6.1920905,4.658834
66,Temozolomide,SIDM00517,5.836973,-0.7147156
67,Pevonedistat,SIDM00285,-0.648672,0.97318816
68,AGI-5198,SIDM00540,5.563837,3.5241454
69,AZD5363,SIDM00732,3.670342,3.461018
70,AZD5363,SIDM00520,3.259521,3.5711136
71,Paclitaxel,SIDM00483,-0.70484,5.397446
72,AZD5363,SIDM00465,4.511834,3.537953
73,MK-8776,SIDM00224,4.194507,3.794734
74,AZD5363,SIDM00100,4.122019,3.9619188
75,OSI-027,SIDM00577,0.906489,2.5855618
76,GSK343,SIDM00309,3.777344,3.8119698
