,drug,cell_line,IC50,prediction
0,MIRA-1,SIDM00517,6.073941,5.7229314
1,Cisplatin,SIDM01114,2.006427,2.4574153
2,WIKI4,SIDM00244,3.914198,3.927012
3,BMS-536924,SIDM00537,1.733863,1.9867487
4,Bortezomib,SIDM01093,-4.115848,-2.9944715
5,MK-1775,SIDM00094,1.91712,1.4079988
6,LY2109761,SIDM00539,5.400771,5.3193746
7,LGK974,SIDM01233,3.895076,4.0079107
8,GDC0810,SIDM00496,4.965005,3.014836
9,Sorafenib,SIDM00551,2.384396,4.506697
10,BMS-536924,SIDM01093,3.1085975,2.3669026
11,Bortezomib,SIDM01161,-4.938108,-3.6234262
12,LGK974,SIDM00520,3.924767,3.9641702
13,Fulvestrant,SIDM00136,3.780350333333333,4.173509
14,Entospletinib,SIDM00244,1.924032,4.687381
15,MIM1,SIDM01175,4.770428,3.015042
16,Oxaliplatin,SIDM00561,1.8525435,2.5133002
17,Epirubicin,SIDM00565,-0.311385,-2.39732
18,VE821,SIDM01090,3.11085,4.465696
19,Dinaciclib,SIDM00291,-2.624957,-1.901948
20,Cediranib,SIDM00837,1.05822,1.9221088
21,Vorinostat,SIDM01187,1.608329,1.7283118
22,Buparlisib,SIDM00077,0.013728,2.3693814
23,Cisplatin,SIDM00064,1.7632536666666667,2.8638072
24,PCI-34051,SIDM00332,5.746768,5.5344005
25,Vinblastine,SIDM00174,-4.493240500000001,2.4470804
26,IWP-2,SIDM00793,2.146301,2.1893766
27,VX-11e,SIDM00758,1.657313,1.5897977
28,LY2109761,SIDM00837,4.501555,5.383458
29,Nilotinib,SIDM01247,1.1534605,1.9685988
30,Linsitinib,SIDM00699,2.579066,3.1133654
31,AT13148,SIDM00537,2.842459,4.5257845
32,Cisplatin,SIDM00120,2.2501773333333333,2.869863
33,BMS-345541,SIDM00719,5.569043,3.7704723
34,WIKI4,SIDM01229,4.344849,3.7155647
35,Oxaliplatin,SIDM00539,4.1511535,5.328132
36,BMS-345541,SIDM00332,4.2296025,3.4119236
37,Niraparib,SIDM01161,4.115739,3.8688705
38,Cyclophosphamide,SIDM00561,4.404114,3.7494671
39,Luminespib,SIDM00699,-0.6123465000000001,-1.947562
40,Obatoclax Mesylate,SIDM00094,1.1680755,1.8598492
41,AT13148,SIDM00758,3.034989,4.586372
42,PCI-34051,SIDM00244,2.471069,5.1655307
43,Entospletinib,SIDM01161,3.186478,3.6343472
44,Crizotinib,SIDM01247,1.223581,1.3555083
45,Dasatinib,SIDM01161,-3.3886935,-0.17176042
46,Fulvestrant,SIDM00565,4.188992333333334,4.014146
47,AZD7762,SIDM01175,2.4667096666666666,-1.1316423
48,Irinotecan,SIDM00539,3.010363,4.729548
49,CZC24832,SIDM01114,3.823074,5.3658175
50,MK-8776,SIDM00699,4.530687,3.476906
51,AZD8186,SIDM00837,1.471513,3.2913177
52,BIBR-1532,SIDM01114,4.037107,5.065498
53,Vinblastine,SIDM00699,-2.9077390000000003,2.5597317
54,OF-1,SIDM00537,4.217272,4.3388176
55,PCI-34051,SIDM01233,4.978184,5.7742686
56,OF-1,SIDM00565,4.979893,4.321467
57,MIRA-1,SIDM00793,4.095742,4.334743
58,CZC24832,SIDM00174,3.977655,5.196669
59,WZ4003,SIDM00551,2.017036,3.9707313
60,Sorafenib,SIDM01175,5.0521495000000005,3.9905894
61,VE-822,SIDM01090,3.316805,4.0197825
62,Dabrafenib,SIDM00291,1.8860145,2.3992083
63,I-BET-762,SIDM00064,3.430299,4.5992503
64,Camptothecin,SIDM00537,-3.133379,-1.3921076
65,Alpelisib,SIDM00699,4.345543,3.3820512
66,Axitinib,SIDM00332,-0.0051045,4.012122
67,GSK2606414,SIDM01093,3.633744,4.403126
68,MK-1775,SIDM00719,2.743954,0.55155236
69,VE821,SIDM01233,5.84664,5.6009927
70,Obatoclax Mesylate,SIDM00539,1.778222,1.4270526
71,Lapatinib,SIDM00539,0.913972,2.1505625
72,VX-11e,SIDM01229,2.402507,2.2285368
73,Pevonedistat,SIDM01175,4.3406435,1.2835249
74,AZD7762,SIDM01247,-1.898701,-2.224612
75,Temozolomide,SIDM00094,5.9999665,6.57075
76,GSK343,SIDM01233,5.1984295,4.6087327
77,I-BRD9,SIDM01187,5.630752,5.2625327
78,Daporinad,SIDM00517,-6.723251,-4.06008
79,EPZ5676,SIDM00517,6.292871,4.8671503
80,Uprosertib,SIDM00120,5.593971,3.8533888
81,MIM1,SIDM00077,3.948924,3.3448465
82,Irinotecan,SIDM00551,1.099242,4.0681887
83,EPZ004777,SIDM00064,5.539148,5.156245
84,PFI3,SIDM00517,5.774298,5.661685
85,OF-1,SIDM00136,4.818226,4.4536633
86,Vinorelbine,SIDM00496,-3.901771,-3.7584984
87,5-Fluorouracil,SIDM00719,6.5891225,5.612987
88,Foretinib,SIDM01233,1.6896140000000002,1.3521736
89,Linsitinib,SIDM00517,2.102586,3.0136364
90,Cyclophosphamide,SIDM00332,6.559315,4.9451303
91,Pevonedistat,SIDM01161,-0.3630345,0.5032158
92,AZD6738,SIDM01114,0.728305,1.5080638
93,5-Fluorouracil,SIDM00332,5.864709,4.63346
94,Buparlisib,SIDM00136,1.140482,2.421523
95,VE821,SIDM00551,3.260586,4.9784546
96,VE-822,SIDM00565,5.373851,4.3752036
97,ABT737,SIDM01093,3.100827,3.3828132
98,Cyclophosphamide,SIDM01090,4.693715,4.8995776
99,LCL161,SIDM00332,5.9473565,4.223458
100,Irinotecan,SIDM01114,1.554381,2.972119
101,GSK2606414,SIDM00064,3.139338,4.5641212
102,LGK974,SIDM00496,3.1396395000000004,3.114328
103,NVP-ADW742,SIDM00699,2.261397,2.74653
104,RO-3306,SIDM00332,4.699782000000001,3.0152109
105,Sorafenib,SIDM00094,4.49228,4.675457
