,drug,cell_line,IC50,prediction
0,Navitoclax,SIDM00362,1.7957800000000002,0.5775421
1,PD173074,SIDM00935,2.8530415,2.611077
2,Osimertinib,SIDM00549,0.792496,0.84334725
3,Cediranib,SIDM00491,3.399394,1.4075474
4,Dinaciclib,SIDM00343,-2.027895,-2.6619782
5,BMS-536924,SIDM00202,0.3315213333333333,2.6341257
6,Gefitinib,SIDM00266,2.5749515,2.295787
7,Afuresertib,SIDM00968,2.512336,4.016783
8,PRT062607,SIDM00393,2.385608,4.057414
9,Cediranib,SIDM00350,2.2844,1.976427
10,PFI3,SIDM00362,3.486362,4.929228
11,CZC24832,SIDM01007,3.507873,4.3704963
12,ABT737,SIDM00202,-2.39304,0.8269519
13,Ibrutinib,SIDM01120,5.42526,5.35217
14,Talazoparib,SIDM00260,5.934196,3.3267238
15,AMG-319,SIDM00448,4.236596,3.3357873
16,CZC24832,SIDM00211,2.866025,4.3588767
17,MK-2206,SIDM00243,-0.0307494999999999,3.056682
18,Ruxolitinib,SIDM00781,5.242806,4.8154426
19,Venetoclax,SIDM00808,1.713215,1.6891885
20,VX-11e,SIDM00424,2.413135,2.5544825
21,Ulixertinib,SIDM00274,1.6454695,2.3874335
22,GSK2578215A,SIDM00114,6.25368,4.6306868
23,Erlotinib,SIDM01133,4.309572,3.5543003
24,Olaparib,SIDM00875,2.912050333333333,3.1411982
25,Ipatasertib,SIDM01149,2.057895,2.8231378
26,Vorinostat,SIDM00444,1.80079,1.4402257
27,Talazoparib,SIDM00418,2.9362455,2.4726334
28,Dabrafenib,SIDM00680,5.525157999999999,3.1946263
29,Entinostat,SIDM01140,0.385456,2.498044
30,Cyclophosphamide,SIDM01259,5.129478,4.428195
31,AZD6738,SIDM00420,2.4414755,2.2489004
32,Nutlin-3a (-),SIDM00527,2.2382030000000004,4.327218
33,AZD7762,SIDM00527,-1.591596,-0.57370806
34,Tamoxifen,SIDM01259,2.3264295,2.7611282
35,Daporinad,SIDM00680,-4.55978,-2.2739437
36,EPZ004777,SIDM00114,6.607752,5.2079024
37,PRT062607,SIDM00420,4.218709,3.0738368
38,Ulixertinib,SIDM00549,2.396136,1.6186553
39,MK-1775,SIDM01140,-0.266866,-0.73578465
40,GSK1904529A,SIDM00114,3.10321,3.926209
41,GSK591,SIDM00875,3.624048,3.7241313
42,PD0325901,SIDM00350,-1.249941,-0.7285314
43,Ruxolitinib,SIDM00527,4.600614,5.2295284
44,Obatoclax Mesylate,SIDM00202,0.9829345,1.1280507
45,Olaparib,SIDM01259,2.3316436666666664,2.9861789
46,Alisertib,SIDM00393,3.508407,2.1826785
47,Buparlisib,SIDM00527,0.371307,1.5352341
48,I-BRD9,SIDM01149,3.388598,4.3988376
49,Osimertinib,SIDM00420,3.108283,1.7071141
50,PLX-4720,SIDM00781,5.551989666666667,3.3916748
51,Dactolisib,SIDM00202,-2.1166195,-0.53005964
52,Nilotinib,SIDM00424,2.126984,1.9077729
53,Sapitinib,SIDM00266,5.005037,4.1003747
54,XAV939,SIDM00935,3.7960095,2.7792206
55,GSK591,SIDM00444,5.896787,4.8178196
56,GSK591,SIDM00680,4.151777,3.915265
57,Vinblastine,SIDM00527,-5.760698,3.5311136
58,Cisplatin,SIDM01140,0.8183185,2.4957042
59,UMI-77,SIDM00808,2.412656,2.1236763
60,Foretinib,SIDM00424,0.6336855,0.37333104
61,NVP-ADW742,SIDM01007,1.447737,2.3776426
62,RVX-208,SIDM00875,4.043915,4.738261
63,MN-64,SIDM00418,6.880959,5.635765
64,Dactinomycin,SIDM00781,-2.355409,-2.089163
65,AZD5582,SIDM00274,4.271529,2.4603815
66,AZD4547,SIDM00527,2.939274333333333,2.5598679
67,5-Fluorouracil,SIDM00875,2.249926,2.983574
68,AZD8186,SIDM01007,1.516528,2.3993373
69,OF-1,SIDM00211,2.668586,3.8473973
70,OTX015,SIDM00274,2.707552,3.0830574
71,GDC0810,SIDM00444,5.8931,5.3603983
72,MK-8776,SIDM00875,0.000374,3.2186608
73,5-Fluorouracil,SIDM01259,3.805786,2.3519006
74,Ibrutinib,SIDM00935,-1.188035,2.7373836
75,IWP-2,SIDM01140,1.295128,3.2134547
76,Bortezomib,SIDM00266,-4.999663,-3.3512259
77,Rapamycin,SIDM01120,-3.5420575000000003,-1.2214364
78,Obatoclax Mesylate,SIDM00781,0.673216,1.5518249
79,UMI-77,SIDM00491,3.157632,2.478592
80,Foretinib,SIDM00114,4.032063,0.90665513
81,Leflunomide,SIDM00420,5.584777,5.2093487
82,ML323,SIDM00527,4.776311,4.992106
83,PFI3,SIDM00781,6.548973,6.0281506
84,Nilotinib,SIDM00418,4.4716765,4.0207906
85,BMS-345541,SIDM00418,3.612985,4.328953
86,PD0325901,SIDM01133,2.498861,3.1866848
87,WIKI4,SIDM00418,3.522113,4.573187
88,Venetoclax,SIDM00448,2.199683,2.2353482
89,Lapatinib,SIDM00491,3.885285,2.8649914
90,VE-822,SIDM00274,3.774455,4.1809106
91,Ulixertinib,SIDM01149,3.181061,2.2597184
92,LY2109761,SIDM00393,5.61415,5.5476537
93,AZD4547,SIDM00680,4.166892666666667,2.4038627
94,LGK974,SIDM00343,4.0447195,3.7172437
95,Obatoclax Mesylate,SIDM00448,0.0528765,1.254051
96,GSK1904529A,SIDM01120,3.161773,3.8354187
97,PFI3,SIDM00420,5.608977,6.473647
98,SCH772984,SIDM00243,1.895984,3.966862
99,ML323,SIDM00211,2.551508,3.4344554
100,GSK591,SIDM00420,4.825769,5.1104574
101,PCI-34051,SIDM00418,6.28894,5.9101386
102,Cisplatin,SIDM01007,3.553252333333333,2.1472933
103,Trametinib,SIDM00343,2.1035685,0.18578027
104,OSI-027,SIDM00968,1.670482,3.7680068
105,BIBR-1532,SIDM00935,5.274594,4.3523917
106,Sorafenib,SIDM00393,2.603132,4.6548386
107,AGI-5198,SIDM00274,5.408342,5.1833334
108,I-BRD9,SIDM00448,3.606633,3.8929143
109,AMG-319,SIDM01120,4.153882,4.7457447
110,Venetoclax,SIDM00418,4.433179,4.6329207
111,Irinotecan,SIDM00211,-0.358225,0.98408395
112,Bortezomib,SIDM00808,-5.6939755000000005,-3.6596313
113,5-Fluorouracil,SIDM01140,1.742577,4.1159987
114,OF-1,SIDM00424,3.94476,3.5924544
115,Ulixertinib,SIDM00527,0.084038,1.8806479
116,Pictilisib,SIDM00362,0.1674403333333333,2.6445472
117,GSK343,SIDM00243,1.903328,4.1758957
118,I-BET-762,SIDM00260,3.673006,4.025847
119,OF-1,SIDM01140,3.232611,4.125686
120,AZ6102,SIDM01007,1.37161,3.4971194
121,Cytarabine,SIDM01133,3.491713,2.3820624
122,AZ960,SIDM00274,2.367271,3.0216782
123,Nilotinib,SIDM01133,2.3077295,3.8635325
124,LCL161,SIDM00211,1.7095034999999998,2.4720187
125,RVX-208,SIDM00362,3.374982,3.2269785
