,drug,cell_line,IC50,prediction
0,Linsitinib,SIDM00202,1.1471795,2.5476851
1,I-BRD9,SIDM00375,5.680769,4.9040666
2,Buparlisib,SIDM00225,1.649161,1.2534691
3,BMS-754807,SIDM00136,-1.4329275,2.375659
4,Entospletinib,SIDM00958,2.171126,2.7583272
5,Osimertinib,SIDM00412,-0.223318,0.8424919
6,Venetoclax,SIDM01174,4.563162,4.1116676
7,Paclitaxel,SIDM01006,-4.897769,-3.2535038
8,Niraparib,SIDM00099,6.730591,5.924888
9,Palbociclib,SIDM00935,0.8469855000000001,2.3388138
10,Foretinib,SIDM00233,0.1451215,-0.82124877
11,GSK2578215A,SIDM00444,2.323853,3.7332997
12,Trametinib,SIDM00099,0.1157444999999999,1.1650721
13,AZ6102,SIDM00530,3.614544,3.245555
14,VX-11e,SIDM00808,3.520727,2.0131264
15,Fulvestrant,SIDM00111,3.669574666666667,3.865171
16,Afatinib,SIDM00224,3.1259339999999995,2.1381335
17,Tamoxifen,SIDM00606,3.101656,3.4411597
18,PFI3,SIDM00834,5.964981,6.1645694
19,VX-11e,SIDM00504,3.174275,1.8393756
20,BIBR-1532,SIDM00424,4.292196,3.0649376
21,OSI-027,SIDM00810,3.5443775,2.5484567
22,EPZ004777,SIDM00375,5.754359,4.695802
23,VE821,SIDM00783,5.195233,3.2155366
24,Cytarabine,SIDM01006,3.1105215,0.055997677
25,SCH772984,SIDM01093,4.361179,4.0922837
26,BMS-536924,SIDM00549,2.829683333333333,2.620636
27,Dinaciclib,SIDM00264,-1.855651,-2.499513
28,Ipatasertib,SIDM00600,2.843806,3.6400814
29,MIRA-1,SIDM00846,4.336999,5.416241
30,Docetaxel,SIDM00438,-1.761089,0.4313781
31,AZD7762,SIDM00842,-0.683607,0.63351315
32,MIM1,SIDM01248,4.162001,4.166741
33,AZ960,SIDM00309,1.640554,2.0801868
34,Buparlisib,SIDM00537,0.369063,1.0368325
35,AZD5363,SIDM00623,3.850706,3.8318257
36,Ipatasertib,SIDM00487,3.769082,3.0560842
37,Dabrafenib,SIDM00758,3.7684915,3.810121
38,LGK974,SIDM00260,3.0883595,4.086284
39,BMS-536924,SIDM00841,2.34875,2.6933792
40,P22077,SIDM00261,3.726985,3.4828916
41,Sabutoclax,SIDM00243,-3.164077,-1.5722852
42,Luminespib,SIDM00962,-3.5437135,-4.2319136
43,Erlotinib,SIDM01259,3.6602205,2.7483428
44,Sorafenib,SIDM01042,1.4984385,2.341331
45,IWP-2,SIDM00104,3.278315,3.9634666
46,Taselisib,SIDM01007,1.123819,1.7116327
47,SCH772984,SIDM00465,1.827665,2.0972853
48,LY2109761,SIDM00343,6.074611,5.492435
49,Gefitinib,SIDM00527,2.430632,1.6915843
50,EPZ5676,SIDM00612,6.052595,5.4868827
51,VE-822,SIDM00129,1.418061,3.0200744
52,LY2109761,SIDM00218,8.170369,7.0839705
53,Dasatinib,SIDM00842,2.53254,0.5002929
54,LGK974,SIDM00832,3.596705,4.1556544
55,Gefitinib,SIDM00627,0.5111165,1.8172295
56,Ibrutinib,SIDM00519,5.690033,5.229782
57,GSK343,SIDM00483,4.4337295,5.4693155
58,Leflunomide,SIDM00411,6.228413,6.012652
59,PLX-4720,SIDM00137,5.130909,3.6124887
60,ML323,SIDM00121,3.255807,3.0508275
61,Sapitinib,SIDM00374,5.102179,4.071997
62,AZD7762,SIDM00540,0.114367,-1.5725338
63,Lapatinib,SIDM00976,4.079491,2.906818
64,Osimertinib,SIDM00832,3.396377,2.224226
65,NVP-ADW742,SIDM00508,0.637452,2.6254396
66,BMS-536924,SIDM00299,1.5834793333333337,2.5577393
67,XAV939,SIDM00550,4.145919,3.4496188
68,Oxaliplatin,SIDM00104,6.3861865,5.407268
69,Olaparib,SIDM01011,2.6509276666666666,2.8375025
70,Oxaliplatin,SIDM00612,6.6432255,6.1979513
71,I-BET-762,SIDM01132,4.675969,3.379912
72,LGK974,SIDM00537,3.657959,3.5640721
73,BMS-345541,SIDM00808,2.1834875,1.8907762
74,Vorinostat,SIDM00285,0.312737,0.85980624
75,Vinblastine,SIDM00596,-2.3201215,3.6615882
76,Dactolisib,SIDM00542,-1.895397,-1.3124164
77,Linsitinib,SIDM01160,4.3940165,3.6869988
78,IWP-2,SIDM00098,3.953942,3.644577
79,PLX-4720,SIDM00472,5.157571,3.9913855
80,Buparlisib,SIDM00174,-0.737503,1.4840735
81,SCH772984,SIDM00045,1.41514,1.8148412
82,Trametinib,SIDM00308,-5.543896,-1.6754832
83,NVP-ADW742,SIDM01175,6.103876,5.035977
84,Foretinib,SIDM01245,-1.722253,-0.7081049
85,Lapatinib,SIDM01122,4.48507,3.0466123
86,Crizotinib,SIDM00262,1.920884,2.6384268
87,MK-8776,SIDM00064,4.537834,3.891076
88,Entospletinib,SIDM00263,2.413226,4.0217814
89,I-BET-762,SIDM00496,2.3780465,4.290951
90,Sapitinib,SIDM00324,4.596575,3.7735376
91,Gemcitabine,SIDM00388,-2.2657086666666664,2.1251094
92,VE821,SIDM01132,4.969494,3.2379036
93,LGK974,SIDM00101,3.9959995,4.376258
94,Taselisib,SIDM00328,-1.106792,1.4992149
95,VE-822,SIDM00234,4.174516,2.593697
96,MN-64,SIDM00263,4.451203,4.4799175
97,Sabutoclax,SIDM00042,-0.390211,-0.8012037
98,Linsitinib,SIDM00833,2.9068465,3.9939027
99,PRT062607,SIDM00242,1.49152,2.3525167
100,Entospletinib,SIDM00362,2.400345,2.5337367
101,BMS-345541,SIDM00631,3.6118015,3.1229503
102,Leflunomide,SIDM00188,6.060631,5.494767
103,Luminespib,SIDM00591,-3.088596,-3.1086423
104,Talazoparib,SIDM00326,2.176074,2.0134912
105,BMS-536924,SIDM00384,1.2174345,1.928757
106,Obatoclax Mesylate,SIDM00923,-0.377454,0.65450174
107,Epirubicin,SIDM00101,0.311672,0.19141072
108,Dinaciclib,SIDM00627,-3.366333,-2.9034452
109,GSK2578215A,SIDM00889,4.284184,2.8864884
110,Sorafenib,SIDM01168,3.576484,4.5100045
111,Cediranib,SIDM00789,1.819467,2.4731078
112,AZD7762,SIDM00176,0.6057473333333333,-0.70385915
113,SCH772984,SIDM01198,2.121713,3.2889433
114,Talazoparib,SIDM00562,3.7670635,2.834145
115,GSK2578215A,SIDM00627,5.813593,3.1485276
116,Epirubicin,SIDM00528,1.499603,0.3597571
117,Niraparib,SIDM00180,4.578204,3.2197864
118,Talazoparib,SIDM00951,1.0422034999999998,1.0711844
119,Navitoclax,SIDM00679,2.904701,3.4385295
120,Buparlisib,SIDM00418,2.408224,3.9760323
121,PLX-4720,SIDM00810,4.1510386666666665,3.0447478
122,AZD3759,SIDM00498,3.058353,2.8705585
123,RVX-208,SIDM00137,5.541491,5.509523
124,Trametinib,SIDM01041,-0.254034,-0.74013263
125,MK-2206,SIDM00274,2.4020585,3.417079
126,GSK343,SIDM00519,3.479219,4.70822
127,Camptothecin,SIDM00948,-2.38102,-2.2614195
128,AZ6102,SIDM00974,2.264141,2.7541866
129,AZD5363,SIDM00216,3.222017,2.405048
130,I-BRD9,SIDM00292,5.688661,6.187919
131,Talazoparib,SIDM00299,1.410146,2.5284915
132,MK-1775,SIDM00269,0.570775,1.0727681
133,EPZ5676,SIDM00808,5.135965,3.5885086
134,VE-822,SIDM00292,5.044971,5.089542
135,ML323,SIDM00517,6.602659,4.2442927
136,BMS-345541,SIDM00100,4.1048855,4.2722125
137,PCI-34051,SIDM00188,5.900409,4.8339305
138,AT13148,SIDM00699,6.14568,4.065698
139,Dactinomycin,SIDM00118,-4.6944815,-2.0600553
140,Cisplatin,SIDM00863,1.8601046666666663,1.9715073
141,CZC24832,SIDM00256,4.282043,4.3414645
142,PD0325901,SIDM00444,2.2783665,1.9328576
143,Crizotinib,SIDM01245,0.1522,1.1081697
144,ABT737,SIDM01179,5.401768,3.4263165
145,PFI3,SIDM01019,4.898606,4.7002935
146,AZD7762,SIDM00923,-1.230129,-1.2699072
147,IWP-2,SIDM00332,3.685837,4.565703
148,Gemcitabine,SIDM00826,-0.262315,2.8097563
149,EPZ004777,SIDM00496,5.239564,4.820413
150,EPZ004777,SIDM00953,5.121533,3.4536614
151,Epirubicin,SIDM00958,-3.706492,-2.8032734
152,GDC0810,SIDM01120,4.483888,4.8558283
153,Sorafenib,SIDM00197,1.5867395000000002,2.6332822
154,LCL161,SIDM00632,4.0050805,2.965942
155,LY2109761,SIDM01090,5.519518,4.9848194
156,AZ6102,SIDM00813,1.618735,2.5110607
157,PD0325901,SIDM01064,1.9026825,2.530644
158,UMI-77,SIDM00277,1.631627,1.2166965
159,Rapamycin,SIDM00137,-1.5885,-0.85646695
160,Wee1 Inhibitor,SIDM00491,2.494311,2.8006535
161,LGK974,SIDM00044,4.736844,4.059925
162,Sapitinib,SIDM00323,4.432624,4.1482635
163,Paclitaxel,SIDM01073,-5.106665,-3.0629108
164,AT13148,SIDM00201,2.559567,3.0931978
165,PD0325901,SIDM00519,1.456533,1.6588986
166,Obatoclax Mesylate,SIDM00900,-1.413755,0.5987039
167,Paclitaxel,SIDM00679,-0.400741,-1.5595833
168,WIKI4,SIDM00317,4.375759,5.538817
169,AZ6102,SIDM01120,2.223618,3.3668013
170,Navitoclax,SIDM00127,3.4458515,3.4993348
171,Afuresertib,SIDM00289,-0.077123,2.5859637
172,CZC24832,SIDM00817,5.665354,5.5697694
173,Alpelisib,SIDM00042,3.317094,2.6767392
174,Oxaliplatin,SIDM00668,1.6582095,2.5983796
175,Gefitinib,SIDM00520,3.1532145,2.7116723
176,Afuresertib,SIDM00287,1.688533,1.8249482
177,Crizotinib,SIDM00834,2.672397,3.0072837
178,VX-11e,SIDM00201,2.8750805,2.066267
179,GSK1904529A,SIDM00489,3.0820035,3.1092057
180,AZD5582,SIDM00416,1.984,0.21625319
181,Dactolisib,SIDM00262,-2.432267,-1.020916
182,Crizotinib,SIDM00530,4.903262,2.6431184
183,BMS-536924,SIDM00259,0.9379276666666666,1.9568312
184,Bortezomib,SIDM00098,-5.193308,-2.4693775
185,Fulvestrant,SIDM01160,4.844881666666667,3.8514686
186,P22077,SIDM00758,4.419882,5.3997674
187,LGK974,SIDM00362,2.6351115,2.4854264
188,I-BET-762,SIDM01163,5.947471999999999,6.3503113
189,Afatinib,SIDM00700,4.485492666666667,3.7520385
190,AMG-319,SIDM00935,5.418962,1.9931389
191,VE-822,SIDM00491,4.88848,4.430611
192,Vorinostat,SIDM01132,0.326986,1.1782441
193,Camptothecin,SIDM00257,-3.507236,-3.454277
194,Navitoclax,SIDM00688,3.3354945000000003,1.9466175
195,Pictilisib,SIDM00565,0.2600553333333333,3.5636804
196,Dasatinib,SIDM01237,4.732042,2.6998959
197,Lapatinib,SIDM00407,1.6224690000000002,-0.03869898
198,Fulvestrant,SIDM00407,2.084535,2.2441397
199,Docetaxel,SIDM00551,-6.875458,-1.3387272
200,GSK2578215A,SIDM01092,5.249439,3.025778
201,AZD7762,SIDM00377,-1.2071343333333333,-0.52947336
202,ABT737,SIDM00501,3.181469,3.2259457
203,Dactolisib,SIDM01011,-3.356123,-1.8947046
204,Fulvestrant,SIDM01090,3.200624,3.2594287
205,Paclitaxel,SIDM00199,-1.807839,-1.90794
206,Gemcitabine,SIDM00553,-1.40837,1.9441546
207,Navitoclax,SIDM00638,3.0983895,2.679174
208,AGI-6780,SIDM00190,3.7784125,4.1324534
209,IWP-2,SIDM00211,0.634004,1.0819001
210,LGK974,SIDM00411,4.343795,4.907579
211,Paclitaxel,SIDM01229,-2.8468425,-1.6700199
212,WEHI-539,SIDM00199,3.955612,4.673287
213,PLX-4720,SIDM00343,4.6314226666666665,4.022402
214,Afatinib,SIDM01259,1.8536236666666668,1.4693787
215,Obatoclax Mesylate,SIDM00842,-0.973098,1.4226929
216,MN-64,SIDM01205,4.444868,3.9473054
217,AZ960,SIDM00562,4.420438,2.0874531
218,AZD5363,SIDM00101,4.487076,4.361347
219,Lapatinib,SIDM00975,4.757882,3.4843578
220,I-BRD9,SIDM00316,4.285892,4.381949
221,AZD8186,SIDM00243,2.544872,2.1554499
222,MIRA-1,SIDM00544,5.374063,4.8168297
223,VE821,SIDM00969,2.901167,3.2260518
224,Luminespib,SIDM00293,-0.863049,-2.7760131
