,drug,cell_line,IC50,prediction
0,RVX-208,SIDM00214,5.345416,3.3841512
1,I-BRD9,SIDM00261,3.161915,2.7382073
2,Tamoxifen,SIDM01259,2.3264295,1.7629913
3,Lapatinib,SIDM00045,2.0251475,-0.94469655
4,EPZ004777,SIDM00783,5.083257,0.6822389
5,EPZ5676,SIDM00896,4.458965,3.0163155
6,I-BRD9,SIDM00917,3.280439,2.4883864
7,KU-55933,SIDM00954,4.5482245,5.2420588
8,EPZ004777,SIDM00114,6.607752,3.4362707
9,Crizotinib,SIDM00606,3.93993,3.1713989
10,Sapitinib,SIDM00930,5.364807,1.8885658
11,AZD5582,SIDM00218,5.3412885,5.1293592
12,EPZ004777,SIDM00256,4.339178,-0.23800254
13,Crizotinib,SIDM01247,1.223581,2.6481097
14,UMI-77,SIDM00917,2.442734,2.571532
15,I-BET-762,SIDM00198,3.416004,3.8303595
16,Camptothecin,SIDM00917,-5.095388,-0.041666143
17,5-Fluorouracil,SIDM00472,5.961736999999999,4.234576
18,UMI-77,SIDM00562,1.823414,3.0987036
19,Camptothecin,SIDM00101,-1.391849,3.5016847
20,Sapitinib,SIDM00256,4.146909,1.3043133
21,5-Fluorouracil,SIDM00958,2.850447,1.5065674
22,EPZ5676,SIDM00406,3.338488,2.479162
23,RVX-208,SIDM01122,5.908953,4.2759113
24,I-BET-762,SIDM00501,4.056707,4.456601
25,EPZ5676,SIDM00102,6.758178,5.9119797
26,I-BRD9,SIDM00623,5.803791,4.0140915
27,Lapatinib,SIDM00302,3.3607455,-0.04353895
28,Crizotinib,SIDM00489,2.473663,2.3328264
29,Lapatinib,SIDM00885,4.0919035,1.4513674
30,Sapitinib,SIDM00688,4.505622,0.18269865
31,Lapatinib,SIDM00896,2.1056980000000003,0.21724704
32,AZD5582,SIDM00056,1.379435,1.510636
33,Lapatinib,SIDM01251,2.2817,-0.060592018
34,I-BRD9,SIDM01149,3.388598,3.1604965
35,AZD5582,SIDM00577,4.642208,1.8450774
36,Camptothecin,SIDM00835,0.012046,3.4342349
37,Camptothecin,SIDM00482,-4.387523,-0.43879783
38,I-BET-762,SIDM00064,3.430299,3.9245784
39,AZD5582,SIDM00668,1.92563,0.6830777
40,5-Fluorouracil,SIDM00198,3.907721,2.9655666
41,Sapitinib,SIDM00266,5.005037,0.87377465
42,Camptothecin,SIDM00537,-3.133379,1.3943961
43,Lapatinib,SIDM00103,5.417033,1.823831
44,Lapatinib,SIDM00326,2.4395995,0.35760003
45,Sapitinib,SIDM01042,3.471816,0.9612428
46,Camptothecin,SIDM00971,2.836993,4.2951927
47,EPZ5676,SIDM00814,5.400431,3.3436544
48,5-Fluorouracil,SIDM00441,1.35804,1.8075584
49,Lapatinib,SIDM00539,0.913972,1.06887
50,Lapatinib,SIDM00923,2.094829,-0.05753971
51,RVX-208,SIDM00310,5.92736,4.253089
52,I-BRD9,SIDM00127,5.308305,3.915983
53,EPZ004777,SIDM00487,4.404049,0.81978124
54,UMI-77,SIDM00808,2.412656,2.523867
55,RVX-208,SIDM00875,4.043915,2.6622918
56,I-BRD9,SIDM01187,5.630752,4.7829504
57,EPZ5676,SIDM00517,6.292871,4.62344
58,AZD5582,SIDM00274,4.271529,2.790273
59,5-Fluorouracil,SIDM00045,1.814785,1.4196204
60,5-Fluorouracil,SIDM00875,2.249926,2.3715785
61,EPZ5676,SIDM00137,6.404606,4.9012885
62,5-Fluorouracil,SIDM00410,0.3689429999999999,2.2838051
63,EPZ5676,SIDM00324,5.521895,2.418994
64,EPZ004777,SIDM00064,5.539148,1.7353451
65,Camptothecin,SIDM00599,-4.371271,0.5117708
66,5-Fluorouracil,SIDM01259,3.805786,2.5056384
67,UMI-77,SIDM00227,3.677664,3.8404024
68,Sapitinib,SIDM00465,-1.078311,1.4290447
69,EPZ5676,SIDM00732,5.470037,4.7543483
70,5-Fluorouracil,SIDM00719,6.5891225,4.263706
71,Camptothecin,SIDM00328,1.324286,1.7380487
72,UMI-77,SIDM00491,3.157632,4.1447783
73,5-Fluorouracil,SIDM00332,5.864709,4.133402
74,Tamoxifen,SIDM01042,2.6248685,1.5740712
75,5-Fluorouracil,SIDM00216,2.7291325,2.1355839
76,RVX-208,SIDM00099,7.665686,5.414777
77,UMI-77,SIDM00621,2.625885,4.665759
78,EPZ5676,SIDM01206,4.695475,2.7320824
79,Lapatinib,SIDM01179,4.714086,0.95569956
80,Lapatinib,SIDM00101,5.751819,3.4143434
81,Lapatinib,SIDM00491,3.885285,1.3827837
82,Sapitinib,SIDM00482,2.772847,0.9686973
83,RVX-208,SIDM00086,5.385999,4.337207
84,I-BRD9,SIDM00544,4.346624,3.7287614
85,I-BRD9,SIDM01146,4.362319,4.184364
86,I-BET-762,SIDM00974,3.629292,4.007846
87,Tamoxifen,SIDM00542,4.4546715,3.406277
88,EPZ5676,SIDM00885,5.117681,3.8079123
89,Lapatinib,SIDM00889,2.498246,0.019834854
90,I-BRD9,SIDM00180,5.916718,2.9001987
91,I-BRD9,SIDM00592,3.839586,3.2028973
92,Crizotinib,SIDM00975,3.167436,3.8394308
93,UMI-77,SIDM01047,1.99325,2.9606206
94,I-BET-762,SIDM00553,2.677082,3.1459663
95,Sapitinib,SIDM00621,5.666476,3.2462285
96,Tamoxifen,SIDM00287,3.3064325,1.5017565
97,Crizotinib,SIDM00969,1.740469,3.0434635
