,drug,cell_line,IC50,prediction
0,MIRA-1,SIDM00517,6.073941,4.0237784
1,Cisplatin,SIDM01114,2.006427,-0.7621666
2,WIKI4,SIDM00244,3.914198,1.6250224
3,BMS-536924,SIDM00537,1.733863,-0.7452671
4,Bortezomib,SIDM01093,-4.115848,3.078389
5,MK-1775,SIDM00094,1.91712,3.3978906
6,LY2109761,SIDM00539,5.400771,0.5192437
7,LGK974,SIDM01233,3.895076,4.0373964
8,GDC0810,SIDM00496,4.965005,0.36930633
9,Sorafenib,SIDM00551,2.384396,3.2579582
10,BMS-536924,SIDM01093,3.1085975,1.2469862
11,Bortezomib,SIDM01161,-4.938108,2.0529451
12,LGK974,SIDM00520,3.924767,3.7656424
13,Fulvestrant,SIDM00136,3.780350333333333,-0.68264645
14,Entospletinib,SIDM00244,1.924032,2.132427
15,MIM1,SIDM01175,4.770428,2.9130223
16,Oxaliplatin,SIDM00561,1.8525435,0.2815581
17,Cisplatin,SIDM00064,1.7632536666666667,-0.24428663
18,LY2109761,SIDM00837,4.501555,-0.98895293
19,Cisplatin,SIDM00120,2.2501773333333333,1.4128385
20,WIKI4,SIDM01229,4.344849,2.6019266
21,MK-1775,SIDM00381,0.971567,2.4007876
22,Oxaliplatin,SIDM00539,4.1511535,1.7277431
23,WIKI4,SIDM00056,3.873413,1.9789131
24,MIM1,SIDM00042,3.76392,1.8304598
25,MIRA-1,SIDM00817,5.042824,3.883786
26,LGK974,SIDM01126,3.0547295,2.8437784
27,Entospletinib,SIDM00375,4.530611,3.5512745
28,Cisplatin,SIDM01197,5.9172183333333335,0.7100563
29,Cisplatin,SIDM00842,2.6765326666666667,0.6253993
30,BMS-536924,SIDM01095,-0.1175565,0.17164162
31,BMS-536924,SIDM00202,0.3315213333333333,1.4426744
32,GDC0810,SIDM00540,5.695754,-0.5048478
33,WIKI4,SIDM00377,4.253178,2.5771837
34,MIRA-1,SIDM00896,3.206583,1.991041
35,LGK974,SIDM00230,3.247925,2.4655583
36,Entospletinib,SIDM00407,0.132074,1.539576
37,GDC0810,SIDM00091,6.973783,1.403204
38,Fulvestrant,SIDM00196,3.374845333333333,-0.3630799
39,Sorafenib,SIDM00377,3.169837,4.1584044
40,Entospletinib,SIDM01161,3.186478,3.027371
41,MK-1775,SIDM00792,0.563692,2.4381404
42,Oxaliplatin,SIDM00550,5.7256415,1.7047429
43,Oxaliplatin,SIDM00287,1.0486,-0.5801795
44,MK-1775,SIDM01140,-0.266866,-0.20294991
45,LY2109761,SIDM00317,7.386086,3.244746
46,Fulvestrant,SIDM00565,4.188992333333334,1.4416678
47,BMS-536924,SIDM01146,2.648853,-0.09278026
48,Cisplatin,SIDM00003,3.28203,-0.9238654
49,WIKI4,SIDM00842,3.679508,2.03949
50,Fulvestrant,SIDM01197,4.608084666666667,1.8100269
51,LY2109761,SIDM00835,6.28493,2.5025997
52,LY2109761,SIDM00688,3.231947,-1.3305304
53,Fulvestrant,SIDM00154,3.346953333333333,-0.5602295
54,Oxaliplatin,SIDM00953,3.4108355,0.42963588
55,MIRA-1,SIDM00793,4.095742,2.9436522
56,Sorafenib,SIDM00974,1.369742,3.673806
57,LGK974,SIDM00346,2.4880465000000003,2.211726
58,Cisplatin,SIDM00216,2.102376,-1.5848007
