,drug,cell_line,IC50,prediction
0,Afatinib,SIDM00289,1.7911963333333334,1.6163794
1,AZD5582,SIDM00277,-0.0211104999999999,0.688516
2,LGK974,SIDM01145,3.2463005000000003,2.1884892
3,EPZ5676,SIDM01228,6.065731,4.6687403
4,AZ960,SIDM00445,2.460955,1.9440576
5,Ulixertinib,SIDM00302,3.2015695,2.8629646
6,Alisertib,SIDM00621,0.3069999999999999,1.5037147
7,Leflunomide,SIDM01042,5.062318,3.2990267
8,Vinorelbine,SIDM01095,-3.62104,-2.8634012
9,Pictilisib,SIDM01197,0.6711546666666667,3.4231162
10,Nilotinib,SIDM00579,2.2341145,2.6739051
11,Pevonedistat,SIDM01197,3.6369465,2.5188658
12,WEHI-539,SIDM00422,-0.659821,2.6035116
13,Olaparib,SIDM00885,3.069203,4.1322737
14,Entospletinib,SIDM00638,3.596209,4.458985
15,Erlotinib,SIDM00976,4.36099,3.455286
16,GSK2578215A,SIDM00274,5.753257,4.140733
17,AZ960,SIDM00180,0.608721,1.105907
18,Buparlisib,SIDM00900,-0.20368,0.96842444
19,UMI-77,SIDM01197,5.513878,4.284667
20,Foretinib,SIDM00967,1.229189,1.2073425
21,RVX-208,SIDM01090,4.203541,4.9586244
22,Oxaliplatin,SIDM00324,4.4340905,3.5168607
23,Entospletinib,SIDM00064,2.861308,4.5432153
24,Ulixertinib,SIDM00422,2.5125900000000003,3.0889018
25,Pevonedistat,SIDM00251,0.1539199999999999,1.1456047
26,LY2109761,SIDM01175,6.611881,6.8171763
27,AZD6738,SIDM00377,3.033682,1.8770293
28,GSK591,SIDM00923,4.151483,4.0019364
29,Gemcitabine,SIDM01197,2.464501,3.5285122
30,Cytarabine,SIDM00900,0.2204635,0.2513993
31,Paclitaxel,SIDM01205,-2.7631605,-2.870646
32,PRT062607,SIDM00137,1.965982,4.45241
33,Leflunomide,SIDM00491,5.603959,4.935732
34,Buparlisib,SIDM00276,0.442025,1.3579601
35,RVX-208,SIDM00842,4.756647,4.279776
36,MN-64,SIDM00542,5.929403,4.919228
37,Sepantronium bromide,SIDM00834,2.209383,-0.880074
38,Linsitinib,SIDM00834,3.1938375,3.8071833
39,LGK974,SIDM01197,3.592521,3.9580324
40,Bortezomib,SIDM01163,-2.579502,-2.7053275
41,AZD8186,SIDM01163,2.617801,3.7424338
42,AGI-6780,SIDM00411,4.029636,4.3961887
43,I-BRD9,SIDM00096,1.378659,2.124786
44,AZD5363,SIDM00962,2.58898,3.1099827
45,OF-1,SIDM00520,4.622042,4.972669
46,GSK1904529A,SIDM00527,3.5077225,3.260424
47,MIRA-1,SIDM00424,4.171627,3.8981228
48,Cyclophosphamide,SIDM00412,3.329276,3.7950513
49,Wee1 Inhibitor,SIDM00953,0.4623144999999999,1.7522161
50,Foretinib,SIDM00427,-1.184961,-1.0975608
51,Crizotinib,SIDM00129,2.522388,2.0539348
52,WIKI4,SIDM01092,4.673951,4.113979
53,Pictilisib,SIDM00632,2.4895086666666666,2.5537226
54,AGI-6780,SIDM00549,2.276534,3.158005
55,ABT737,SIDM00351,0.932413,1.0423119
56,AZD5582,SIDM00969,2.3292795,1.7974952
57,Niraparib,SIDM00111,5.879019,5.337233
58,Wnt-C59,SIDM00113,4.3332820000000005,5.474955
59,Entinostat,SIDM00418,3.476636,3.0067952
60,XAV939,SIDM00047,1.6609379999999998,3.142739
61,MK-2206,SIDM00976,2.9268975,2.8827584
62,Epirubicin,SIDM00003,-1.752856,-1.4240478
63,GSK343,SIDM00793,3.029475,3.187581
64,Osimertinib,SIDM00680,1.856094,2.5098095
65,Nutlin-3a (-),SIDM00699,4.5789105,4.816878
66,AZD8055,SIDM00136,0.6001915,0.11079709
67,Oxaliplatin,SIDM00553,1.888569,2.4626734
68,PRT062607,SIDM00136,1.968832,4.08808
69,Erlotinib,SIDM00448,3.411739,2.8723361
70,AZD7762,SIDM00394,-0.6072073333333333,0.25647563
71,GDC0810,SIDM00923,4.090868,3.8988616
72,Dactolisib,SIDM00120,1.3227745,1.5336145
73,PFI3,SIDM00233,4.506931,4.3573112
74,Taselisib,SIDM00274,0.303127,1.7559344
75,CZC24832,SIDM00935,4.012235,4.7333207
76,MK-8776,SIDM00813,0.642287,1.9154721
77,PD173074,SIDM00047,3.9578845,2.7367313
78,EPZ5676,SIDM00257,5.423412,4.2806697
79,Vinorelbine,SIDM00814,-4.917624999999999,-3.6909063
80,Alpelisib,SIDM00393,2.601652,1.7814354
81,Linsitinib,SIDM00261,1.0836329999999998,2.2064247
82,Sepantronium bromide,SIDM00448,-2.9027965,-3.636848
83,PFI3,SIDM01233,6.37079,6.4310083
84,VE821,SIDM00299,6.077017,5.5294185
85,VE-822,SIDM00199,4.342661,4.5824003
86,Linsitinib,SIDM00394,2.209172,4.3459105
87,Niraparib,SIDM01122,5.822477,5.023572
88,Pevonedistat,SIDM00491,-0.312152,1.3942952
89,BIBR-1532,SIDM00091,6.34273,5.20054
90,Luminespib,SIDM00444,-1.93089,-2.876654
91,MIRA-1,SIDM01251,2.263463,3.7360046
92,MK-8776,SIDM00541,4.860267,3.1770947
93,Sepantronium bromide,SIDM00113,-0.9042889999999996,-3.2436492
94,P22077,SIDM00114,3.520511,5.4912777
95,Temozolomide,SIDM00638,6.029887,5.8979526
96,I-BET-762,SIDM00412,1.4363765,2.2510927
97,Gemcitabine,SIDM01092,-3.215663333333333,2.0828307
98,Epirubicin,SIDM00113,0.853542,0.9388567
99,Entinostat,SIDM00332,4.562075,2.666651
100,Pevonedistat,SIDM01248,-1.121124,1.4541472
101,Gefitinib,SIDM00832,3.5159735000000003,3.0055425
102,Dinaciclib,SIDM00863,-3.522387,-1.6778702
103,Talazoparib,SIDM00466,5.8775695,5.681477
104,MK-2206,SIDM00111,2.9283085,3.9245002
105,Ruxolitinib,SIDM01228,4.8167095,4.540491
106,MK-2206,SIDM00287,2.2763615,2.1156619
107,Bortezomib,SIDM00699,-5.442769999999999,-2.76077
108,Lapatinib,SIDM00501,2.61609,3.6084034
109,Afatinib,SIDM00677,1.4035803333333332,2.0753696
110,GDC0810,SIDM00176,4.506819,4.3160987
111,Irinotecan,SIDM00154,1.05637,2.2794435
112,WZ4003,SIDM00205,2.757492,2.9042227
113,Tamoxifen,SIDM00351,3.840428,3.3335035
114,WEHI-539,SIDM00042,3.630964,4.3006954
115,Trametinib,SIDM00406,0.460635,0.27276388
116,Afuresertib,SIDM00971,3.313564,4.5636287
117,Cyclophosphamide,SIDM00732,5.193706,5.4731107
118,PLX-4720,SIDM01179,3.5373406666666667,4.0553646
119,Niraparib,SIDM01007,3.969856,3.111699
120,PCI-34051,SIDM00285,2.598734,3.5425904
121,Luminespib,SIDM00929,-2.350883,-1.8825501
122,Dinaciclib,SIDM01233,-2.000374,-1.7039655
123,Crizotinib,SIDM00195,2.5434045,3.0343065
124,Vinorelbine,SIDM00974,-3.2654885,-2.6798656
125,PFI3,SIDM01251,3.93864,4.2044587
126,PD0325901,SIDM00592,-1.8583345,-0.46967044
