"","model","k","m","RR1","RR2"
"1","Hi_pbfp_mp",1,1,0.368589743589744,0.368589743589744
"2","Hi_pbfp_mp",2,2,0.506410256410256,0.475961538461538
"3","Hi_pbfp_mp",3,3,0.666666666666667,0.56517094017094
"4","Hi_pbfp_mp",4,4,0.759615384615385,0.612179487179487
"5","Hi_pbfp_mp",5,5,0.836538461538462,0.667307692307692
"6","Hi_pbfp_mp",6,6,0.878205128205128,0.724893162393162
"7","Hi_pbfp_mp",7,7,0.913461538461538,0.758241758241758
"8","Hi_pbfp_mp",8,8,0.935897435897436,0.78125
"9","Hi_pbfp_mp",9,9,0.942307692307692,0.804843304843305
"10","Hi_pbfp_mp",10,10,0.958333333333333,0.816346153846154
"11","Hi_nd_mp",1,1,0.298076923076923,0.298076923076923
"12","Hi_nd_mp",2,2,0.496794871794872,0.456730769230769
"13","Hi_nd_mp",3,3,0.631410256410256,0.541666666666667
"14","Hi_nd_mp",4,4,0.743589743589744,0.608173076923077
"15","Hi_nd_mp",5,5,0.830128205128205,0.655128205128205
"16","Hi_nd_mp",6,6,0.884615384615385,0.698717948717949
"17","Hi_nd_mp",7,7,0.919871794871795,0.739010989010989
"18","Hi_nd_mp",8,8,0.92948717948718,0.766426282051282
"19","Hi_nd_mp",9,9,0.951923076923077,0.788461538461538
"20","Hi_nd_mp",10,10,0.96474358974359,0.804807692307692
"21","Hi_pbfp_mc",1,1,0.330128205128205,0.330128205128205
"22","Hi_pbfp_mc",2,2,0.528846153846154,0.477564102564103
"23","Hi_pbfp_mc",3,3,0.66025641025641,0.542735042735043
"24","Hi_pbfp_mc",4,4,0.75,0.596955128205128
"25","Hi_pbfp_mc",5,5,0.826923076923077,0.646794871794872
"26","Hi_pbfp_mc",6,6,0.875,0.69017094017094
"27","Hi_pbfp_mc",7,7,0.91025641025641,0.730311355311355
"28","Hi_pbfp_mc",8,8,0.932692307692308,0.754407051282051
"29","Hi_pbfp_mc",9,9,0.948717948717949,0.774572649572649
"30","Hi_pbfp_mc",10,10,0.961538461538462,0.793269230769231
"31","Hi_nd_mc",1,1,0.349358974358974,0.349358974358974
"32","Hi_nd_mc",2,2,0.567307692307692,0.450320512820513
"33","Hi_nd_mc",3,3,0.67948717948718,0.526709401709402
"34","Hi_nd_mc",4,4,0.759615384615385,0.596153846153846
"35","Hi_nd_mc",5,5,0.826923076923077,0.646153846153846
"36","Hi_nd_mc",6,6,0.878205128205128,0.69017094017094
"37","Hi_nd_mc",7,7,0.907051282051282,0.735347985347985
"38","Hi_nd_mc",8,8,0.923076923076923,0.751602564102564
"39","Hi_nd_mc",9,9,0.94551282051282,0.776353276353276
"40","Hi_nd_mc",10,10,0.955128205128205,0.791025641025641
"41","Hi_pbfp_md",1,1,0.0256410256410256,0.0256410256410256
"42","Hi_pbfp_md",2,2,0.0737179487179487,0.149038461538462
"43","Hi_pbfp_md",3,3,0.179487179487179,0.276709401709402
"44","Hi_pbfp_md",4,4,0.326923076923077,0.333333333333333
"45","Hi_pbfp_md",5,5,0.432692307692308,0.383333333333333
"46","Hi_pbfp_md",6,6,0.57051282051282,0.415598290598291
"47","Hi_pbfp_md",7,7,0.67948717948718,0.428571428571429
"48","Hi_pbfp_md",8,8,0.75,0.428685897435897
"49","Hi_pbfp_md",9,9,0.814102564102564,0.436609686609687
"50","Hi_pbfp_md",10,10,0.865384615384615,0.439423076923077
"51","Hi_nd_md",1,1,0,0
"52","Hi_nd_md",2,2,0,0
"53","Hi_nd_md",3,3,0,0.00106837606837607
"54","Hi_nd_md",4,4,0,0.00400641025641026
"55","Hi_nd_md",5,5,0,0.00769230769230769
"56","Hi_nd_md",6,6,0.00320512820512821,0.0128205128205128
"57","Hi_nd_md",7,7,0.00320512820512821,0.0210622710622711
"58","Hi_nd_md",8,8,0.00320512820512821,0.0268429487179487
"59","Hi_nd_md",9,9,0.00320512820512821,0.0341880341880342
"60","Hi_nd_md",10,10,0.00320512820512821,0.0445512820512821
