"","model","k","m","RR1","RR2"
"1","PM_s_mp",1,1,0.310897435897436,0.310897435897436
"2","PM_s_mp",2,2,0.5,0.435897435897436
"3","PM_s_mp",3,3,0.657051282051282,0.523504273504274
"4","PM_s_mp",4,4,0.746794871794872,0.59775641025641
"5","PM_s_mp",5,5,0.82051282051282,0.650641025641026
"6","PM_s_mp",6,6,0.868589743589744,0.703525641025641
"7","PM_s_mp",7,7,0.926282051282051,0.738553113553113
"8","PM_s_mp",8,8,0.942307692307692,0.755608974358974
"9","PM_s_mp",9,9,0.958333333333333,0.776709401709402
"10","PM_s_mp",10,10,0.96474358974359,0.785576923076923
"11","PM_nd_mp",1,1,0.243589743589744,0.243589743589744
"12","PM_nd_mp",2,2,0.365384615384615,0.333333333333333
"13","PM_nd_mp",3,3,0.516025641025641,0.409188034188034
"14","PM_nd_mp",4,4,0.618589743589744,0.488782051282051
"15","PM_nd_mp",5,5,0.743589743589744,0.533974358974359
"16","PM_nd_mp",6,6,0.791666666666667,0.574252136752137
"17","PM_nd_mp",7,7,0.862179487179487,0.608974358974359
"18","PM_nd_mp",8,8,0.884615384615385,0.635016025641026
"19","PM_nd_mp",9,9,0.92948717948718,0.661680911680912
"20","PM_nd_mp",10,10,0.942307692307692,0.687820512820513
"21","PM_s_mc",1,1,0.307692307692308,0.307692307692308
"22","PM_s_mc",2,2,0.506410256410256,0.435897435897436
"23","PM_s_mc",3,3,0.644230769230769,0.537393162393162
"24","PM_s_mc",4,4,0.724358974358974,0.592948717948718
"25","PM_s_mc",5,5,0.807692307692308,0.627564102564103
"26","PM_s_mc",6,6,0.862179487179487,0.682692307692308
"27","PM_s_mc",7,7,0.900641025641026,0.72985347985348
"28","PM_s_mc",8,8,0.923076923076923,0.752403846153846
"29","PM_s_mc",9,9,0.955128205128205,0.772435897435897
"30","PM_s_mc",10,10,0.96474358974359,0.779807692307692
"31","PM_nd_mc",1,1,0.173076923076923,0.173076923076923
"32","PM_nd_mc",2,2,0.326923076923077,0.318910256410256
"33","PM_nd_mc",3,3,0.467948717948718,0.39957264957265
"34","PM_nd_mc",4,4,0.592948717948718,0.482371794871795
"35","PM_nd_mc",5,5,0.705128205128205,0.525641025641026
"36","PM_nd_mc",6,6,0.778846153846154,0.574252136752137
"37","PM_nd_mc",7,7,0.82051282051282,0.619505494505495
"38","PM_nd_mc",8,8,0.865384615384615,0.646233974358974
"39","PM_nd_mc",9,9,0.926282051282051,0.676994301994302
"40","PM_nd_mc",10,10,0.948717948717949,0.701602564102564
"41","PM_s_md",1,1,0.157051282051282,0.157051282051282
"42","PM_s_md",2,2,0.266025641025641,0.139423076923077
"43","PM_s_md",3,3,0.403846153846154,0.167735042735043
"44","PM_s_md",4,4,0.516025641025641,0.178685897435897
"45","PM_s_md",5,5,0.621794871794872,0.200641025641026
"46","PM_s_md",6,6,0.724358974358974,0.228632478632479
"47","PM_s_md",7,7,0.782051282051282,0.246336996336996
"48","PM_s_md",8,8,0.817307692307692,0.267227564102564
"49","PM_s_md",9,9,0.855769230769231,0.305555555555556
"50","PM_s_md",10,10,0.887820512820513,0.354166666666667
"51","PM_nd_md",1,1,0,0
"52","PM_nd_md",2,2,0.00320512820512821,0.00480769230769231
"53","PM_nd_md",3,3,0.00641025641025641,0.0202991452991453
"54","PM_nd_md",4,4,0.0128205128205128,0.0520833333333333
"55","PM_nd_md",5,5,0.0192307692307692,0.0846153846153846
"56","PM_nd_md",6,6,0.0192307692307692,0.123931623931624
"57","PM_nd_md",7,7,0.032051282051282,0.149725274725275
"58","PM_nd_md",8,8,0.0384615384615385,0.155048076923077
"59","PM_nd_md",9,9,0.0416666666666667,0.162749287749288
"60","PM_nd_md",10,10,0.0448717948717949,0.167307692307692
