"","model","k","m","RR1","RR2"
"1","pdsp_512b_mp",1,1,0.304487179487179,0.304487179487179
"2","pdsp_512b_mp",2,2,0.532051282051282,0.498397435897436
"3","pdsp_512b_mp",3,3,0.721153846153846,0.592948717948718
"4","pdsp_512b_mp",4,4,0.772435897435897,0.650641025641026
"5","pdsp_512b_mp",5,5,0.817307692307692,0.685897435897436
"6","pdsp_512b_mp",6,6,0.881410256410256,0.729700854700855
"7","pdsp_512b_mp",7,7,0.919871794871795,0.759615384615385
"8","pdsp_512b_mp",8,8,0.932692307692308,0.775240384615385
"9","pdsp_512b_mp",9,9,0.958333333333333,0.793803418803419
"10","pdsp_512b_mp",10,10,0.958333333333333,0.807692307692308
"11","pdsp_nd_mp",1,1,0.278846153846154,0.278846153846154
"12","pdsp_nd_mp",2,2,0.5,0.463141025641026
"13","pdsp_nd_mp",3,3,0.69551282051282,0.560897435897436
"14","pdsp_nd_mp",4,4,0.769230769230769,0.628205128205128
"15","pdsp_nd_mp",5,5,0.833333333333333,0.694230769230769
"16","pdsp_nd_mp",6,6,0.91025641025641,0.732905982905983
"17","pdsp_nd_mp",7,7,0.939102564102564,0.757326007326007
"18","pdsp_nd_mp",8,8,0.948717948717949,0.779246794871795
"19","pdsp_nd_mp",9,9,0.96474358974359,0.794871794871795
"20","pdsp_nd_mp",10,10,0.967948717948718,0.811538461538462
"21","pdsp_256b_mc",1,1,0.323717948717949,0.323717948717949
"22","pdsp_256b_mc",2,2,0.560897435897436,0.488782051282051
"23","pdsp_256b_mc",3,3,0.705128205128205,0.587606837606838
"24","pdsp_256b_mc",4,4,0.772435897435897,0.641025641025641
"25","pdsp_256b_mc",5,5,0.833333333333333,0.680128205128205
"26","pdsp_256b_mc",6,6,0.891025641025641,0.707799145299145
"27","pdsp_256b_mc",7,7,0.916666666666667,0.732142857142857
"28","pdsp_256b_mc",8,8,0.939102564102564,0.756410256410256
"29","pdsp_256b_mc",9,9,0.948717948717949,0.764245014245014
"30","pdsp_256b_mc",10,10,0.96474358974359,0.779487179487179
"31","pdsp_nd_mc",1,1,0.304487179487179,0.304487179487179
"32","pdsp_nd_mc",2,2,0.557692307692308,0.511217948717949
"33","pdsp_nd_mc",3,3,0.708333333333333,0.580128205128205
"34","pdsp_nd_mc",4,4,0.766025641025641,0.641826923076923
"35","pdsp_nd_mc",5,5,0.817307692307692,0.671794871794872
"36","pdsp_nd_mc",6,6,0.884615384615385,0.710470085470085
"37","pdsp_nd_mc",7,7,0.913461538461538,0.728021978021978
"38","pdsp_nd_mc",8,8,0.939102564102564,0.745592948717949
"39","pdsp_nd_mc",9,9,0.948717948717949,0.759615384615385
"40","pdsp_nd_mc",10,10,0.967948717948718,0.778205128205128
"41","pdsp_1024b_md",1,1,0.0288461538461538,0.0288461538461538
"42","pdsp_1024b_md",2,2,0.0865384615384615,0.0833333333333333
"43","pdsp_1024b_md",3,3,0.16025641025641,0.152777777777778
"44","pdsp_1024b_md",4,4,0.243589743589744,0.197115384615385
"45","pdsp_1024b_md",5,5,0.352564102564103,0.226923076923077
"46","pdsp_1024b_md",6,6,0.451923076923077,0.243055555555556
"47","pdsp_1024b_md",7,7,0.525641025641026,0.257783882783883
"48","pdsp_1024b_md",8,8,0.596153846153846,0.271233974358974
"49","pdsp_1024b_md",9,9,0.669871794871795,0.283475783475783
"50","pdsp_1024b_md",10,10,0.724358974358974,0.290705128205128
"51","pdsp_nd_md",1,1,0.0384615384615385,0.0384615384615385
"52","pdsp_nd_md",2,2,0.0833333333333333,0.0721153846153846
"53","pdsp_nd_md",3,3,0.121794871794872,0.10042735042735
"54","pdsp_nd_md",4,4,0.169871794871795,0.129807692307692
"55","pdsp_nd_md",5,5,0.221153846153846,0.152564102564103
"56","pdsp_nd_md",6,6,0.275641025641026,0.171474358974359
"57","pdsp_nd_md",7,7,0.310897435897436,0.187271062271062
"58","pdsp_nd_md",8,8,0.342948717948718,0.204326923076923
"59","pdsp_nd_md",9,9,0.384615384615385,0.214031339031339
"60","pdsp_nd_md",10,10,0.407051282051282,0.226923076923077
