"","model","k","m","RR1","RR2"
"1","SR_512b_mp",1,1,0.208333333333333,0.208333333333333
"2","SR_512b_mp",2,2,0.423076923076923,0.41025641025641
"3","SR_512b_mp",3,3,0.580128205128205,0.495726495726496
"4","SR_512b_mp",4,4,0.701923076923077,0.592948717948718
"5","SR_512b_mp",5,5,0.772435897435897,0.653846153846154
"6","SR_512b_mp",6,6,0.852564102564103,0.696047008547009
"7","SR_512b_mp",7,7,0.894230769230769,0.737179487179487
"8","SR_512b_mp",8,8,0.916666666666667,0.756810897435897
"9","SR_512b_mp",9,9,0.955128205128205,0.766737891737892
"10","SR_512b_mp",10,10,0.967948717948718,0.783974358974359
"11","SR_nd_mp",1,1,0.288461538461538,0.288461538461538
"12","SR_nd_mp",2,2,0.57051282051282,0.46474358974359
"13","SR_nd_mp",3,3,0.727564102564103,0.567307692307692
"14","SR_nd_mp",4,4,0.810897435897436,0.62900641025641
"15","SR_nd_mp",5,5,0.887820512820513,0.673717948717949
"16","SR_nd_mp",6,6,0.955128205128205,0.721153846153846
"17","SR_nd_mp",7,7,0.971153846153846,0.746794871794872
"18","SR_nd_mp",8,8,0.987179487179487,0.767227564102564
"19","SR_nd_mp",9,9,0.990384615384615,0.774216524216524
"20","SR_nd_mp",10,10,0.993589743589744,0.786858974358974
"21","SR_1024b_mc",1,1,0.176282051282051,0.176282051282051
"22","SR_1024b_mc",2,2,0.375,0.354166666666667
"23","SR_1024b_mc",3,3,0.522435897435897,0.444444444444444
"24","SR_1024b_mc",4,4,0.637820512820513,0.52323717948718
"25","SR_1024b_mc",5,5,0.724358974358974,0.594230769230769
"26","SR_1024b_mc",6,6,0.810897435897436,0.680021367521368
"27","SR_1024b_mc",7,7,0.868589743589744,0.699175824175824
"28","SR_1024b_mc",8,8,0.891025641025641,0.719150641025641
"29","SR_1024b_mc",9,9,0.913461538461538,0.728632478632479
"30","SR_1024b_mc",10,10,0.926282051282051,0.75
"31","SR_nd_mc",1,1,0.278846153846154,0.278846153846154
"32","SR_nd_mc",2,2,0.519230769230769,0.415064102564103
"33","SR_nd_mc",3,3,0.666666666666667,0.517094017094017
"34","SR_nd_mc",4,4,0.791666666666667,0.567307692307692
"35","SR_nd_mc",5,5,0.875,0.641666666666667
"36","SR_nd_mc",6,6,0.939102564102564,0.700854700854701
"37","SR_nd_mc",7,7,0.974358974358974,0.722985347985348
"38","SR_nd_mc",8,8,0.990384615384615,0.732371794871795
"39","SR_nd_mc",9,9,0.993589743589744,0.741096866096866
"40","SR_nd_mc",10,10,0.996794871794872,0.762179487179487
"41","SR_pbfp_md",1,1,0.00320512820512821,0.00320512820512821
"42","SR_pbfp_md",2,2,0.00320512820512821,0.0128205128205128
"43","SR_pbfp_md",3,3,0.0192307692307692,0.0480769230769231
"44","SR_pbfp_md",4,4,0.0288461538461538,0.0841346153846154
"45","SR_pbfp_md",5,5,0.0384615384615385,0.102564102564103
"46","SR_pbfp_md",6,6,0.0448717948717949,0.123397435897436
"47","SR_pbfp_md",7,7,0.0641025641025641,0.143772893772894
"48","SR_pbfp_md",8,8,0.0737179487179487,0.155849358974359
"49","SR_pbfp_md",9,9,0.0897435897435897,0.167378917378917
"50","SR_pbfp_md",10,10,0.102564102564103,0.175961538461538
"51","SR_nd_md",1,1,0,0
"52","SR_nd_md",2,2,0.00320512820512821,0.00320512820512821
"53","SR_nd_md",3,3,0.00641025641025641,0.00534188034188034
"54","SR_nd_md",4,4,0.00641025641025641,0.00721153846153846
"55","SR_nd_md",5,5,0.00961538461538462,0.0198717948717949
"56","SR_nd_md",6,6,0.00961538461538462,0.0261752136752137
"57","SR_nd_md",7,7,0.00961538461538462,0.0334249084249084
"58","SR_nd_md",8,8,0.016025641025641,0.0436698717948718
"59","SR_nd_md",9,9,0.0224358974358974,0.0551994301994302
"60","SR_nd_md",10,10,0.0256410256410256,0.0653846153846154
