SANGER_MODEL_ID,Camptothecin,Vinblastine,Cisplatin,Cytarabine,Docetaxel,Gefitinib,Navitoclax,Vorinostat,Nilotinib,Olaparib,Axitinib,AZD7762,SB216763,KU-55933,Afatinib,PLX-4720,NU7441,Doramapimod,Wee1 Inhibitor,Nutlin-3a (-),PD173074,ZM447439,Alisertib,RO-3306,MK-2206,Palbociclib,Dactolisib,Pictilisib,AZD8055,PD0325901,Obatoclax Mesylate,5-Fluorouracil,Dasatinib,Paclitaxel,Crizotinib,Rapamycin,Sorafenib,BI-2536,Irinotecan,Oxaliplatin,BMS-536924,GSK1904529A,Tozasertib,PF-4708671,Erlotinib,Niraparib,MK-1775,Dinaciclib,Gemcitabine,Bortezomib,GSK269962A,SB505124,Tamoxifen,Fulvestrant,EPZ004777,Daporinad,BMS-345541,AZ960,Talazoparib,XAV939,Trametinib,Dabrafenib,Temozolomide,Ruxolitinib,Linsitinib,Epirubicin,Cyclophosphamide,Pevonedistat,Sapitinib,Uprosertib,LCL161,Lapatinib,Luminespib,Alpelisib,Taselisib,EPZ5676,SCH772984,IWP-2,Leflunomide,Entinostat,OSI-027,LGK974,VE-822,WZ4003,CZC24832,AZD5582,GSK2606414,PFI3,PCI-34051,Wnt-C59,I-BET-762,RVX-208,OTX015,GSK343,ML323,Entospletinib,PRT062607,Ribociclib,AGI-6780,AZD4547,Ibrutinib,Dactinomycin,Sabutoclax,LY2109761,OF-1,MN-64,Buparlisib,Ulixertinib,Venetoclax,ABT737,Afuresertib,AGI-5198,AZD3759,AZD5363,AZD6738,AZD8186,Osimertinib,Cediranib,Ipatasertib,GDC0810,GSK2578215A,I-BRD9,MIRA-1,NVP-ADW742,P22077,Savolitinib,UMI-77,WIKI4,Sepantronium bromide,MIM1,WEHI-539,Foretinib,BIBR-1532,AMG-319,MK-8776,Vinorelbine,VX-11e,AZ6102,GSK591,VE821,AZD6482,AT13148,BMS-754807,JQ1
SIDM01132,-1.462148,-4.996545,3.17951,3.213791,-4.884062,2.10137,2.450419,0.315813,2.16895,4.494687,,-0.042841,,,1.446579,5.027665,,,1.587266,4.265985,4.106489,,4.510493,,1.877479,4.259299,-2.032506,1.015942,,2.90498,0.000224,5.574523,1.948175,-3.943267,1.040588,-2.503208,1.932867,,2.481127,4.180424,0.41975,4.19757,,,2.252331,2.600782,-0.185997,-3.668932,2.349116,-6.150995,,,2.674935,3.846513,4.319647,,1.695606,1.927589,3.86599,3.302732,2.276378,5.184488,5.964321,4.543246,1.415388,-1.743808,4.856625,0.485607,4.500778,1.7600785,4.885238,2.89713,-3.308624,2.465619,0.638452,4.314814,4.205724,1.394879,3.968867,0.847219,,3.967987,2.488502,2.22207,3.994894,0.883215,3.957796,4.7381,3.99225,3.868582,4.023031,4.543921,2.354753,3.0290555,4.103119,3.085843,2.183188,,4.292794,3.801257,5.358171,-4.554066,-1.432913,5.357238,4.619518,5.344559,0.291709,2.8779045,0.006327,0.003998,2.07007,4.269208,3.119439,2.12205,1.975658,3.355738,1.280834,1.645773,2.125981,5.00697,2.80371,3.547237,5.337491,0.73185,3.697763,1.583651,2.410783,3.370777,-4.301006,3.096891,2.814106,0.945538,3.867469,4.215456,2.405312,-4.066428,2.864029,1.690747,5.237007,4.969494,,3.979802,,
SIDM00263,-3.360684,,,,,,,,,,,,,,1.332981,2.642962,,,,,,,-2.170474,,,,,,,4.267158,1.244177,3.47849,,,0.895545,,,,0.267338,3.7241475,,4.207261,,,,2.726713,,-4.021455,,,,,,,5.065463,,2.472552,0.333887,,4.040134,,,,4.570754,1.116709,,,,4.834666,1.278857,4.679478,,-3.008253,1.009765,-0.567348,5.231026,3.861207,3.219098,5.381485,0.584203,,3.832728,1.974411,2.82583,5.20026,1.50448,2.928273,5.506625,4.264437,3.892023,4.629467,5.521126,3.719046,3.025439,4.123868,2.413226,1.569325,,3.708623,,3.545287,-4.1860285,-1.424948,4.629702,3.940013,4.451203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIDM00269,-5.045014,-5.745574,0.045944,0.089974,-6.309359,2.49845,0.309114,1.129438,1.329329,1.685911,,-1.341516,,,0.864004,3.537125,,,2.178987,4.377663,4.196966,,-2.12702,,1.535065,1.575872,-3.000954,0.641617,,2.659047,-0.668578,2.514112,1.775583,-4.831254,1.019815,-0.789154,1.990456,,-2.022891,2.474007,1.86718,2.382526,,,3.341164,0.281651,0.570775,-3.598865,-4.508523,-5.116107,,,2.928963,2.5287485,5.038935,-6.855223,2.823001,0.911984,-2.314793,4.897102,2.894256,4.301264,5.234957,4.966417,2.980127,-3.639101,4.090084,-1.721992,3.880796,2.7388285,4.839528,2.437804,-2.410498,3.092414,1.657869,4.637707,3.165902,1.920653,5.119051,1.801433,,3.73511,-0.330337,2.648335,4.703685,1.687347,2.74421,4.881601,3.582907,3.731299,5.077866,5.117071,3.007366,3.020681,4.875485,4.006443,3.697544,,3.81333,2.312819,3.226271,-4.895773,-2.584685,3.305873,3.243259,4.306409,0.10745,1.5540055,1.704738,1.113148,1.663998,3.844598,2.613074,3.015407,1.441218,2.298313,1.868679,1.792966,2.872228,3.823885,4.437994,3.510669,4.523321,1.618845,4.92423,2.403808,0.335647,3.273303,-5.828215,2.284986,3.338114,-0.483746,3.86457,3.536362,2.857067,-5.498252,3.308192,1.765185,3.672636,3.588846,,3.451783,,
SIDM00203,-3.74162,-4.792588,0.924532,1.448796,-4.360344,4.092114,0.064044,0.811579,4.4557,2.078826,,-0.698661,,,1.274689,3.321074,,,1.876208,5.276328,3.802417,,4.255586,,0.974993,3.517272,-2.831145,-0.190587,,3.651219,0.716011,4.291682,4.246496,-4.469475,1.247562,-3.821143,1.969621,,-0.276155,4.0319445,0.545608,5.108084,,,3.806226,1.661607,1.873352,-3.249284,-2.456647,-4.52266,,,2.993059,3.6794695,5.209023,-5.668964,3.263662,2.797345,-1.082288,5.609218,3.065855,3.937983,6.816131,5.537023,0.860136,-1.490957,5.405351,-0.897424,5.461955,1.272145,4.484159,4.445441,-3.287634,1.519946,-0.345406,5.401758,4.774228,3.260039,4.429818,1.610593,,4.694091,2.928445,2.055402,4.949063,1.343244,2.462133,4.308648,3.740835,4.946229,3.494662,5.59108,2.155617,4.3577665,4.448703,3.398715,1.907117,,3.470708,3.606738,5.721522,-4.0901765,-1.092336,4.654847,4.740104,5.444619,0.677661,2.6781515,1.706352,0.748938,1.075164,5.164553,3.281344,1.893053,1.411548,2.894303,1.334743,1.714037,1.97182,5.370253,4.256609,4.582878,5.62789,-0.293333,4.46601,2.795016,1.965471,5.658507,-5.816826,4.124036,3.061166,0.425944,5.073718,4.617011,2.966532,-3.823254,3.846248,2.551386,3.662611,3.133245,,3.365842,,
SIDM01160,-1.447051,-2.662616,3.853248,3.465692,-3.0007795,4.00557,3.829078,2.905181,4.07509,5.042682,,1.350984,,,3.464251,5.210628,,,3.810626,3.57532,2.267025,,2.916737,,3.666093,3.62695,-1.951119,2.166053,,1.038996,0.661794,4.648075,1.986389,0.217571,3.886093,-2.318644,3.014157,,3.701848,4.333385,1.817495,4.927601,,,4.541067,5.252648,2.94203,-2.552059,1.159713,-4.100164,,,4.523174,4.831024,6.177362,,3.262822,5.20203,4.562034,5.253892,-0.340908,6.117598,7.30668,3.35626,5.073612,-0.967063,5.872377,1.346434,5.877152,5.2569125,4.805046,4.68138,1.453324,5.428321,3.722257,6.32541,2.648938,3.110715,5.368054,2.625463,,4.23943,4.712925,5.973097,4.785089,2.809206,3.635866,5.366128,4.990346,4.277824,5.331894,5.276895,4.132247,4.137853,4.430142,3.876749,3.751655,,5.331385,1.084967,5.66975,-3.4105645,0.888919,4.689328,3.332585,5.177605,1.552091,2.9668035,2.390572,1.922122,4.260781,5.876727,3.606611,4.827113,3.915855,5.545722,2.302391,1.193948,5.120469,6.039646,5.107526,5.019902,5.879767,2.786856,4.91084,2.562844,5.637051,4.882053,-4.08219,5.339799,2.521993,1.363007,4.552307,5.835132,4.832378,-2.849889,2.910712,3.23077,3.95326,4.386481,,4.621436,,
SIDM00889,-3.380501,-4.988579,2.286802,0.46752,-4.281416,2.127182,2.432874,0.398939,2.961729,3.934409,,-0.737106,,,-0.133947,3.681514,,,1.059576,4.367576,3.900392,,2.055833,,2.714803,3.164286,-2.40359,1.148288,,1.162564,-1.069447,3.586281,0.114735,-3.955546,2.792839,-2.18575,1.503163,,1.427537,3.8474595,2.969391,3.282165,,,1.848722,4.084591,-0.907972,-3.926615,-3.409016,-4.612883,,,2.904215,2.908664,4.783089,-5.48994,2.666206,3.014235,1.933241,4.568532,0.006317,4.305656,6.015029,5.173318,3.964954,-2.784881,4.296936,-1.978471,1.608775,0.217612,5.424094,2.498246,-3.68581,5.089379,2.369134,5.502407,1.996687,2.889414,4.690669,2.768853,,1.990763,3.104711,4.534075,5.281522,1.675266,2.798198,5.242522,3.229035,3.198248,5.321883,5.338668,4.786438,3.7975435,2.895321,2.020876,3.523713,,2.451592,3.086841,2.867082,-5.4415125,-0.243266,5.228418,2.817115,5.164751,1.170218,2.079435,2.953114,3.217907,-0.178975,3.982892,2.642259,0.425037,0.686844,4.309238,0.188647,1.849752,1.17985,4.506215,4.284184,3.831712,5.334291,4.207536,2.996678,2.568897,1.708274,3.715427,-6.390383,3.052003,4.21662,1.819153,4.883779,5.078165,3.589812,-4.117322,2.984799,2.497839,4.152058,5.167994,,2.375821,,
SIDM00905,-2.254808,-4.108291,3.466222,2.648437,-3.6114715,2.417734,1.751648,2.088617,3.146591,4.025489,,-0.423568,,,1.160173,3.976091,,,1.895627,4.679225,4.258621,,2.033266,,3.483866,4.861999,-0.320124,0.813199,,1.045123,-0.355028,4.954314,0.855698,-2.60995,3.506355,-2.038536,1.974739,,3.378088,5.044693,2.435111,2.802006,,,2.024175,5.225515,-0.809225,-2.62903,-2.529213,-5.338076,,,3.55933,3.777249,4.62779,,3.113432,2.797054,3.368837,4.655537,0.682913,3.90076,6.459599,3.75429,4.462742,-1.429872,4.403823,2.361982,3.636755,3.9226435,5.150087,2.346863,-3.385966,4.600639,2.503633,5.035486,2.382798,2.290856,5.222295,2.607294,4.36559,3.6374,4.484033,3.775345,4.038416,1.935361,3.299329,5.159773,4.975209,4.240118,3.604291,4.657273,3.860286,3.443851,4.035333,3.294042,5.018491,,3.844788,2.213797,3.533297,-4.1127365,-0.480887,4.995061,3.150047,5.284582,0.672114,2.133729,1.934033,2.009048,3.2252,3.511132,0.965586,3.485981,1.146027,2.780736,0.276032,1.657604,4.004014,4.622325,4.43625,5.244529,4.905862,3.106459,4.16056,2.461079,3.299148,3.406854,-2.290814,4.211098,4.292709,0.427313,4.165702,3.114656,2.001429,-4.586613,1.284379,1.289473,5.281413,2.918995,,3.427161,,
SIDM00627,-3.223339,-1.189917,2.248609,3.061542,-3.798985,1.471657,1.675749,1.983308,4.254355,3.950315,,0.895602,,,0.509917,3.581591,,,2.81587,5.1294,4.473281,,2.130135,,1.78437,4.902498,-1.305652,0.532415,,2.146237,0.721361,4.367356,-0.258257,-0.654809,4.423879,-1.514419,2.574094,,1.201793,3.118439,2.790675,4.067286,,,1.420565,5.675352,0.618238,-3.366333,-1.804851,-4.092524,,,3.351808,3.605519,5.46772,-5.67616,3.045807,2.791604,4.657534,4.556653,1.598081,5.253391,5.290251,4.099526,5.808928,-1.381996,5.110444,2.503402,1.512257,-0.0661595,4.501267,2.158313,-2.415811,1.629081,-0.696875,5.573299,3.133544,2.041578,4.902983,3.331065,1.593519,2.991083,3.938377,4.890958,5.087635,4.137012,2.953178,5.171755,5.067314,4.607874,3.151533,4.24462,1.980312,4.280865,5.006906,3.440385,4.085262,,3.475364,3.950898,3.074728,-3.9453125,-1.1178,5.70254,3.718312,5.464172,0.882527,3.599782,2.044751,2.099638,0.359815,4.740527,1.096857,1.001871,2.739133,2.929302,-0.039368,1.86039,1.326406,5.777543,5.813593,4.580622,5.90188,3.666247,5.827272,3.529845,2.163816,4.137836,-3.994734,3.790165,4.25685,1.378736,5.449295,5.801431,4.675157,-1.00096,3.013297,4.138453,5.456627,5.77358,,2.304884,,
SIDM01120,0.535367,-1.985118,4.436499,3.29173,-4.574014,3.790722,-1.956727,1.042997,4.052038,4.480447,,0.79334,,,1.827368,5.760073,,,2.016229,4.933329,5.694524,,0.133385,,0.357213,4.683637,-1.901418,-0.049478,,4.167611,2.732975,6.34638,3.102496,-3.904628,2.761755,-3.022733,2.14903,,5.30934,5.346603,1.519422,3.299257,,,2.823952,4.76391,0.422801,0.40154,3.960669,-4.650899,,,2.681239,3.8010755,4.903771,,3.181058,1.437253,4.708038,4.45658,3.063625,4.903754,6.446259,5.145412,4.2752,0.820431,5.501146,0.913338,5.596136,-0.555717,4.555021,4.757012,-3.367991,2.795373,-0.191788,5.464161,4.621378,2.049022,4.522651,3.325405,,3.202943,4.82627,5.513699,5.539326,2.542936,3.938427,5.207581,5.244536,5.18305,3.016131,5.081288,3.043492,3.7352915,5.604266,4.055802,4.874658,,3.547676,3.690603,5.42526,-2.3013435,-1.315006,5.541867,5.544794,5.536293,0.789396,3.5489345,0.726206,-1.628406,-1.049994,5.108743,3.411502,-0.155992,1.174996,2.421044,2.271433,2.550768,0.265596,4.483888,5.433564,5.524149,5.8313,1.379157,2.680484,2.125847,2.420212,4.203615,-5.661632,3.573692,1.381188,0.482107,3.715599,4.153882,3.334823,-1.763198,3.896541,2.223618,4.879872,4.508632,,1.67768,,
SIDM01122,-0.592774,-2.950671,5.872053,4.348297,-0.169888,4.301673,3.883377,1.511045,3.317733,5.220556,,1.036657,,,1.597289,5.661331,,,3.468527,5.082586,5.172431,,3.582299,,3.942131,5.502332,0.811618,1.808128,,4.375376,1.649174,7.348746,0.787124,-0.187607,4.065876,0.357333,3.281156,,4.65376,6.161542,3.246408,4.31809,,,3.560128,5.822477,0.707362,-2.874634,4.748856,-3.460006,,,3.352193,4.4637805,5.14275,,2.924213,3.340345,5.200875,5.767493,2.306258,5.714096,6.246911,5.428162,4.756237,-0.296167,4.853202,2.089485,3.331093,5.331008,4.787667,4.48507,-0.314168,5.494045,3.731005,6.132941,3.461077,3.217589,5.819793,2.78694,4.958416,3.375734,3.607466,4.81126,5.048878,2.997958,4.292918,4.877594,5.214037,4.358503,5.559024,5.908953,5.420463,4.3394955,5.088162,4.591973,5.43941,,5.601999,3.053825,4.792265,-2.6469125,-0.61516,5.96758,3.973152,5.346944,1.739516,3.734262,2.083664,2.557123,4.008226,5.163534,3.031348,3.439158,2.376227,4.11998,2.245015,3.195951,5.392152,4.562704,5.006403,5.112258,5.289368,4.360937,5.010959,2.39782,2.047843,3.438744,-6.268279,1.893849,5.27024,2.108228,4.0479,5.647308,4.884133,-2.094711,4.942326,2.955881,5.826621,5.676199,,5.658632,,
