"","Camptothecin","Vinblastine","Cisplatin","Cytarabine","Docetaxel","Gefitinib","Navitoclax","Vorinostat","Nilotinib","Olaparib","Axitinib","AZD7762","SB216763","KU-55933","Afatinib","PLX-4720","NU7441","Doramapimod","Wee1 Inhibitor","Nutlin-3a (-)","PD173074","ZM447439","Alisertib","RO-3306","MK-2206","Palbociclib","Dactolisib","Pictilisib","AZD8055","PD0325901","Obatoclax Mesylate","5-Fluorouracil","Dasatinib","Paclitaxel","Crizotinib","Rapamycin","Sorafenib","BI-2536","Irinotecan","Oxaliplatin","BMS-536924","GSK1904529A","Tozasertib","PF-4708671","Erlotinib","Niraparib","MK-1775","Dinaciclib","Gemcitabine","Bortezomib","GSK269962A","SB505124","Tamoxifen","Fulvestrant","EPZ004777","Daporinad","BMS-345541","AZ960","Talazoparib","XAV939","Trametinib","Dabrafenib","Temozolomide","Ruxolitinib","Linsitinib","Epirubicin","Cyclophosphamide","Pevonedistat","Sapitinib","Uprosertib","LCL161","Lapatinib","Luminespib","Alpelisib","Taselisib","EPZ5676","SCH772984","IWP-2","Leflunomide","Entinostat","OSI-027","LGK974","VE-822","WZ4003","CZC24832","AZD5582","GSK2606414","PFI3","PCI-34051","Wnt-C59","I-BET-762","RVX-208","OTX015","GSK343","ML323","Entospletinib","PRT062607","Ribociclib","AGI-6780","AZD4547","Ibrutinib","Dactinomycin","Sabutoclax","LY2109761","OF-1","MN-64","Buparlisib","Ulixertinib","Venetoclax","ABT737","Afuresertib","AGI-5198","AZD3759","AZD5363","AZD6738","AZD8186","Osimertinib","Cediranib","Ipatasertib","GDC0810","GSK2578215A","I-BRD9","MIRA-1","NVP-ADW742","P22077","Savolitinib","UMI-77","WIKI4","Sepantronium bromide","MIM1","WEHI-539","Foretinib","BIBR-1532","AMG-319","MK-8776","Vinorelbine","VX-11e","AZ6102","GSK591","VE821","AZD6482","AT13148","BMS-754807","JQ1"
"Camptothecin",1,0.194444444444444,0.0188679245283019,0.180555555555556,0.326530612244898,0.181818181818182,0.219047619047619,0.140625,0.202127659574468,0.231707317073171,0.176470588235294,0.142857142857143,0.180555555555556,0.194805194805195,0.210526315789474,0.197530864197531,0.220779220779221,0.218390804597701,0.178082191780822,0.202247191011236,0.235294117647059,0.215909090909091,0.235955056179775,0.2125,0.256410256410256,0.206896551724138,0.234567901234568,0.258823529411765,0.25,0.2,0.217948717948718,0.152542372881356,0.164835164835165,0.282828282828283,0.2,0.218181818181818,0.113636363636364,0.228260869565217,0.538461538461538,0.0655737704918033,0.272727272727273,0.25,0.157303370786517,0.202380952380952,0.15,0.210526315789474,0.21978021978022,0.265060240963855,0.222222222222222,0.146341463414634,0.191919191919192,0.263888888888889,0.2,0.259259259259259,0.172043010752688,0.225,0.184210526315789,0.2,0.217948717948718,0.157894736842105,0.173913043478261,0.207317073170732,0.128571428571429,0.152941176470588,0.234567901234568,0.252747252747253,0.140625,0.179775280898876,0.2,0.195121951219512,0.179775280898876,0.1875,0.218390804597701,0.170454545454545,0.213483146067416,0.239583333333333,0.261904761904762,0.24390243902439,0.169014084507042,0.146341463414634,0.253012048192771,0.205128205128205,0.217948717948718,0.222222222222222,0.1375,0.144329896907216,0.232558139534884,0.184210526315789,0.216216216216216,0.168831168831169,0.209302325581395,0.197368421052632,0.170454545454545,0.191489361702128,0.192771084337349,0.226190476190476,0.178571428571429,0.197674418604651,0.136363636363636,0.24390243902439,0.215909090909091,0.205607476635514,0.168831168831169,0.179775280898876,0.205479452054795,0.223880597014925,0.125,0.19047619047619,0.257142857142857,0.203883495145631,0.180722891566265,0.259259259259259,0.211111111111111,0.226190476190476,0.253012048192771,0.183908045977011,0.208333333333333,0.172413793103448,0.206896551724138,0.291139240506329,0.1875,0.213483146067416,0.19672131147541,0.214285714285714,0.157894736842105,0.202380952380952,0.2,0.231707317073171,0.246753246753247,0.194805194805195,0.223404255319149,0.228260869565217,0.246376811594203,0.30379746835443,0.170731707317073,0.216216216216216,0.213483146067416,0.195121951219512,0.234567901234568,0.171052631578947,0.204819277108434,0.173913043478261,0.217391304347826,0.2
"Vinblastine",0.194444444444444,1,0.0493827160493827,0.16,0.298387096774194,0.238532110091743,0.2421875,0.155555555555556,0.190082644628099,0.257142857142857,0.224299065420561,0.186915887850467,0.208333333333333,0.217821782178218,0.269565217391304,0.207547169811321,0.225490196078431,0.245454545454545,0.231578947368421,0.243243243243243,0.172413793103448,0.277777777777778,0.247787610619469,0.153153153153153,0.228571428571429,0.247706422018349,0.212962962962963,0.232142857142857,0.259615384615385,0.19811320754717,0.235294117647059,0.0879120879120879,0.223214285714286,0.295081967213115,0.220183486238532,0.23134328358209,0.205607476635514,0.321100917431193,0.227642276422764,0.0666666666666667,0.288288288288288,0.289256198347107,0.218181818181818,0.211009174311927,0.217821782178218,0.205882352941176,0.234782608695652,0.192982456140351,0.166666666666667,0.168224299065421,0.26271186440678,0.232323232323232,0.15,0.220183486238532,0.196581196581197,0.228571428571429,0.130841121495327,0.144144144144144,0.2,0.202020202020202,0.208695652173913,0.203703703703704,0.170212765957447,0.240384615384615,0.271844660194175,0.283185840707965,0.0612244897959184,0.247706422018349,0.263636363636364,0.252427184466019,0.20353982300885,0.228813559322034,0.245454545454545,0.185840707964602,0.241071428571429,0.25,0.245454545454545,0.220183486238532,0.14,0.225490196078431,0.323529411764706,0.168224299065421,0.155963302752294,0.317757009345794,0.12962962962963,0.19327731092437,0.268518518518519,0.163461538461538,0.260416666666667,0.163461538461538,0.285714285714286,0.196078431372549,0.196428571428571,0.222222222222222,0.203703703703704,0.207207207207207,0.226415094339623,0.218181818181818,0.18018018018018,0.166666666666667,0.254545454545455,0.26984126984127,0.21,0.236363636363636,0.22680412371134,0.153061224489796,0.152380952380952,0.235849056603774,0.283464566929134,0.201550387596899,0.252427184466019,0.1875,0.296296296296296,0.218181818181818,0.261682242990654,0.185840707964602,0.278260869565217,0.254716981132075,0.225225225225225,0.220183486238532,0.177570093457944,0.275229357798165,0.209302325581395,0.209090909090909,0.133333333333333,0.178571428571429,0.186274509803922,0.189189189189189,0.165137614678899,0.194174757281553,0.23728813559322,0.285714285714286,0.21875,0.185840707964602,0.20952380952381,0.78494623655914,0.252252252252252,0.216981132075472,0.271844660194175,0.16504854368932,0.212962962962963,0.108910891089109,0.232758620689655,0.242990654205607
"Cisplatin",0.0188679245283019,0.0493827160493827,1,0.025,0.0487804878048781,0.0526315789473684,0.037037037037037,0.0740740740740741,0.0147058823529412,0.0178571428571429,0.0566037735849057,0.0612244897959184,0.025,0.0434782608695652,0.0441176470588235,0.06,0.0638297872340425,0.0163934426229508,0.05,0.0327868852459016,0.0517241379310345,0.0327868852459016,0.0476190476190476,0,0.0384615384615385,0.0166666666666667,0.037037037037037,0.0327868852459016,0.037037037037037,0.04,0,0.0434782608695652,0.0508474576271186,0.0375,0.0357142857142857,0.0227272727272727,0.08,0.0454545454545455,0.0410958904109589,0.105263157894737,0.0625,0.0253164556962025,0.0350877192982456,0.0178571428571429,0.0909090909090909,0.0434782608695652,0.0151515151515152,0.0166666666666667,0.0232558139534884,0.0416666666666667,0.0422535211267606,0,0.0526315789473684,0.0175438596491228,0.0317460317460317,0.0384615384615385,0.0222222222222222,0.0196078431372549,0.02,0.0232558139534884,0.0158730158730159,0.0784313725490196,0.0606060606060606,0.0588235294117647,0.037037037037037,0.0447761194029851,0.0357142857142857,0.0166666666666667,0.0491803278688525,0.0384615384615385,0.0166666666666667,0.0294117647058824,0.0508474576271186,0.0535714285714286,0.032258064516129,0.0135135135135135,0.0333333333333333,0.0545454545454545,0.0540540540540541,0.0638297872340425,0.0526315789473684,0.0204081632653061,0.02,0.0645161290322581,0.0217391304347826,0.0307692307692308,0.0333333333333333,0.0222222222222222,0.0454545454545455,0.0454545454545455,0.0526315789473684,0,0.0727272727272727,0.0303030303030303,0.0185185185185185,0.0350877192982456,0.0377358490566038,0.0172413793103448,0.0181818181818182,0.0175438596491228,0.05,0.0493827160493827,0.0454545454545455,0.0338983050847458,0.0232558139534884,0,0.0454545454545455,0.0566037735849057,0.0352941176470588,0.038961038961039,0.0588235294117647,0.0175438596491228,0.0483870967741935,0.0535714285714286,0.0344827586206897,0.0350877192982456,0.0140845070422535,0.0175438596491228,0.0517241379310345,0.0740740740740741,0.0408163265306122,0.0491803278688525,0.115384615384615,0.0357142857142857,0.0476190476190476,0.0178571428571429,0.0454545454545455,0,0,0.0212765957446809,0.0597014925373134,0.0147058823529412,0.05,0.0172413793103448,0.0196078431372549,0.0459770114942529,0.0491803278688525,0.0188679245283019,0.0181818181818182,0.0714285714285714,0.037037037037037,0.0571428571428571,0.0149253731343284,0.0740740740740741
"Cytarabine",0.180555555555556,0.16,0.025,1,0.17,0.151898734177215,0.25,0.153846153846154,0.123595505617978,0.173333333333333,0.12987012987013,0.152777777777778,0.161290322580645,0.144927536231884,0.159090909090909,0.183098591549296,0.157142857142857,0.1625,0.17741935483871,0.205128205128205,0.135802469135802,0.175,0.127906976744186,0.166666666666667,0.231884057971014,0.210526315789474,0.225352112676056,0.175,0.208333333333333,0.136986301369863,0.138888888888889,0.0784313725490196,0.207792207792208,0.163265306122449,0.171052631578947,0.141509433962264,0.148648648648649,0.234567901234568,0.202247191011236,0.106382978723404,0.222222222222222,0.166666666666667,0.216216216216216,0.205479452054795,0.128571428571429,0.196969696969697,0.225,0.179487179487179,0.630434782608696,0.140845070422535,0.153846153846154,0.114285714285714,0.0757575757575758,0.141025641025641,0.333333333333333,0.148648648648649,0.149253731343284,0.121621621621622,0.205882352941176,0.171875,0.130952380952381,0.131578947368421,0.178571428571429,0.180555555555556,0.191780821917808,0.216867469879518,0.0909090909090909,0.194805194805195,0.172839506172839,0.180555555555556,0.179487179487179,0.216867469879518,0.148148148148148,0.184210526315789,0.172839506172839,0.27710843373494,0.24,0.141025641025641,0.206896551724138,0.191176470588235,0.213333333333333,0.140845070422535,0.188405797101449,0.182926829268293,0.147058823529412,0.180722891566265,0.177215189873418,0.149253731343284,0.203125,0.115942028985507,0.166666666666667,0.164179104477612,0.25,0.164705882352941,0.146666666666667,0.168831168831169,0.131578947368421,0.2,0.242857142857143,0.155844155844156,0.160493827160494,0.183673469387755,0.166666666666667,0.0952380952380952,0.209677419354839,0.131147540983607,0.132352941176471,0.144736842105263,0.22680412371134,0.261363636363636,0.180555555555556,0.202702702702703,0.185185185185185,0.184210526315789,0.181818181818182,0.168831168831169,0.157303370786517,0.141025641025641,0.194805194805195,0.141025641025641,0.138888888888889,0.172839506172839,0.176470588235294,0.155844155844156,0.153846153846154,0.113924050632911,0.203125,0.189189189189189,0.169014084507042,0.144927536231884,0.133333333333333,0.149425287356322,0.140625,0.0975609756097561,0.152777777777778,0.173076923076923,0.158536585365854,0.197183098591549,0.208333333333333,0.151515151515152,0.175675675675676,0.133333333333333,0.164705882352941,0.202702702702703
"Docetaxel",0.326530612244898,0.298387096774194,0.0487804878048781,0.17,1,0.247706422018349,0.333333333333333,0.153846153846154,0.239316239316239,0.220183486238532,0.245283018867925,0.207547169811321,0.206185567010309,0.203883495145631,0.278260869565217,0.18348623853211,0.235294117647059,0.254545454545455,0.191919191919192,0.241071428571429,0.191304347826087,0.275229357798165,0.234782608695652,0.162162162162162,0.25,0.256880733944954,0.281553398058252,0.241071428571429,0.245283018867925,0.292929292929293,0.165137614678899,0.0989010989010989,0.221238938053097,0.786516853932584,0.229357798165138,0.276923076923077,0.226415094339623,0.228813559322034,0.369369369369369,0.0777777777777778,0.321100917431193,0.266129032258065,0.205357142857143,0.231481481481481,0.169811320754717,0.215686274509804,0.254385964912281,0.234234234234234,0.212121212121212,0.188679245283019,0.271186440677966,0.194174757281553,0.16,0.252336448598131,0.236842105263158,0.238095238095238,0.196078431372549,0.174311926605505,0.186915887850467,0.176470588235294,0.261261261261261,0.247619047619048,0.121212121212121,0.192660550458716,0.269230769230769,0.315315315315315,0.0714285714285714,0.223214285714286,0.272727272727273,0.287128712871287,0.234234234234234,0.19672131147541,0.221238938053097,0.216216216216216,0.284403669724771,0.279661016949153,0.26605504587156,0.264150943396226,0.223404255319149,0.26,0.271028037383178,0.2,0.20952380952381,0.279279279279279,0.182692307692308,0.222222222222222,0.254545454545455,0.161904761904762,0.207920792079208,0.232323232323232,0.20353982300885,0.171428571428571,0.194690265486726,0.220338983050847,0.18018018018018,0.216216216216216,0.18018018018018,0.227272727272727,0.281553398058252,0.218181818181818,0.287037037037037,0.277777777777778,0.207920792079208,0.223214285714286,0.237113402061856,0.2,0.161904761904762,0.211009174311927,0.301587301587302,0.278688524590164,0.203703703703704,0.218181818181818,0.27027027027027,0.285714285714286,0.333333333333333,0.216216216216216,0.223140495867769,0.207207207207207,0.280373831775701,0.207207207207207,0.233009708737864,0.296296296296296,0.141304347826087,0.264150943396226,0.176470588235294,0.198198198198198,0.232323232323232,0.220183486238532,0.242718446601942,0.180952380952381,0.3125,0.271929824561404,0.268817204301075,0.205357142857143,0.219047619047619,0.284615384615385,0.217391304347826,0.226415094339623,0.257142857142857,0.222222222222222,0.269230769230769,0.164948453608247,0.252173913043478,0.229357798165138
"Gefitinib",0.181818181818182,0.238532110091743,0.0526315789473684,0.151898734177215,0.247706422018349,1,0.326732673267327,0.196969696969697,0.19,0.258823529411765,0.191011235955056,0.24390243902439,0.22972972972973,0.225,0.571428571428571,0.2875,0.204819277108434,0.382716049382716,0.194805194805195,0.269662921348315,0.233333333333333,0.661764705882353,0.364705882352941,0.144444444444444,0.181818181818182,0.247191011235955,0.27710843373494,0.255555555555556,0.308641975308642,0.24390243902439,0.231707317073171,0.121212121212121,0.272727272727273,0.231481481481481,0.317073170731707,0.228070175438596,0.209302325581395,0.279569892473118,0.235294117647059,0.0757575757575758,0.311111111111111,0.284313725490196,0.238636363636364,0.229885057471264,0.441176470588235,0.256410256410256,0.271739130434783,0.21978021978022,0.205128205128205,0.149425287356322,0.305263157894737,0.154761904761905,0.184210526315789,0.213483146067416,0.236559139784946,0.209302325581395,0.246753246753247,0.24390243902439,0.278481012658228,0.175,0.252747252747253,0.193181818181818,0.148648648648649,0.223529411764706,0.218390804597701,0.276595744680851,0.161764705882353,0.261363636363636,0.583333333333333,0.3,0.21978021978022,0.428571428571429,0.258426966292135,0.159574468085106,0.212765957446809,0.25,0.244444444444444,0.186813186813187,0.171052631578947,0.19047619047619,0.27906976744186,0.176470588235294,0.216867469879518,0.348837209302326,0.197530864197531,0.193877551020408,0.230769230769231,0.185185185185185,0.263157894736842,0.215189873417722,0.222222222222222,0.2125,0.224719101123595,0.242105263157895,0.193181818181818,0.3625,0.280487804878049,0.224719101123595,0.152173913043478,0.270588235294118,0.255555555555556,0.227272727272727,0.170731707317073,0.290697674418605,0.305555555555556,0.205479452054795,0.246753246753247,0.261904761904762,0.314285714285714,0.287128712871287,0.253012048192771,0.213483146067416,0.474358974358974,0.211111111111111,0.235955056179775,0.267441860465116,0.326086956521739,0.52112676056338,0.233333333333333,0.285714285714286,0.231707317073171,0.14,0.144927536231884,0.255813953488372,0.175,0.175824175824176,0.185185185185185,0.215909090909091,0.2,0.152941176470588,0.247422680412371,0.525641025641026,0.210526315789474,0.211111111111111,0.24390243902439,0.226086956521739,0.266666666666667,0.238095238095238,0.218390804597701,0.20253164556962,0.247058823529412,0.225352112676056,0.282608695652174,0.186813186813187
"Navitoclax",0.219047619047619,0.2421875,0.037037037037037,0.25,0.333333333333333,0.326732673267327,1,0.144444444444444,0.288288288288288,0.235849056603774,0.25,0.247524752475248,0.223404255319149,0.232323232323232,0.294642857142857,0.245098039215686,0.203883495145631,0.36,0.195876288659794,0.292452830188679,0.216216216216216,0.330097087378641,0.296296296296296,0.19811320754717,0.230769230769231,0.261682242990654,0.274509803921569,0.317307692307692,0.274509803921569,0.235294117647059,0.213592233009709,0.0652173913043478,0.333333333333333,0.319327731092437,0.257142857142857,0.261538461538462,0.242718446601942,0.288288288288288,0.271186440677966,0.0919540229885057,0.290909090909091,0.347826086956522,0.266666666666667,0.259615384615385,0.207920792079208,0.22,0.330188679245283,0.261682242990654,0.268817204301075,0.26530612244898,0.264957264957265,0.174757281553398,0.163265306122449,0.222222222222222,0.252252252252252,0.230769230769231,0.2,0.2,0.25,0.145631067961165,0.189655172413793,0.264705882352941,0.123711340206186,0.219047619047619,0.3,0.345794392523364,0.119565217391304,0.194690265486726,0.26605504587156,0.347368421052632,0.227272727272727,0.285714285714286,0.259259259259259,0.231481481481481,0.277777777777778,0.26271186440678,0.307692307692308,0.189189189189189,0.202127659574468,0.252525252525253,0.252336448598131,0.227722772277228,0.213592233009709,0.333333333333333,0.198019801980198,0.226086956521739,0.283018867924528,0.176470588235294,0.237113402061856,0.237113402061856,0.207207207207207,0.152380952380952,0.242990654205607,0.267857142857143,0.252427184466019,0.266666666666667,0.240384615384615,0.242990654205607,0.3,0.281553398058252,0.268518518518519,0.261904761904762,0.237113402061856,0.25,0.25531914893617,0.258426966292135,0.25,0.25,0.528301886792453,0.604166666666667,0.319587628865979,0.233644859813084,0.323809523809524,0.266666666666667,0.276190476190476,0.266666666666667,0.315315315315315,0.211009174311927,0.310679611650485,0.245283018867925,0.288659793814433,0.2,0.157303370786517,0.245283018867925,0.191919191919192,0.259615384615385,0.276595744680851,0.212962962962963,0.247524752475248,0.161904761904762,0.218487394957983,0.288288288288288,0.247311827956989,0.231481481481481,0.26,0.259541984732824,0.277777777777778,0.219047619047619,0.274509803921569,0.214285714285714,0.287128712871287,0.21978021978022,0.256637168141593,0.233644859813084
"Vorinostat",0.140625,0.155555555555556,0.0740740740740741,0.153846153846154,0.153846153846154,0.196969696969697,0.144444444444444,1,0.157894736842105,0.206349206349206,0.171875,0.224137931034483,0.132075471698113,0.155172413793103,0.216216216216216,0.180327868852459,0.169491525423729,0.208955223880597,0.22,0.123287671232877,0.142857142857143,0.261538461538462,0.180555555555556,0.142857142857143,0.140625,0.142857142857143,0.153846153846154,0.138888888888889,0.136363636363636,0.183333333333333,0.166666666666667,0.162162162162162,0.173913043478261,0.159090909090909,0.115942028985507,0.101010101010101,0.216666666666667,0.128205128205128,0.158536585365854,0.111111111111111,0.225352112676056,0.136363636363636,0.147058823529412,0.134328358208955,0.196428571428571,0.196428571428571,0.211267605633803,0.176470588235294,0.211538461538462,0.189655172413793,0.1625,0.1,0.18,0.149253731343284,0.166666666666667,0.23728813559322,0.101694915254237,0.0923076923076923,0.129032258064516,0.125,0.185714285714286,0.138461538461538,0.173913043478261,0.0735294117647059,0.119402985074627,0.126582278481013,0.0909090909090909,0.159420289855072,0.220588235294118,0.158730158730159,0.111111111111111,0.171052631578947,0.157142857142857,0.114285714285714,0.121621621621622,0.105882352941176,0.208955223880597,0.203125,0.260869565217391,0.232142857142857,0.128571428571429,0.169491525423729,0.111111111111111,0.25,0.1,0.146666666666667,0.173913043478261,0.226415094339623,0.203703703703704,0.274509803921569,0.161764705882353,0.1,0.2,0.115384615384615,0.138461538461538,0.164179104477612,0.193548387096774,0.130434782608696,0.171875,0.184615384615385,0.188405797101449,0.106382978723404,0.203703703703704,0.111111111111111,0.145454545454545,0.14,0.0833333333333333,0.19047619047619,0.114583333333333,0.151162790697674,0.17741935483871,0.203125,0.166666666666667,0.114285714285714,0.0972222222222222,0.164179104477612,0.181818181818182,0.115942028985507,0.142857142857143,0.203125,0.25,0.136986301369863,0.170731707317073,0.1,0.166666666666667,0.0555555555555556,0.25,0.101449275362319,0.109375,0.135593220338983,0.2,0.222222222222222,0.244897959183673,0.114285714285714,0.109375,0.145833333333333,0.169014084507042,0.106060606060606,0.209677419354839,0.254901960784314,0.19047619047619,0.12,0.16,0.115942028985507
"Nilotinib",0.202127659574468,0.190082644628099,0.0147058823529412,0.123595505617978,0.239316239316239,0.19,0.288288288288288,0.157894736842105,1,0.247311827956989,0.277777777777778,0.261363636363636,0.149425287356322,0.138297872340426,0.203703703703704,0.230769230769231,0.172043010752688,0.315217391304348,0.147727272727273,0.244897959183673,0.2,0.270833333333333,0.288659793814433,0.204301075268817,0.228260869565217,0.263157894736842,0.223404255319149,0.184466019417476,0.210526315789474,0.261363636363636,0.222222222222222,0.121621621621622,0.273684210526316,0.245614035087719,0.24468085106383,0.211382113821138,0.241758241758242,0.28,0.216216216216216,0.0810810810810811,0.221153846153846,0.284403669724771,0.268817204301075,0.260869565217391,0.175824175824176,0.215909090909091,0.285714285714286,0.25,0.170454545454545,0.238636363636364,0.278846153846154,0.261904761904762,0.137931034482759,0.206185567010309,0.227722772277228,0.255555555555556,0.206896551724138,0.275862068965517,0.25,0.211764705882353,0.308510638297872,0.280898876404494,0.175,0.21505376344086,0.223404255319149,0.162162162162162,0.0602409638554217,0.16504854368932,0.23,0.313953488372093,0.25,0.228571428571429,0.222222222222222,0.282608695652174,0.28125,0.229357798165138,0.23469387755102,0.21875,0.272727272727273,0.282352941176471,0.178217821782178,0.313253012048193,0.170212765957447,0.288659793814433,0.232558139534884,0.235294117647059,0.260416666666667,0.153846153846154,0.206896551724138,0.329113924050633,0.19,0.164835164835165,0.191919191919192,0.351063829787234,0.280898876404494,0.282608695652174,0.252747252747253,0.25531914893617,0.292134831460674,0.258064516129032,0.196078431372549,0.252173913043478,0.235294117647059,0.212121212121212,0.170454545454545,0.168674698795181,0.193181818181818,0.25,0.214876033057851,0.241071428571429,0.284090909090909,0.314606741573034,0.227722772277228,0.168316831683168,0.214285714285714,0.25531914893617,0.350515463917526,0.206185567010309,0.2,0.21875,0.325301204819277,0.217821782178218,0.128205128205128,0.158415841584158,0.157303370786517,0.234042553191489,0.193181818181818,0.16,0.21978021978022,0.150537634408602,0.214953271028037,0.254901960784314,0.231707317073171,0.229166666666667,0.21978021978022,0.181102362204724,0.382022471910112,0.189473684210526,0.263736263736264,0.253012048192771,0.25,0.170731707317073,0.365591397849462,0.181818181818182
"Olaparib",0.231707317073171,0.257142857142857,0.0178571428571429,0.173333333333333,0.220183486238532,0.258823529411765,0.235849056603774,0.206349206349206,0.247311827956989,1,0.25609756097561,0.269230769230769,0.23943661971831,0.233766233766234,0.242105263157895,0.315789473684211,0.2125,0.238636363636364,0.219178082191781,0.294117647058824,0.161290322580645,0.264367816091954,0.255555555555556,0.162790697674419,0.294871794871795,0.285714285714286,0.226190476190476,0.264367816091954,0.271604938271605,0.2375,0.225,0.183333333333333,0.211111111111111,0.214953271028037,0.235294117647059,0.212389380530973,0.202380952380952,0.274725274725275,0.268041237113402,0.114754098360656,0.277777777777778,0.254901960784314,0.232558139534884,0.195402298850575,0.172839506172839,0.217948717948718,0.252747252747253,0.285714285714286,0.22972972972973,0.197530864197531,0.222222222222222,0.146341463414634,0.16,0.22093023255814,0.191489361702128,0.294871794871795,0.177215189873418,0.178571428571429,0.380281690140845,0.213333333333333,0.247191011235955,0.228915662650602,0.154929577464789,0.202380952380952,0.240963855421687,0.206185567010309,0.0704225352112676,0.227272727272727,0.290697674418605,0.2625,0.270588235294118,0.17,0.224719101123595,0.218390804597701,0.206521739130435,0.14018691588785,0.329268292682927,0.25,0.162162162162162,0.293333333333333,0.244186046511628,0.197530864197531,0.195121951219512,0.255555555555556,0.175,0.212765957446809,0.238636363636364,0.207792207792208,0.328571428571429,0.24,0.273809523809524,0.189873417721519,0.218390804597701,0.292134831460674,0.275,0.232558139534884,0.24390243902439,0.247058823529412,0.226190476190476,0.296296296296296,0.222222222222222,0.178571428571429,0.273972602739726,0.227272727272727,0.213333333333333,0.180555555555556,0.177215189873418,0.183908045977011,0.273584905660377,0.282828282828283,0.231707317073171,0.25,0.258426966292135,0.261904761904762,0.215909090909091,0.261904761904762,0.279569892473118,0.25,0.255813953488372,0.25,0.225,0.21978021978022,0.169230769230769,0.22093023255814,0.166666666666667,0.142857142857143,0.223684210526316,0.181818181818182,0.178571428571429,0.130952380952381,0.25531914893617,0.333333333333333,0.236111111111111,0.177777777777778,0.192771084337349,0.26605504587156,0.21978021978022,0.231707317073171,0.320512820512821,0.179487179487179,0.226190476190476,0.183098591549296,0.337209302325581,0.206896551724138
