drug_name,Camptothecin,Vinblastine,Cisplatin,Cytarabine,Docetaxel,Gefitinib,Navitoclax,Vorinostat,Nilotinib,Olaparib,Axitinib,AZD7762,SB216763,KU-55933,Afatinib,PLX-4720,NU7441,Doramapimod,Wee1 Inhibitor,Nutlin-3a (-),PD173074,ZM447439,Alisertib,RO-3306,MK-2206,Palbociclib,Dactolisib,Pictilisib,AZD8055,PD0325901,Obatoclax Mesylate,5-Fluorouracil,Dasatinib,Paclitaxel,Crizotinib,Rapamycin,Sorafenib,BI-2536,Irinotecan,Oxaliplatin,BMS-536924,GSK1904529A,Tozasertib,PF-4708671,Erlotinib,Niraparib,MK-1775,Dinaciclib,Gemcitabine,Bortezomib,GSK269962A,SB505124,Tamoxifen,Fulvestrant,EPZ004777,Daporinad,BMS-345541,AZ960,Talazoparib,XAV939,Trametinib,Dabrafenib,Temozolomide,Ruxolitinib,Linsitinib,Epirubicin,Cyclophosphamide,Pevonedistat,Sapitinib,Uprosertib,LCL161,Lapatinib,Luminespib,Alpelisib,Taselisib,EPZ5676,SCH772984,IWP-2,Leflunomide,Entinostat,OSI-027,LGK974,VE-822,WZ4003,CZC24832,AZD5582,GSK2606414,PFI3,PCI-34051,Wnt-C59,I-BET-762,RVX-208,OTX015,GSK343,ML323,Entospletinib,PRT062607,Ribociclib,AGI-6780,AZD4547,Ibrutinib,Dactinomycin,Sabutoclax,LY2109761,OF-1,MN-64,Buparlisib,Ulixertinib,Venetoclax,ABT737,Afuresertib,AGI-5198,AZD3759,AZD5363,AZD6738,AZD8186,Osimertinib,Cediranib,Ipatasertib,GDC0810,GSK2578215A,I-BRD9,MIRA-1,NVP-ADW742,P22077,Savolitinib,UMI-77,WIKI4,Sepantronium bromide,MIM1,WEHI-539,Foretinib,BIBR-1532,AMG-319,MK-8776,Vinorelbine,VX-11e,AZ6102,GSK591,VE821,AZD6482,AT13148,BMS-754807,JQ1
Camptothecin,1.0,0.636,0.0058823529411764705,0.32460732984293195,0.5152838427947598,0.531496062992126,0.46153846153846156,0.4860335195530726,0.5903083700440529,0.5353535353535354,0.5822222222222222,0.5311004784688995,0.6142857142857143,0.44390243902439025,0.5674603174603174,0.5,0.44298245614035087,0.569672131147541,0.5606694560669456,0.4769874476987448,0.5103734439834025,0.5753968253968254,0.5416666666666666,0.5868544600938967,0.6294416243654822,0.5915492957746479,0.6341463414634146,0.5177865612648221,0.5879828326180258,0.5431472081218274,0.6149732620320856,0.1793478260869565,0.5327868852459017,0.5151515151515151,0.4823529411764706,0.4723618090452261,0.5643153526970954,0.54,0.824390243902439,0.12571428571428572,0.6297872340425532,0.528169014084507,0.5217391304347826,0.5294117647058824,0.5541666666666667,0.6161137440758294,0.6167400881057269,0.5263157894736842,0.3229166666666667,0.6019900497512438,0.5492424242424242,0.5569620253164557,0.41624365482233505,0.336322869955157,0.6088888888888889,0.6230366492146597,0.539906103286385,0.5207373271889401,0.5486725663716814,0.4690721649484536,0.5306122448979592,0.5107296137339056,0.3173076923076923,0.4956140350877193,0.6100917431192661,0.43568464730290457,0.1443850267379679,0.5344827586206896,0.5568627450980392,0.5155038759689923,0.5277777777777778,0.5089605734767025,0.5625,0.5619469026548672,0.5207547169811321,0.5601659751037344,0.5625,0.5495495495495496,0.5588235294117647,0.6585365853658537,0.5603112840466926,0.5879629629629629,0.5252918287937743,0.5122950819672131,0.45689655172413796,0.4792626728110599,0.5772727272727273,0.6073059360730594,0.6405529953917051,0.6358974358974359,0.5743801652892562,0.5431034482758621,0.5215686274509804,0.611353711790393,0.547945205479452,0.5462184873949579,0.5401785714285714,0.56,0.44545454545454544,0.540650406504065,0.5756302521008403,0.5504201680672269,0.463519313304721,0.594017094017094,0.45491803278688525,0.39805825242718446,0.5586854460093896,0.5836909871244635,0.4707792207792208,0.4493927125506073,0.5106382978723404,0.5458715596330275,0.5595238095238095,0.5807860262008734,0.5194805194805194,0.5422222222222223,0.5860655737704918,0.552,0.569620253164557,0.5483870967741935,0.6167400881057269,0.49765258215962443,0.25862068965517243,0.5189873417721519,0.37681159420289856,0.5066079295154186,0.4049586776859504,0.5482625482625483,0.5575221238938053,0.40625,0.5419847328244275,0.5901639344262295,0.5728643216080402,0.5540540540540541,0.43478260869565216,0.6294820717131474,0.5802469135802469,0.6179245283018868,0.5990566037735849,0.5772727272727273,0.6487804878048781,0.47685185185185186,0.5020576131687243,0.5299145299145299
Vinblastine,0.636,1.0,0.008333333333333333,0.28063241106719367,0.5597014925373134,0.6083916083916084,0.44481605351170567,0.3699186991869919,0.47440273037542663,0.41509433962264153,0.4826388888888889,0.41155234657039713,0.5018315018315018,0.3849056603773585,0.6013745704467354,0.44224422442244227,0.4925373134328358,0.6389891696750902,0.6323529411764706,0.5088967971530249,0.5371024734982333,0.6537102473498233,0.6313993174061433,0.4712230215827338,0.48484848484848486,0.43859649122807015,0.5092936802973977,0.44904458598726116,0.6273062730627307,0.4423076923076923,0.5224489795918368,0.12062256809338522,0.42628205128205127,0.5708955223880597,0.5272108843537415,0.421875,0.5501730103806228,0.5724137931034483,0.7248062015503876,0.102880658436214,0.5494880546075085,0.6237942122186495,0.4175084175084175,0.4452296819787986,0.6145454545454545,0.5430711610486891,0.5051546391752577,0.44982698961937717,0.26459143968871596,0.4664179104477612,0.6,0.6117216117216118,0.4403292181069959,0.376865671641791,0.5688405797101449,0.47104247104247104,0.4352517985611511,0.43727598566308246,0.46689895470383275,0.3283582089552239,0.4053030303030303,0.42424242424242425,0.22340425531914893,0.4507042253521127,0.4859154929577465,0.5330882352941176,0.11764705882352941,0.5035211267605634,0.5972696245733788,0.5451505016722408,0.43727598566308246,0.5974025974025974,0.5985663082437276,0.46206896551724136,0.574750830564784,0.573943661971831,0.4966442953020134,0.4409722222222222,0.45149253731343286,0.5451127819548872,0.6388888888888888,0.46808510638297873,0.5180327868852459,0.5331010452961672,0.3771043771043771,0.48484848484848486,0.5035971223021583,0.5551470588235294,0.623574144486692,0.5234375,0.5694444444444444,0.6007462686567164,0.5,0.5068493150684932,0.45390070921985815,0.4781144781144781,0.43448275862068964,0.4452054794520548,0.3649122807017544,0.5845070422535211,0.5486111111111112,0.6236162361623616,0.5430711610486891,0.6323529411764706,0.4791666666666667,0.4302788844621514,0.4548736462093863,0.5172413793103449,0.5878787878787879,0.4158415841584158,0.42474916387959866,0.45195729537366547,0.6,0.4778156996587031,0.4602076124567474,0.5954198473282443,0.6183745583038869,0.6630434782608695,0.5223367697594502,0.45878136200716846,0.6282527881040892,0.39285714285714285,0.1553784860557769,0.5672727272727273,0.2805755395683453,0.41924398625429554,0.42214532871972316,0.5526315789473685,0.4738675958188153,0.4139194139194139,0.5939597315436241,0.6937269372693727,0.5058823529411764,0.45964912280701753,0.38275862068965516,0.9591836734693877,0.5217391304347826,0.4785714285714286,0.4748201438848921,0.4463667820069204,0.5433962264150943,0.42857142857142855,0.44370860927152317,0.43478260869565216
Cisplatin,0.0058823529411764705,0.008333333333333333,1.0,0.023809523809523808,0.011235955056179775,0.00909090909090909,0.010416666666666666,0.020618556701030927,0.010416666666666666,0.014814814814814815,0.0106951871657754,0.013245033112582781,0.011764705882352941,0.0078125,0.008849557522123894,0.01015228426395939,0.006211180124223602,0.009345794392523364,0.00980392156862745,0.010869565217391304,0.010256410256410256,0.008771929824561403,0.008403361344537815,0.011834319526627219,0.013157894736842105,0.011764705882352941,0.005988023952095809,0.009302325581395349,0.0049504950495049506,0.014814814814814815,0.015037593984962405,0.041666666666666664,0.00975609756097561,0.011049723756906077,0.009569377990430622,0.008,0.009615384615384616,0.009259259259259259,0.0048543689320388345,0.07142857142857142,0.009345794392523364,0.007547169811320755,0.011049723756906077,0.011834319526627219,0.00980392156862745,0.011627906976744186,0.010101010101010102,0.0111731843575419,0.023529411764705882,0.013071895424836602,0.008333333333333333,0.01,0.009009009009009009,0.0,0.010362694300518135,0.014184397163120567,0.012578616352201259,0.012422360248447204,0.011049723756906077,0.017241379310344827,0.015267175572519083,0.01092896174863388,0.01904761904761905,0.011627906976744186,0.01098901098901099,0.011299435028248588,0.044444444444444446,0.0106951871657754,0.008771929824561403,0.009009009009009009,0.012422360248447204,0.007936507936507936,0.009708737864077669,0.010869565217391304,0.008547008547008548,0.00966183574879227,0.009708737864077669,0.011428571428571429,0.013422818791946308,0.011695906432748537,0.008620689655172414,0.011494252873563218,0.008968609865470852,0.01,0.011834319526627219,0.013157894736842105,0.011235955056179775,0.005434782608695652,0.0106951871657754,0.013333333333333334,0.009433962264150943,0.010582010582010581,0.0091324200913242,0.01,0.011764705882352941,0.010050251256281407,0.011363636363636364,0.01098901098901099,0.013422818791946308,0.009523809523809525,0.009708737864077669,0.01,0.011627906976744186,0.004878048780487805,0.010752688172043012,0.0,0.012269938650306749,0.01,0.007042253521126761,0.010582010582010581,0.010752688172043012,0.011904761904761904,0.008928571428571428,0.010362694300518135,0.01098901098901099,0.011235955056179775,0.009174311926605505,0.0091324200913242,0.009852216748768473,0.011976047904191617,0.010101010101010102,0.013333333333333334,0.0196078431372549,0.010471204188481676,0.008547008547008548,0.005747126436781609,0.011695906432748537,0.004291845493562232,0.005434782608695652,0.006802721088435374,0.00851063829787234,0.0091324200913242,0.013888888888888888,0.011363636363636364,0.012422360248447204,0.008333333333333333,0.009302325581395349,0.011494252873563218,0.011764705882352941,0.011235955056179775,0.011834319526627219,0.013333333333333334,0.01020408163265306,0.005263157894736842
Cytarabine,0.32460732984293195,0.28063241106719367,0.023809523809523808,1.0,0.3034825870646766,0.26666666666666666,0.2052401746724891,0.26573426573426573,0.23766816143497757,0.25862068965517243,0.20982142857142858,0.24338624338624337,0.23300970873786409,0.2485207100591716,0.2916666666666667,0.22707423580786026,0.22,0.27350427350427353,0.225531914893617,0.32019704433497537,0.2681818181818182,0.2786885245901639,0.23371647509578544,0.23414634146341465,0.2967032967032967,0.29591836734693877,0.2376237623762376,0.24066390041493776,0.28378378378378377,0.2807017543859649,0.2616279069767442,0.375,0.27312775330396477,0.2926829268292683,0.2629310344827586,0.3684210526315789,0.2425531914893617,0.2605042016806723,0.29017857142857145,0.23076923076923078,0.31277533039647576,0.2332155477031802,0.25,0.23414634146341465,0.2687224669603524,0.21904761904761905,0.29357798165137616,0.30198019801980197,0.9204545454545454,0.25396825396825395,0.2755905511811024,0.24561403508771928,0.22784810126582278,0.17032967032967034,0.40609137055837563,0.2711864406779661,0.24615384615384617,0.23115577889447236,0.25,0.28205128205128205,0.2874251497005988,0.2191780821917808,0.2945205479452055,0.22488038277511962,0.26666666666666666,0.24285714285714285,0.2647058823529412,0.33497536945812806,0.2682926829268293,0.23387096774193547,0.2436548223350254,0.23529411764705882,0.2831858407079646,0.25821596244131456,0.25691699604743085,0.34101382488479265,0.23931623931623933,0.25120772946859904,0.25268817204301075,0.2814070351758794,0.23921568627450981,0.2463768115942029,0.228,0.2850678733031674,0.2222222222222222,0.30386740331491713,0.2535885167464115,0.26540284360189575,0.25462962962962965,0.23809523809523808,0.25957446808510637,0.3062200956937799,0.24691358024691357,0.25663716814159293,0.22115384615384615,0.252212389380531,0.25,0.25471698113207547,0.22631578947368422,0.251063829787234,0.25,0.27927927927927926,0.26732673267326734,0.23605150214592274,0.2676056338028169,0.1534090909090909,0.2864583333333333,0.2968036529680365,0.22666666666666666,0.17672413793103448,0.20535714285714285,0.27918781725888325,0.2674897119341564,0.30660377358490565,0.27884615384615385,0.26570048309178745,0.2742616033755274,0.27848101265822783,0.3105022831050228,0.21256038647342995,0.23684210526315788,0.292817679558011,0.35353535353535354,0.26146788990825687,0.1834319526627219,0.21226415094339623,0.18604651162790697,0.22957198443579765,0.25943396226415094,0.27071823204419887,0.24124513618677043,0.27310924369747897,0.22580645161290322,0.22065727699530516,0.21890547263681592,0.28063241106719367,0.2723404255319149,0.27722772277227725,0.3298429319371728,0.24761904761904763,0.3675675675675676,0.23157894736842105,0.23893805309734514,0.2409090909090909
Docetaxel,0.5152838427947598,0.5597014925373134,0.011235955056179775,0.3034825870646766,1.0,0.3819444444444444,0.4624505928853755,0.4030612244897959,0.36531365313653136,0.49047619047619045,0.37218045112781956,0.4366812227074236,0.37549407114624506,0.45933014354066987,0.39792387543252594,0.36363636363636365,0.5089285714285714,0.4254545454545455,0.43609022556390975,0.5083333333333333,0.42911877394636017,0.4551971326164875,0.4647887323943662,0.32950191570881227,0.36929460580912865,0.359375,0.34901960784313724,0.30132450331125826,0.41947565543071164,0.49760765550239233,0.3700440528634361,0.17098445595854922,0.34385964912280703,0.9510869565217391,0.37722419928825623,0.5894736842105263,0.42962962962962964,0.4485294117647059,0.5258964143426295,0.13812154696132597,0.4254545454545455,0.41533546325878595,0.296028880866426,0.2899628252788104,0.3890909090909091,0.4112903225806452,0.4188679245283019,0.3522727272727273,0.28292682926829266,0.4329004329004329,0.4217687074829932,0.37454545454545457,0.47692307692307695,0.4549763033175355,0.44357976653696496,0.4434389140271493,0.29615384615384616,0.3088803088803089,0.40234375,0.38028169014084506,0.410958904109589,0.29856115107913667,0.15040650406504066,0.2867647058823529,0.34328358208955223,0.714975845410628,0.1377551020408163,0.37735849056603776,0.3904109589041096,0.43884892086330934,0.42436974789915966,0.4098360655737705,0.5933609958506224,0.34074074074074073,0.3687707641196013,0.4,0.3333333333333333,0.32209737827715357,0.4155844155844156,0.5173913043478261,0.40893470790378006,0.3590733590733591,0.397212543554007,0.3695652173913043,0.2851851851851852,0.5639810426540285,0.36398467432950193,0.43824701195219123,0.4541832669322709,0.4199134199134199,0.4028776978417266,0.5617021276595745,0.3642611683848797,0.4052044609665427,0.3181818181818182,0.3181818181818182,0.3258426966292135,0.34328358208955223,0.3625,0.48091603053435117,0.391304347826087,0.5815899581589958,0.6826923076923077,0.37410071942446044,0.3893129770992366,0.5230769230769231,0.33203125,0.4372623574144487,0.41284403669724773,0.416988416988417,0.3684210526315789,0.4065040650406504,0.3958333333333333,0.379182156133829,0.3235294117647059,0.5964125560538116,0.3894736842105263,0.4028268551236749,0.45977011494252873,0.3855421686746988,0.504,0.43859649122807015,0.23243243243243245,0.3977272727272727,0.32432432432432434,0.25357142857142856,0.41295546558704455,0.3993174061433447,0.3938223938223938,0.42731277533039647,0.4340277777777778,0.4758364312267658,0.6019900497512438,0.3062730627306273,0.25555555555555554,0.5655430711610487,0.42391304347826086,0.40239043824701193,0.4560669456066946,0.3484848484848485,0.5701357466063348,0.41379310344827586,0.2852233676975945,0.33941605839416056
Gefitinib,0.531496062992126,0.6083916083916084,0.00909090909090909,0.26666666666666666,0.3819444444444444,1.0,0.4305555555555556,0.34893617021276596,0.578544061302682,0.375968992248062,0.4746376811594203,0.4053030303030303,0.5175097276264592,0.39919354838709675,0.8661087866108786,0.550185873605948,0.4074074074074074,0.7154150197628458,0.5588235294117647,0.5905511811023622,0.6938775510204082,0.8512396694214877,0.6962962962962963,0.4847328244274809,0.5183673469387755,0.56,0.5378486055776892,0.5535714285714286,0.7254098360655737,0.4031620553359684,0.521551724137931,0.14042553191489363,0.585820895522388,0.3875432525951557,0.7228915662650602,0.30798479087452474,0.6850393700787402,0.6704980842911877,0.6098484848484849,0.10714285714285714,0.6377358490566037,0.660958904109589,0.50187265917603,0.5877551020408164,0.8678414096916299,0.4961832061068702,0.6076923076923076,0.5770750988142292,0.26556016597510373,0.45136186770428016,0.7164179104477612,0.7142857142857143,0.4732142857142857,0.3371647509578544,0.6196078431372549,0.49173553719008267,0.5596707818930041,0.5362903225806451,0.5189393939393939,0.37142857142857144,0.4385245901639344,0.55,0.2948207171314741,0.5372549019607843,0.608,0.3881118881118881,0.14224137931034483,0.5836575875486382,0.9393939393939394,0.5842293906810035,0.3905109489051095,0.7546468401486989,0.4843205574912892,0.4907749077490775,0.656934306569343,0.5932835820895522,0.5490909090909091,0.4794007490636704,0.44140625,0.5515873015873016,0.6678966789667896,0.5697211155378487,0.548951048951049,0.7427385892116183,0.5136186770428015,0.3828996282527881,0.5607843137254902,0.555984555984556,0.6086956521739131,0.522633744855967,0.6941176470588235,0.5492424242424242,0.5734767025089605,0.5441176470588235,0.5662650602409639,0.5992366412213741,0.5408560311284046,0.5461538461538461,0.39245283018867927,0.5636363636363636,0.6972111553784861,0.48936170212765956,0.4254545454545455,0.6892430278884463,0.5205992509363296,0.3724696356275304,0.658008658008658,0.5789473684210527,0.6258064516129033,0.3864406779661017,0.4551971326164875,0.5275590551181102,0.922077922077922,0.61328125,0.5952380952380952,0.5307692307692308,0.7380952380952381,0.8445378151260504,0.6395348837209303,0.4770992366412214,0.6328125,0.3602941176470588,0.1297071129707113,0.6983471074380165,0.27756653992395436,0.5291828793774319,0.38652482269503546,0.608540925266904,0.5265151515151515,0.4409448818897638,0.5582191780821918,0.7701612903225806,0.4163424124513619,0.6032388663967612,0.5,0.5972222222222222,0.6111111111111112,0.5390625,0.56,0.5307692307692308,0.51953125,0.4624505928853755,0.5238095238095238,0.4927007299270073
Navitoclax,0.46153846153846156,0.44481605351170567,0.010416666666666666,0.2052401746724891,0.4624505928853755,0.4305555555555556,1.0,0.467005076142132,0.5,0.5,0.5220883534136547,0.6255924170616114,0.5146443514644351,0.463302752293578,0.4413793103448276,0.531496062992126,0.4789915966386555,0.4245614035087719,0.4666666666666667,0.4573643410852713,0.3821428571428571,0.4583333333333333,0.47766323024054985,0.4979253112033195,0.43333333333333335,0.44223107569721115,0.4672131147540984,0.4854014598540146,0.40860215053763443,0.5280373831775701,0.4069264069264069,0.17647058823529413,0.5210727969348659,0.4860557768924303,0.4219858156028369,0.3389830508474576,0.49812734082397003,0.48363636363636364,0.4384057971014493,0.13989637305699482,0.4763636363636364,0.48859934853420195,0.45703125,0.4268774703557312,0.36082474226804123,0.5041322314049587,0.4338235294117647,0.3895131086142322,0.2149122807017544,0.4870689655172414,0.44,0.35172413793103446,0.3665158371040724,0.38362068965517243,0.4528301886792453,0.5136363636363637,0.398406374501992,0.4007936507936508,0.492,0.4666666666666667,0.5093457943925234,0.4940239043824701,0.1927710843373494,0.3582089552238806,0.41132075471698115,0.38721804511278196,0.16176470588235295,0.39338235294117646,0.4383561643835616,0.4785714285714286,0.5414847161572053,0.5416666666666666,0.45787545787545786,0.49800796812749004,0.36977491961414793,0.425,0.4368231046931408,0.49795918367346936,0.4698275862068966,0.5062240663900415,0.3901639344262295,0.46987951807228917,0.4981949458483754,0.4254545454545455,0.421259842519685,0.5021834061135371,0.48,0.40977443609022557,0.44106463878326996,0.5267857142857143,0.44802867383512546,0.4111111111111111,0.4731182795698925,0.49049429657794674,0.4085603112840467,0.42700729927007297,0.4153846153846154,0.45525291828793774,0.5642201834862385,0.4833948339483395,0.40636042402826855,0.4681647940074906,0.4444444444444444,0.39436619718309857,0.44274809160305345,0.3521739130434783,0.4489795918367347,0.5076923076923077,0.5657894736842105,0.7971698113207547,0.575,0.48760330578512395,0.4246575342465753,0.4807692307692308,0.47244094488188976,0.5611814345991561,0.41379310344827586,0.37,0.5019011406844106,0.46530612244897956,0.4942528735632184,0.5906976744186047,0.19801980198019803,0.3678571428571429,0.4460093896713615,0.35687732342007433,0.42913385826771655,0.4570446735395189,0.4763779527559055,0.3151750972762646,0.4623287671232877,0.4626334519572954,0.5135135135135135,0.42084942084942084,0.31716417910447764,0.43521594684385384,0.5300751879699248,0.49387755102040815,0.4897119341563786,0.522633744855967,0.5361702127659574,0.39591836734693875,0.39568345323741005,0.45977011494252873
Vorinostat,0.4860335195530726,0.3699186991869919,0.020618556701030927,0.26573426573426573,0.4030612244897959,0.34893617021276596,0.467005076142132,1.0,0.4595959595959596,0.5163398692810458,0.47150259067357514,0.6,0.5170454545454546,0.36585365853658536,0.3686440677966102,0.43414634146341463,0.34554973821989526,0.38222222222222224,0.44711538461538464,0.37073170731707317,0.38388625592417064,0.3948497854077253,0.3673469387755102,0.46153846153846156,0.49101796407185627,0.47513812154696133,0.4371584699453552,0.3565217391304348,0.3669724770642202,0.6811594202898551,0.5333333333333333,0.25,0.41784037558685444,0.41116751269035534,0.34210526315789475,0.32335329341317365,0.4252336448598131,0.416289592760181,0.4046511627906977,0.21359223300970873,0.4009009009009009,0.34572490706319703,0.45549738219895286,0.4148936170212766,0.3744292237442922,0.5112359550561798,0.4320388349514563,0.43005181347150256,0.2638888888888889,0.5625,0.3925619834710744,0.3813953488372093,0.3618421052631579,0.3063583815028902,0.42857142857142855,0.5973154362416108,0.43820224719101125,0.43333333333333335,0.4787234042553192,0.5434782608695652,0.6170212765957447,0.4,0.2392638036809816,0.4083769633507853,0.4090909090909091,0.3300970873786408,0.18333333333333332,0.40594059405940597,0.3598326359832636,0.3991228070175439,0.4742857142857143,0.3474903474903475,0.42924528301886794,0.4635416666666667,0.3510204081632653,0.38181818181818183,0.4225352112676056,0.4702702702702703,0.5870967741935483,0.5227272727272727,0.38235294117647056,0.5055555555555555,0.40350877192982454,0.4142857142857143,0.3854166666666667,0.48214285714285715,0.4864864864864865,0.4358974358974359,0.49473684210526314,0.5935483870967742,0.410958904109589,0.4444444444444444,0.40444444444444444,0.45588235294117646,0.4126984126984127,0.38317757009345793,0.4521276595744681,0.4381443298969072,0.5185185185185185,0.43457943925233644,0.3835616438356164,0.4142857142857143,0.4308510638297872,0.35585585585585583,0.415,0.37579617834394907,0.42857142857142855,0.45588235294117646,0.3321678321678322,0.4973821989528796,0.46632124352331605,0.5406976744186046,0.3601694915254237,0.4427860696517413,0.3880597014925373,0.4945652173913043,0.3876651982378855,0.3562231759656652,0.4354066985645933,0.41935483870967744,0.4603960396039604,0.47904191616766467,0.2672413793103448,0.3584905660377358,0.5323741007194245,0.35678391959798994,0.3958333333333333,0.37083333333333335,0.4213197969543147,0.35,0.36065573770491804,0.39823008849557523,0.6283783783783784,0.4072164948453608,0.33678756476683935,0.3699186991869919,0.43119266055045874,0.47282608695652173,0.5,0.478494623655914,0.5375722543352601,0.38764044943820225,0.4223300970873786,0.38164251207729466
Nilotinib,0.5903083700440529,0.47440273037542663,0.010416666666666666,0.23766816143497757,0.36531365313653136,0.578544061302682,0.5,0.4595959595959596,1.0,0.5280373831775701,0.6844444444444444,0.5662100456621004,0.6605504587155964,0.33472803347280333,0.6201550387596899,0.683982683982684,0.3643410852713178,0.5736434108527132,0.546875,0.42424242424242425,0.5860655737704918,0.6535433070866141,0.5925925925925926,0.6409090909090909,0.6303317535545023,0.7403846153846154,0.7211538461538461,0.6345381526104418,0.547244094488189,0.5209302325581395,0.5258215962441315,0.2,0.6680672268907563,0.3763837638376384,0.5305343511450382,0.26907630522088355,0.6326530612244898,0.6653061224489796,0.5269230769230769,0.1282051282051282,0.6571428571428571,0.6863468634686347,0.6359649122807017,0.7783251231527094,0.5776892430278885,0.7089201877934272,0.7030567685589519,0.6415929203539823,0.2590909090909091,0.6507177033492823,0.6941176470588235,0.5617529880478087,0.30735930735930733,0.2637795275590551,0.6382978723404256,0.6989795918367347,0.746268656716418,0.6192660550458715,0.7268518518518519,0.49514563106796117,0.5528846153846154,0.6816143497757847,0.42105263157894735,0.6470588235294118,0.8067632850241546,0.31785714285714284,0.12322274881516587,0.6127659574468085,0.596958174904943,0.5333333333333333,0.5482456140350878,0.5913978494623656,0.48507462686567165,0.6711111111111111,0.5955056179775281,0.6285714285714286,0.7379912663755459,0.5956521739130435,0.5714285714285714,0.6651376146788991,0.6245210727969349,0.8118811881188119,0.6274509803921569,0.5870445344129555,0.6044444444444445,0.4214876033057851,0.7874396135265701,0.6304347826086957,0.6550218340611353,0.7360406091370558,0.5843137254901961,0.4431818181818182,0.5509433962264151,0.8064516129032258,0.7238095238095238,0.7533632286995515,0.7607655502392344,0.7980769230769231,0.4890829694323144,0.5581395348837209,0.6311475409836066,0.4681647940074906,0.4,0.5652173913043478,0.4157303370786517,0.32905982905982906,0.714975845410628,0.6752136752136753,0.5454545454545454,0.47674418604651164,0.6016949152542372,0.7475728155339806,0.6,0.6812227074235808,0.6548672566371682,0.4624505928853755,0.6872427983539094,0.5930232558139535,0.6188524590163934,0.5407725321888412,0.6317991631799164,0.52,0.18627450980392157,0.5826446280991735,0.3811659192825112,0.6976744186046512,0.32967032967032966,0.637065637065637,0.7201834862385321,0.3466135458167331,0.4982456140350877,0.5568181818181818,0.5135135135135135,0.7692307692307693,0.6045454545454545,0.46440677966101696,0.7245762711864406,0.7941176470588235,0.6995305164319249,0.6894977168949772,0.5695652173913044,0.4369747899159664,0.7168141592920354,0.524
Olaparib,0.5353535353535354,0.41509433962264153,0.014814814814814815,0.25862068965517243,0.49047619047619045,0.375968992248062,0.5,0.5163398692810458,0.5280373831775701,1.0,0.5480769230769231,0.5888888888888889,0.5174129353233831,0.43169398907103823,0.4046692607003891,0.46255506607929514,0.4603960396039604,0.430327868852459,0.46120689655172414,0.4700460829493088,0.40425531914893614,0.43478260869565216,0.42911877394636017,0.47572815533980584,0.5944444444444444,0.4950980392156863,0.505,0.42857142857142855,0.3941908713692946,0.5428571428571428,0.43315508021390375,0.2534246575342466,0.4225941422594142,0.4976303317535545,0.39271255060728744,0.37037037037037035,0.48484848484848486,0.45643153526970953,0.46551724137931033,0.17266187050359713,0.44214876033057854,0.4234875444839858,0.4766355140186916,0.4339622641509434,0.3614457831325301,0.6073298429319371,0.48,0.42081447963800905,0.27167630057803466,0.5737704918032787,0.42585551330798477,0.3673469387755102,0.40804597701149425,0.36082474226804123,0.4199134199134199,0.6331360946745562,0.42718446601941745,0.48,0.6373056994818653,0.56875,0.5833333333333334,0.4260089686098655,0.25654450261780104,0.4147465437788018,0.4474885844748858,0.4246575342465753,0.16883116883116883,0.4185022026431718,0.4015444015444015,0.46311475409836067,0.574468085106383,0.4124087591240876,0.5088495575221239,0.48372093023255813,0.38202247191011235,0.39591836734693875,0.4956140350877193,0.45539906103286387,0.49473684210526314,0.5612244897959183,0.4115384615384615,0.5147058823529411,0.432,0.384297520661157,0.4339622641509434,0.5597826086956522,0.526829268292683,0.4790697674418605,0.49074074074074076,0.5833333333333334,0.43983402489626555,0.4660633484162896,0.42168674698795183,0.5952380952380952,0.47342995169082125,0.4458874458874459,0.48095238095238096,0.48130841121495327,0.4489795918367347,0.5198237885462555,0.4698275862068966,0.4823008849557522,0.527363184079602,0.41841004184100417,0.3659574468085106,0.45977011494252873,0.45365853658536587,0.4955357142857143,0.3737704918032787,0.5069767441860465,0.5358851674641149,0.5538461538461539,0.40234375,0.45132743362831856,0.4088888888888889,0.5343137254901961,0.42338709677419356,0.377431906614786,0.4759825327510917,0.51,0.5416666666666666,0.6569767441860465,0.2585034013605442,0.39914163090128757,0.4022346368715084,0.4,0.34801762114537443,0.48582995951417,0.5071090047393365,0.3910891089108911,0.43410852713178294,0.4331983805668016,0.5674157303370787,0.4398148148148148,0.3767441860465116,0.4044943820224719,0.49572649572649574,0.5606060606060606,0.5561224489795918,0.49047619047619045,0.5510204081632653,0.4467005076142132,0.47767857142857145,0.4336283185840708
