"","Camptothecin","Vinblastine","Cisplatin","Cytarabine","Docetaxel","Gefitinib","Navitoclax","Vorinostat","Nilotinib","Olaparib","Axitinib","AZD7762","SB216763","KU-55933","Afatinib","PLX-4720","NU7441","Doramapimod","Wee1 Inhibitor","Nutlin-3a (-)","PD173074","ZM447439","Alisertib","RO-3306","MK-2206","Palbociclib","Dactolisib","Pictilisib","AZD8055","PD0325901","Obatoclax Mesylate","5-Fluorouracil","Dasatinib","Paclitaxel","Crizotinib","Rapamycin","Sorafenib","BI-2536","Irinotecan","Oxaliplatin","BMS-536924","GSK1904529A","Tozasertib","PF-4708671","Erlotinib","Niraparib","MK-1775","Dinaciclib","Gemcitabine","Bortezomib","GSK269962A","SB505124","Tamoxifen","Fulvestrant","EPZ004777","Daporinad","BMS-345541","AZ960","Talazoparib","XAV939","Trametinib","Dabrafenib","Temozolomide","Ruxolitinib","Linsitinib","Epirubicin","Cyclophosphamide","Pevonedistat","Sapitinib","Uprosertib","LCL161","Lapatinib","Luminespib","Alpelisib","Taselisib","EPZ5676","SCH772984","IWP-2","Leflunomide","Entinostat","OSI-027","LGK974","VE-822","WZ4003","CZC24832","AZD5582","GSK2606414","PFI3","PCI-34051","Wnt-C59","I-BET-762","RVX-208","OTX015","GSK343","ML323","Entospletinib","PRT062607","Ribociclib","AGI-6780","AZD4547","Ibrutinib","Dactinomycin","Sabutoclax","LY2109761","OF-1","MN-64","Buparlisib","Ulixertinib","Venetoclax","ABT737","Afuresertib","AGI-5198","AZD3759","AZD5363","AZD6738","AZD8186","Osimertinib","Cediranib","Ipatasertib","GDC0810","GSK2578215A","I-BRD9","MIRA-1","NVP-ADW742","P22077","Savolitinib","UMI-77","WIKI4","Sepantronium bromide","MIM1","WEHI-539","Foretinib","BIBR-1532","AMG-319","MK-8776","Vinorelbine","VX-11e","AZ6102","GSK591","VE821","AZD6482","AT13148","BMS-754807","JQ1"
"Camptothecin",1,0.152542372881356,0.0178571428571429,0.157894736842105,0.212389380530973,0.144329896907216,0.194915254237288,0.115942028985507,0.141509433962264,0.179775280898876,0.155555555555556,0.130434782608696,0.139240506329114,0.158536585365854,0.157407407407407,0.157303370786517,0.180722891566265,0.185567010309278,0.1625,0.138613861386139,0.154639175257732,0.185567010309278,0.183673469387755,0.211764705882353,0.2,0.178947368421053,0.244186046511628,0.2,0.164835164835165,0.111111111111111,0.176470588235294,0.109375,0.14,0.194690265486726,0.145833333333333,0.161290322580645,0.0957446808510638,0.191919191919192,0.5,0.0625,0.216494845360825,0.194915254237288,0.131313131313131,0.164835164835165,0.127906976744186,0.180722891566265,0.221052631578947,0.185567010309278,0.179487179487179,0.126436781609195,0.165137614678899,0.217948717948718,0.16,0.208791208791209,0.156862745098039,0.181818181818182,0.177215189873418,0.137931034482759,0.157303370786517,0.135802469135802,0.15,0.131868131868132,0.121621621621622,0.10989010989011,0.206896551724138,0.178217821782178,0.114285714285714,0.153061224489796,0.178217821782178,0.16304347826087,0.15625,0.148148148148148,0.157894736842105,0.134020618556701,0.1875,0.186915887850467,0.2,0.217391304347826,0.157894736842105,0.125,0.182795698924731,0.133333333333333,0.157303370786517,0.191919191919192,0.116279069767442,0.134615384615385,0.191489361702128,0.144578313253012,0.148148148148148,0.117647058823529,0.147368421052632,0.13953488372093,0.13265306122449,0.146788990825688,0.166666666666667,0.172043010752688,0.141304347826087,0.197802197802198,0.125,0.204545454545455,0.15625,0.15,0.130952380952381,0.154639175257732,0.108433734939759,0.164383561643836,0.104651162790698,0.141304347826087,0.2,0.165217391304348,0.159574468085106,0.215909090909091,0.193877551020408,0.177777777777778,0.193548387096774,0.150537634408602,0.152380952380952,0.121212121212121,0.147368421052632,0.215909090909091,0.146067415730337,0.1875,0.151515151515152,0.159574468085106,0.120481927710843,0.118279569892473,0.142857142857143,0.173913043478261,0.188235294117647,0.141176470588235,0.182692307692308,0.188118811881188,0.246575342465753,0.213483146067416,0.0978260869565217,0.163934426229508,0.16,0.142857142857143,0.204545454545455,0.134146341463415,0.191011235955056,0.103896103896104,0.152380952380952,0.136842105263158
"Vinblastine",0.152542372881356,1,0.0348837209302326,0.100917431192661,0.190140845070423,0.201680672268908,0.184931506849315,0.123711340206186,0.141791044776119,0.181034482758621,0.162393162393162,0.133333333333333,0.184466019417476,0.175925925925926,0.198473282442748,0.163793103448276,0.160714285714286,0.204918032786885,0.168224299065421,0.176,0.107692307692308,0.235294117647059,0.165354330708661,0.0975609756097561,0.126050420168067,0.180327868852459,0.158333333333333,0.158730158730159,0.221238938053097,0.147826086956522,0.189189189189189,0.0729166666666667,0.149606299212598,0.210144927536232,0.163934426229508,0.142857142857143,0.144067796610169,0.25,0.17037037037037,0.0526315789473684,0.2,0.226950354609929,0.152,0.169491525423729,0.162162162162162,0.120689655172414,0.15625,0.1484375,0.117117117117117,0.150442477876106,0.186567164179104,0.114035087719298,0.122641509433962,0.145161290322581,0.136363636363636,0.192982456140351,0.0869565217391304,0.0826446280991736,0.144067796610169,0.107142857142857,0.15748031496063,0.0975609756097561,0.138613861386139,0.127118644067797,0.151260504201681,0.237704918032787,0.0476190476190476,0.188524590163934,0.227642276422764,0.139344262295082,0.172131147540984,0.172932330827068,0.183333333333333,0.136,0.168,0.160583941605839,0.17741935483871,0.133858267716535,0.0909090909090909,0.169642857142857,0.213675213675214,0.126050420168067,0.0975609756097561,0.229508196721311,0.11304347826087,0.136363636363636,0.180327868852459,0.123893805309735,0.19047619047619,0.114035087719298,0.205128205128205,0.150442477876106,0.1171875,0.154411764705882,0.122950819672131,0.146341463414634,0.170940170940171,0.184873949579832,0.12,0.159663865546218,0.172131147540984,0.180555555555556,0.165137614678899,0.2,0.158878504672897,0.125,0.0948275862068965,0.170940170940171,0.205298013245033,0.152777777777778,0.119047619047619,0.148760330578512,0.252100840336134,0.169491525423729,0.201680672268908,0.158333333333333,0.233870967741935,0.181818181818182,0.155737704918033,0.168067226890756,0.155172413793103,0.168,0.186813186813187,0.137096774193548,0.106194690265487,0.114754098360656,0.163636363636364,0.138211382113821,0.117647058823529,0.075,0.139705882352941,0.216,0.194174757281553,0.111111111111111,0.156521739130435,0.775510204081633,0.15625,0.114754098360656,0.2,0.116071428571429,0.140495867768595,0.0934579439252336,0.141791044776119,0.129032258064516
"Cisplatin",0.0178571428571429,0.0348837209302326,1,0.025,0.0227272727272727,0.0158730158730159,0.0217391304347826,0.0344827586206897,0,0,0.0178571428571429,0.0363636363636364,0.0238095238095238,0.0212765957446809,0.012987012987013,0.037037037037037,0,0,0.0222222222222222,0.0149253731343284,0.015625,0.0149253731343284,0.0298507462686567,0,0.0377358490566038,0,0,0,0.0350877192982456,0.0192307692307692,0,0.0434782608695652,0.0151515151515152,0.0232558139534884,0.0327868852459016,0,0.037037037037037,0.0289855072463768,0.025974025974026,0.05,0.0289855072463768,0.010752688172043,0.015625,0.0172413793103448,0,0.02,0,0.0149253731343284,0.0227272727272727,0.02,0.0256410256410256,0,0.0526315789473684,0,0.0142857142857143,0.0178571428571429,0.0222222222222222,0,0,0,0,0.037037037037037,0.0285714285714286,0.0384615384615385,0.0357142857142857,0.0140845070422535,0.0333333333333333,0.0153846153846154,0.0140845070422535,0.0169491525423729,0,0.0131578947368421,0.0327868852459016,0.0161290322580645,0.0151515151515152,0.0126582278481013,0,0.015625,0,0.0196078431372549,0.0327868852459016,0,0.0181818181818182,0.0441176470588235,0.0208333333333333,0,0.015625,0,0.0222222222222222,0.0212765957446809,0.0333333333333333,0,0.032258064516129,0.012987012987013,0.0175438596491228,0.0163934426229508,0.0175438596491228,0,0.0166666666666667,0,0.032258064516129,0.0111111111111111,0.0212765957446809,0.015625,0,0,0.0212765957446809,0.0357142857142857,0.0198019801980198,0.0235294117647059,0.0163934426229508,0.0169491525423729,0.0144927536231884,0.0350877192982456,0.032258064516129,0,0,0,0.0163934426229508,0.0526315789473684,0.0185185185185185,0.0307692307692308,0.0740740740740741,0.0333333333333333,0,0,0.0208333333333333,0,0,0,0.027027027027027,0,0.0232558139534884,0.0166666666666667,0.0188679245283019,0.0326086956521739,0.0298507462686567,0,0,0.0454545454545455,0.0172413793103448,0.0555555555555556,0,0.0166666666666667
"Cytarabine",0.157894736842105,0.100917431192661,0.025,1,0.12037037037037,0.0919540229885057,0.136363636363636,0.12962962962963,0.0824742268041237,0.141025641025641,0.1,0.142857142857143,0.121212121212121,0.112676056338028,0.112244897959184,0.144736842105263,0.0933333333333333,0.137931034482759,0.149253731343284,0.151162790697674,0.0909090909090909,0.1,0.0989010989010989,0.144736842105263,0.178082191780822,0.156626506024096,0.151898734177215,0.126436781609195,0.168831168831169,0.105263157894737,0.105263157894737,0.0784313725490196,0.180722891566265,0.11214953271028,0.160493827160494,0.12280701754386,0.12987012987013,0.186046511627907,0.145833333333333,0.106382978723404,0.214285714285714,0.126126126126126,0.142857142857143,0.125,0.0657894736842105,0.171428571428571,0.162790697674419,0.151162790697674,0.617021276595745,0.108108108108108,0.121212121212121,0.0821917808219178,0.0757575757575758,0.105882352941176,0.291139240506329,0.113924050632911,0.132352941176471,0.0921052631578947,0.16,0.101449275362319,0.1,0.115384615384615,0.155172413793103,0.133333333333333,0.171052631578947,0.197674418604651,0.087719298245614,0.168674698795181,0.131868131868132,0.1375,0.144578313253012,0.161290322580645,0.132530120481928,0.132530120481928,0.152941176470588,0.247191011235955,0.152941176470588,0.129411764705882,0.107692307692308,0.152777777777778,0.175,0.116883116883117,0.16,0.146067415730337,0.111111111111111,0.133333333333333,0.142857142857143,0.112676056338028,0.149253731343284,0.0972222222222222,0.148148148148148,0.123287671232877,0.172839506172839,0.123711340206186,0.126582278481013,0.120481927710843,0.126582278481013,0.177215189873418,0.179487179487179,0.139240506329114,0.130952380952381,0.173076923076923,0.112676056338028,0.0786516853932584,0.101449275362319,0.0952380952380952,0.128571428571429,0.126582278481013,0.116666666666667,0.113207547169811,0.148148148148148,0.197368421052632,0.10989010989011,0.153846153846154,0.144578313253012,0.109756097560976,0.129032258064516,0.104651162790698,0.1625,0.1375,0.131578947368421,0.126436781609195,0.153846153846154,0.148148148148148,0.115942028985507,0.1,0.126760563380282,0.135802469135802,0.133333333333333,0.125,0.114583333333333,0.106382978723404,0.136363636363636,0.0823529411764706,0.118421052631579,0.105263157894737,0.136363636363636,0.157894736842105,0.168831168831169,0.132352941176471,0.139240506329114,0.112903225806452,0.141304347826087,0.164556962025316
"Docetaxel",0.212389380530973,0.190140845070423,0.0227272727272727,0.12037037037037,1,0.152,0.225352112676056,0.111111111111111,0.132352941176471,0.15,0.151260504201681,0.141666666666667,0.149532710280374,0.132743362831858,0.18796992481203,0.12396694214876,0.11965811965812,0.184,0.155963302752294,0.138461538461538,0.141732283464567,0.174603174603175,0.173228346456693,0.105691056910569,0.173913043478261,0.178861788617886,0.15702479338843,0.15748031496063,0.148760330578512,0.209090909090909,0.0991735537190083,0.0612244897959184,0.1484375,0.787234042553192,0.16260162601626,0.172185430463576,0.152542372881356,0.161538461538462,0.213740458015267,0.0631578947368421,0.237704918032787,0.175675675675676,0.124031007751938,0.130081300813008,0.101694915254237,0.11965811965812,0.182539682539683,0.129770992366412,0.146788990825688,0.129310344827586,0.194029850746269,0.12280701754386,0.121495327102804,0.191666666666667,0.152671755725191,0.151260504201681,0.145454545454545,0.11864406779661,0.0967741935483871,0.116071428571429,0.174603174603175,0.172413793103448,0.0943396226415094,0.116666666666667,0.2,0.235772357723577,0.0471698113207547,0.158730158730159,0.169230769230769,0.166666666666667,0.142857142857143,0.13768115942029,0.144,0.125984251968504,0.204918032786885,0.185185185185185,0.13953488372093,0.16,0.174757281553398,0.2,0.172131147540984,0.125,0.142857142857143,0.170542635658915,0.0932203389830508,0.135338345864662,0.16,0.132743362831858,0.135135135135135,0.12280701754386,0.126984126984127,0.11965811965812,0.133858267716535,0.128571428571429,0.131147540983607,0.136,0.131147540983607,0.154471544715447,0.155737704918033,0.148760330578512,0.170731707317073,0.179310344827586,0.163636363636364,0.16,0.136363636363636,0.123809523809524,0.11304347826087,0.159663865546218,0.188311688311688,0.176056338028169,0.126984126984127,0.176470588235294,0.171875,0.188034188034188,0.190082644628099,0.138211382113821,0.140740740740741,0.116279069767442,0.203389830508475,0.147540983606557,0.153846153846154,0.166666666666667,0.101010101010101,0.173553719008264,0.125,0.151260504201681,0.141592920353982,0.137096774193548,0.155172413793103,0.092436974789916,0.164179104477612,0.16793893129771,0.215686274509804,0.137096774193548,0.126050420168067,0.174496644295302,0.173228346456693,0.132231404958678,0.168067226890756,0.145454545454545,0.198275862068966,0.113207547169811,0.149253731343284,0.184873949579832
"Gefitinib",0.144329896907216,0.201680672268908,0.0158730158730159,0.0919540229885057,0.152,1,0.254237288135593,0.12,0.142857142857143,0.178947368421053,0.121212121212121,0.144329896907216,0.182926829268293,0.186046511627907,0.48314606741573,0.208791208791209,0.166666666666667,0.297872340425532,0.123595505617978,0.22,0.178217821782178,0.671232876712329,0.294736842105263,0.122448979591837,0.123711340206186,0.133333333333333,0.1875,0.186274509803922,0.228260869565217,0.16304347826087,0.16304347826087,0.0833333333333333,0.21,0.145161290322581,0.206185567010309,0.143939393939394,0.195652173913043,0.225490196078431,0.176991150442478,0.0416666666666667,0.237623762376238,0.233333333333333,0.178217821782178,0.177083333333333,0.424657534246575,0.129032258064516,0.194174757281553,0.161904761904762,0.125,0.105263157894737,0.288461538461538,0.108695652173913,0.160493827160494,0.135922330097087,0.19047619047619,0.13265306122449,0.204819277108434,0.177777777777778,0.182795698924731,0.1,0.161904761904762,0.122448979591837,0.125,0.148936170212766,0.142857142857143,0.188679245283019,0.0759493670886076,0.212121212121212,0.448275862068966,0.212765957446809,0.156862745098039,0.350515463917526,0.231578947368421,0.135922330097087,0.152380952380952,0.175438596491228,0.152380952380952,0.155339805825243,0.130952380952381,0.152173913043478,0.206185567010309,0.112244897959184,0.157894736842105,0.275510204081633,0.144444444444444,0.116071428571429,0.19,0.133333333333333,0.204819277108434,0.146067415730337,0.183673469387755,0.179775280898876,0.18,0.168141592920354,0.131313131313131,0.221052631578947,0.204301075268817,0.137254901960784,0.0849056603773585,0.189473684210526,0.145631067961165,0.150793650793651,0.146067415730337,0.279569892473118,0.207317073170732,0.121951219512195,0.172413793103448,0.178947368421053,0.256,0.184873949579832,0.171717171717172,0.151515151515152,0.441860465116279,0.189473684210526,0.18,0.212765957446809,0.242718446601942,0.45679012345679,0.221052631578947,0.2,0.159574468085106,0.110091743119266,0.121621621621622,0.171717171717172,0.111111111111111,0.121212121212121,0.131868131868132,0.138613861386139,0.136842105263158,0.0947368421052632,0.192660550458716,0.511904761904762,0.13953488372093,0.161616161616162,0.136842105263158,0.182539682539683,0.217821782178218,0.144329896907216,0.153061224489796,0.111111111111111,0.189473684210526,0.164556962025316,0.219047619047619,0.161616161616162
"Navitoclax",0.194915254237288,0.184931506849315,0.0217391304347826,0.136363636363636,0.225352112676056,0.254237288135593,1,0.117647058823529,0.206106870229008,0.163934426229508,0.175,0.184873949579832,0.154545454545455,0.189189189189189,0.2,0.176470588235294,0.153846153846154,0.299145299145299,0.160714285714286,0.169230769230769,0.137404580152672,0.266666666666667,0.214285714285714,0.129032258064516,0.188034188034188,0.173228346456693,0.220338983050847,0.237704918032787,0.16260162601626,0.191304347826087,0.141666666666667,0.0588235294117647,0.237704918032787,0.246376811594203,0.185483870967742,0.16025641025641,0.166666666666667,0.220472440944882,0.198529411764706,0.0606060606060606,0.260162601626016,0.271428571428571,0.201612903225806,0.191666666666667,0.126050420168067,0.125,0.224,0.178294573643411,0.162162162162162,0.163793103448276,0.233082706766917,0.147826086956522,0.117117117117117,0.185483870967742,0.201550387596899,0.184873949579832,0.130434782608696,0.152542372881356,0.166666666666667,0.131578947368421,0.16030534351145,0.166666666666667,0.111111111111111,0.140495867768595,0.203389830508475,0.2,0.0849056603773585,0.153846153846154,0.2,0.230769230769231,0.15625,0.210526315789474,0.235294117647059,0.176,0.208,0.179856115107914,0.227642276422764,0.173228346456693,0.146788990825688,0.192982456140351,0.166666666666667,0.139344262295082,0.186440677966102,0.260162601626016,0.166666666666667,0.148148148148148,0.201612903225806,0.128205128205128,0.192660550458716,0.168141592920354,0.168,0.10655737704918,0.193548387096774,0.191176470588235,0.163934426229508,0.226890756302521,0.136,0.186991869918699,0.228813559322034,0.211864406779661,0.165354330708661,0.182432432432432,0.189189189189189,0.211382113821138,0.172727272727273,0.161904761904762,0.189189189189189,0.183333333333333,0.449612403100775,0.526785714285714,0.206611570247934,0.170731707317073,0.222222222222222,0.211864406779661,0.193548387096774,0.190082644628099,0.17910447761194,0.15625,0.23728813559322,0.180327868852459,0.208695652173913,0.135338345864662,0.118811881188119,0.168,0.140350877192982,0.165289256198347,0.220183486238532,0.16,0.179487179487179,0.0806451612903226,0.185185185185185,0.236220472440945,0.207547169811321,0.124031007751938,0.140495867768595,0.185430463576159,0.224,0.146341463414634,0.211864406779661,0.181818181818182,0.232758620689655,0.161904761904762,0.17910447761194,0.178861788617886
"Vorinostat",0.115942028985507,0.123711340206186,0.0344827586206897,0.12962962962963,0.111111111111111,0.12,0.117647058823529,1,0.132530120481928,0.164179104477612,0.166666666666667,0.149253731343284,0.125,0.133333333333333,0.152941176470588,0.134328358208955,0.126984126984127,0.157894736842105,0.2,0.1,0.118421052631579,0.205479452054795,0.141025641025641,0.134328358208955,0.119402985074627,0.103896103896104,0.111111111111111,0.10126582278481,0.0821917808219178,0.123076923076923,0.158730158730159,0.128205128205128,0.144736842105263,0.11340206185567,0.0506329113924051,0.0934579439252336,0.169230769230769,0.109756097560976,0.125,0.108108108108108,0.166666666666667,0.106796116504854,0.133333333333333,0.0972222222222222,0.129032258064516,0.109375,0.186666666666667,0.142857142857143,0.160714285714286,0.183333333333333,0.136363636363636,0.0625,0.153846153846154,0.136986301369863,0.151898734177215,0.203125,0.1,0.0746268656716418,0.117647058823529,0.0833333333333333,0.157894736842105,0.101449275362319,0.12,0.072463768115942,0.0985915492957746,0.121951219512195,0.0408163265306122,0.131578947368421,0.15,0.126760563380282,0.0909090909090909,0.114942528735632,0.136986301369863,0.106666666666667,0.0740740740740741,0.0752688172043011,0.191780821917808,0.180555555555556,0.196078431372549,0.2,0.106666666666667,0.153846153846154,0.101449275362319,0.197368421052632,0.0615384615384615,0.123456790123457,0.103896103896104,0.192982456140351,0.178571428571429,0.259259259259259,0.138888888888889,0.0923076923076923,0.183098591549296,0.101123595505618,0.114285714285714,0.138888888888889,0.147058823529412,0.108108108108108,0.140845070422535,0.128571428571429,0.150684931506849,0.0882352941176471,0.192982456140351,0.0897435897435897,0.101694915254237,0.115384615384615,0.0461538461538462,0.147058823529412,0.0789473684210526,0.126315789473684,0.138888888888889,0.159420289855072,0.125,0.112676056338028,0.0632911392405063,0.111111111111111,0.146341463414634,0.0909090909090909,0.123287671232877,0.159420289855072,0.209677419354839,0.0875,0.166666666666667,0.0933333333333333,0.11864406779661,0.0547945205479452,0.210526315789474,0.0945945945945946,0.104477611940299,0.09375,0.170731707317073,0.1625,0.230769230769231,0.08,0.072463768115942,0.116504854368932,0.126582278481013,0.0845070422535211,0.17910447761194,0.245283018867925,0.161764705882353,0.0943396226415094,0.132530120481928,0.0945945945945946
"Nilotinib",0.141509433962264,0.141791044776119,0,0.0824742268041237,0.132352941176471,0.142857142857143,0.206106870229008,0.132530120481928,1,0.14018691588785,0.186274509803922,0.222222222222222,0.126315789473684,0.0980392156862745,0.154471544715447,0.153846153846154,0.0849056603773585,0.222222222222222,0.122448979591837,0.137931034482759,0.194444444444444,0.211009174311927,0.220183486238532,0.142857142857143,0.133333333333333,0.194444444444444,0.180952380952381,0.139130434782609,0.118181818181818,0.158415841584158,0.158415841584158,0.0731707317073171,0.201834862385321,0.142857142857143,0.175925925925926,0.118055555555556,0.212121212121212,0.216216216216216,0.144,0.0625,0.184210526315789,0.244094488188976,0.18348623853211,0.194174757281553,0.14,0.161616161616162,0.231481481481481,0.168141592920354,0.123711340206186,0.197916666666667,0.210084033613445,0.166666666666667,0.106382978723404,0.154545454545455,0.173913043478261,0.198019801980198,0.170212765957447,0.183673469387755,0.176470588235294,0.172043010752688,0.2,0.16504854368932,0.136363636363636,0.145631067961165,0.173076923076923,0.114754098360656,0.043956043956044,0.101694915254237,0.152542372881356,0.203883495145631,0.196261682242991,0.137096774193548,0.123893805309735,0.257425742574257,0.235849056603774,0.152,0.190909090909091,0.151785714285714,0.25,0.221052631578947,0.154545454545455,0.252631578947368,0.132075471698113,0.238532110091743,0.21505376344086,0.153846153846154,0.194444444444444,0.131313131313131,0.182795698924731,0.302325581395349,0.145454545454545,0.127450980392157,0.153153153153153,0.234782608695652,0.232323232323232,0.223300970873786,0.232323232323232,0.188679245283019,0.25,0.217821782178218,0.142857142857143,0.165413533834586,0.191489361702128,0.151785714285714,0.135416666666667,0.0967741935483871,0.154639175257732,0.184466019417476,0.192857142857143,0.170542635658915,0.2,0.192307692307692,0.185840707964602,0.108108108108108,0.153153153153153,0.137614678899083,0.277777777777778,0.132743362831858,0.125,0.180952380952381,0.279569892473118,0.18018018018018,0.0813953488372093,0.115044247787611,0.111111111111111,0.186274509803922,0.118811881188119,0.146788990825688,0.156862745098039,0.0961538461538462,0.15702479338843,0.191304347826087,0.2,0.146788990825688,0.168316831683168,0.127659574468085,0.254716981132075,0.141509433962264,0.171428571428571,0.222222222222222,0.160377358490566,0.146067415730337,0.243243243243243,0.136363636363636
"Olaparib",0.179775280898876,0.181034482758621,0,0.141025641025641,0.15,0.178947368421053,0.163934426229508,0.164179104477612,0.14018691588785,1,0.235294117647059,0.193181818181818,0.197368421052632,0.156626506024096,0.177570093457944,0.223529411764706,0.178571428571429,0.195876288659794,0.205128205128205,0.208333333333333,0.13,0.195876288659794,0.21875,0.142857142857143,0.226190476190476,0.228260869565217,0.186813186813187,0.210526315789474,0.215909090909091,0.147727272727273,0.188235294117647,0.161290322580645,0.185567010309278,0.133333333333333,0.180851063829787,0.188524590163934,0.142857142857143,0.19,0.19811320754717,0.112903225806452,0.214285714285714,0.203389830508475,0.202127659574468,0.16304347826087,0.113636363636364,0.164705882352941,0.21875,0.234042553191489,0.134146341463415,0.137931034482759,0.153153153153153,0.142857142857143,0.113924050632911,0.15625,0.144230769230769,0.235294117647059,0.132530120481928,0.162790697674419,0.283950617283951,0.192307692307692,0.195876288659794,0.142857142857143,0.12,0.159090909090909,0.164835164835165,0.153846153846154,0.0821917808219178,0.163265306122449,0.224489795918367,0.2,0.244444444444444,0.136363636363636,0.168421052631579,0.180851063829787,0.197916666666667,0.12280701754386,0.277777777777778,0.21505376344086,0.141025641025641,0.219512195121951,0.193548387096774,0.157303370786517,0.168539325842697,0.178217821782178,0.114942528735632,0.19,0.177083333333333,0.185185185185185,0.220779220779221,0.185185185185185,0.170212765957447,0.164705882352941,0.154639175257732,0.2,0.177777777777778,0.182795698924731,0.204545454545455,0.222222222222222,0.147368421052632,0.244186046511628,0.178947368421053,0.139344262295082,0.2,0.164948453608247,0.148148148148148,0.146666666666667,0.156626506024096,0.139784946236559,0.208,0.173913043478261,0.182795698924731,0.2,0.191919191919192,0.215909090909091,0.166666666666667,0.186813186813187,0.184466019417476,0.191489361702128,0.182795698924731,0.213483146067416,0.197674418604651,0.161616161616162,0.166666666666667,0.170212765957447,0.160493827160494,0.09375,0.182926829268293,0.101010101010101,0.120879120879121,0.113636363636364,0.192307692307692,0.23469387755102,0.194805194805195,0.123711340206186,0.133333333333333,0.181818181818182,0.17,0.179775280898876,0.229885057471264,0.160493827160494,0.175824175824176,0.162162162162162,0.257731958762887,0.172043010752688
