,Camptothecin,Vinblastine,Cisplatin,Cytarabine,Docetaxel,Gefitinib,Navitoclax,Vorinostat,Nilotinib,Olaparib,Axitinib,AZD7762,SB216763,KU-55933,Afatinib,PLX-4720,NU7441,Doramapimod,Wee1 Inhibitor,Nutlin-3a (-),PD173074,ZM447439,Alisertib,RO-3306,MK-2206,Palbociclib,Dactolisib,Pictilisib,AZD8055,PD0325901,Obatoclax Mesylate,5-Fluorouracil,Dasatinib,Paclitaxel,Crizotinib,Rapamycin,Sorafenib,BI-2536,Irinotecan,Oxaliplatin,BMS-536924,GSK1904529A,Tozasertib,PF-4708671,Erlotinib,Niraparib,MK-1775,Dinaciclib,Gemcitabine,Bortezomib,GSK269962A,SB505124,Tamoxifen,Fulvestrant,EPZ004777,Daporinad,BMS-345541,AZ960,Talazoparib,XAV939,Trametinib,Dabrafenib,Temozolomide,Ruxolitinib,Linsitinib,Epirubicin,Cyclophosphamide,Pevonedistat,Sapitinib,Uprosertib,LCL161,Lapatinib,Luminespib,Alpelisib,Taselisib,EPZ5676,SCH772984,IWP-2,Leflunomide,Entinostat,OSI-027,LGK974,VE-822,WZ4003,CZC24832,AZD5582,GSK2606414,PFI3,PCI-34051,Wnt-C59,I-BET-762,RVX-208,OTX015,GSK343,ML323,Entospletinib,PRT062607,Ribociclib,AGI-6780,AZD4547,Ibrutinib,Dactinomycin,Sabutoclax,LY2109761,OF-1,MN-64,Buparlisib,Ulixertinib,Venetoclax,ABT737,Afuresertib,AGI-5198,AZD3759,AZD5363,AZD6738,AZD8186,Osimertinib,Cediranib,Ipatasertib,GDC0810,GSK2578215A,I-BRD9,MIRA-1,NVP-ADW742,P22077,Savolitinib,UMI-77,WIKI4,Sepantronium bromide,MIM1,WEHI-539,Foretinib,BIBR-1532,AMG-319,MK-8776,Vinorelbine,VX-11e,AZ6102,GSK591,VE821,AZD6482,AT13148,BMS-754807,JQ1
Camptothecin,1.0,0.140625,0.017857142857142856,0.15789473684210525,0.175,0.12,0.15625,0.11267605633802817,0.11009174311926606,0.15217391304347827,0.13043478260869565,0.11578947368421053,0.1375,0.13095238095238096,0.125,0.14130434782608695,0.13953488372093023,0.15841584158415842,0.13253012048192772,0.13725490196078433,0.1188118811881188,0.1717171717171717,0.1346153846153846,0.19540229885057472,0.1797752808988764,0.15151515151515152,0.21348314606741572,0.18556701030927836,0.13541666666666666,0.08602150537634409,0.1348314606741573,0.05970149253731343,0.13725490196078433,0.15966386554621848,0.09803921568627451,0.11194029850746269,0.08421052631578947,0.1650485436893204,0.47126436781609193,0.046153846153846156,0.15384615384615385,0.15873015873015872,0.13131313131313133,0.15217391304347827,0.11235955056179775,0.14942528735632185,0.1782178217821782,0.15841584158415842,0.16455696202531644,0.12359550561797752,0.1592920353982301,0.1686746987951807,0.14473684210526316,0.15306122448979592,0.12037037037037036,0.15217391304347827,0.13414634146341464,0.11235955056179775,0.10638297872340426,0.10843373493975904,0.11428571428571428,0.10204081632653061,0.10666666666666667,0.0851063829787234,0.18681318681318682,0.1523809523809524,0.09722222222222222,0.14,0.14423076923076922,0.1368421052631579,0.13,0.11607142857142858,0.15625,0.13131313131313133,0.15151515151515152,0.1415929203539823,0.1568627450980392,0.17525773195876287,0.1282051282051282,0.1111111111111111,0.14285714285714285,0.13333333333333333,0.13978494623655913,0.1650485436893204,0.11235955056179775,0.12149532710280374,0.13725490196078433,0.1411764705882353,0.13414634146341464,0.11627906976744186,0.1111111111111111,0.125,0.09803921568627451,0.14414414414414414,0.14130434782608695,0.12371134020618557,0.12371134020618557,0.16666666666666666,0.0891089108910891,0.16304347826086957,0.12121212121212122,0.13709677419354838,0.11627906976744186,0.14,0.10588235294117647,0.14864864864864866,0.09090909090909091,0.11224489795918367,0.1386861313868613,0.12096774193548387,0.14583333333333334,0.16666666666666666,0.14705882352941177,0.1368421052631579,0.15463917525773196,0.12371134020618557,0.12962962962962962,0.09900990099009901,0.14736842105263157,0.17204301075268819,0.11827956989247312,0.15151515151515152,0.13432835820895522,0.12244897959183673,0.09411764705882353,0.10638297872340426,0.12790697674418605,0.1368421052631579,0.14606741573033707,0.11494252873563218,0.16822429906542055,0.13761467889908258,0.18181818181818182,0.16129032258064516,0.0851063829787234,0.14615384615384616,0.12264150943396226,0.12903225806451613,0.18888888888888888,0.11627906976744186,0.18681318681318682,0.10256410256410256,0.13636363636363635,0.10101010101010101
Vinblastine,0.140625,1.0,0.020618556701030927,0.08333333333333333,0.15822784810126583,0.1323529411764706,0.15853658536585366,0.11009174311926606,0.10884353741496598,0.15625,0.13178294573643412,0.12121212121212122,0.13675213675213677,0.11382113821138211,0.14285714285714285,0.11363636363636363,0.10236220472440945,0.16911764705882354,0.12396694214876033,0.12857142857142856,0.09929078014184398,0.1791044776119403,0.1347517730496454,0.08148148148148149,0.11363636363636363,0.13043478260869565,0.12781954887218044,0.12949640287769784,0.16153846153846155,0.12598425196850394,0.144,0.046296296296296294,0.11267605633802817,0.17647058823529413,0.11594202898550725,0.09770114942528736,0.09848484848484848,0.2,0.14864864864864866,0.047619047619047616,0.14084507042253522,0.189873417721519,0.1323529411764706,0.14728682170542637,0.128,0.109375,0.10273972602739725,0.11971830985915492,0.08064516129032258,0.10077519379844961,0.15333333333333332,0.10317460317460317,0.10256410256410256,0.10714285714285714,0.10884353741496598,0.13846153846153847,0.07142857142857142,0.06818181818181818,0.10606060606060606,0.09836065573770492,0.11971830985915492,0.08695652173913043,0.11607142857142858,0.09090909090909091,0.12781954887218044,0.18115942028985507,0.03418803418803419,0.14705882352941177,0.18382352941176472,0.0948905109489051,0.12318840579710146,0.11333333333333333,0.1417910447761194,0.1079136690647482,0.13043478260869565,0.11764705882352941,0.1510791366906475,0.1223021582733813,0.06557377049180328,0.136,0.15789473684210525,0.09923664122137404,0.08823529411764706,0.18248175182481752,0.07633587786259542,0.11724137931034483,0.14492753623188406,0.09448818897637795,0.13445378151260504,0.09523809523809523,0.16030534351145037,0.128,0.1,0.14189189189189189,0.10526315789473684,0.09420289855072464,0.11851851851851852,0.1323529411764706,0.08571428571428572,0.14615384615384616,0.13333333333333333,0.12962962962962962,0.11290322580645161,0.13043478260869565,0.14285714285714285,0.10434782608695652,0.06976744186046512,0.11851851851851852,0.1511627906976744,0.13125,0.10144927536231885,0.12408759124087591,0.17777777777777778,0.13636363636363635,0.14074074074074075,0.11029411764705882,0.19708029197080293,0.1590909090909091,0.11029411764705882,0.13533834586466165,0.11450381679389313,0.13043478260869565,0.1568627450980392,0.09352517985611511,0.08870967741935484,0.09774436090225563,0.13008130081300814,0.0948905109489051,0.09923664122137404,0.061068702290076333,0.12080536912751678,0.1773049645390071,0.16666666666666666,0.08695652173913043,0.1076923076923077,0.7522935779816514,0.09523809523809523,0.11363636363636363,0.15503875968992248,0.08661417322834646,0.1111111111111111,0.07563025210084033,0.12837837837837837,0.11029411764705882
Cisplatin,0.017857142857142856,0.020618556701030927,1.0,0.0,0.0,0.015625,0.01,0.03225806451612903,0.0,0.0,0.017857142857142856,0.017241379310344827,0.023255813953488372,0.0,0.01282051282051282,0.03571428571428571,0.0,0.0,0.021739130434782608,0.014705882352941176,0.015384615384615385,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.014705882352941176,0.0,0.015625,0.0,0.037037037037037035,0.013888888888888888,0.0125,0.0,0.013888888888888888,0.01020408163265306,0.0,0.017241379310344827,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.012048192771084338,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.014084507042253521,0.016666666666666666,0.0,0.012987012987012988,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,0.0,0.0,0.0,0.0,0.022222222222222223,0.020833333333333332,0.03278688524590164,0.0,0.031746031746031744,0.012658227848101266,0.017543859649122806,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.009259259259259259,0.01098901098901099,0.016129032258064516,0.015625,0.014492753623188406,0.016666666666666666,0.015625,0.0,0.0,0.0,0.01639344262295082,0.03333333333333333,0.0,0.015151515151515152,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.014084507042253521,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.01639344262295082
Cytarabine,0.15789473684210525,0.08333333333333333,0.0,1.0,0.10619469026548672,0.07865168539325842,0.09090909090909091,0.125,0.08247422680412371,0.13924050632911392,0.08641975308641975,0.13924050632911392,0.08695652173913043,0.11267605633802817,0.1,0.12658227848101267,0.09333333333333334,0.10989010989010989,0.11428571428571428,0.1111111111111111,0.07777777777777778,0.0989010989010989,0.07368421052631578,0.1282051282051282,0.14102564102564102,0.15294117647058825,0.13580246913580246,0.11235955056179775,0.14814814814814814,0.1038961038961039,0.08974358974358974,0.0784313725490196,0.12359550561797752,0.10909090909090909,0.12941176470588237,0.09917355371900827,0.0875,0.13043478260869565,0.13131313131313133,0.08333333333333333,0.19540229885057472,0.09243697478991597,0.14285714285714285,0.125,0.0641025641025641,0.16666666666666666,0.13186813186813187,0.14772727272727273,0.6170212765957447,0.10526315789473684,0.11650485436893204,0.08,0.07575757575757576,0.10227272727272728,0.2804878048780488,0.1111111111111111,0.1323529411764706,0.07792207792207792,0.11392405063291139,0.10144927536231885,0.08602150537634409,0.10843373493975904,0.13559322033898305,0.11688311688311688,0.15,0.16666666666666666,0.06779661016949153,0.16666666666666666,0.11956521739130435,0.12195121951219512,0.12790697674418605,0.09,0.10465116279069768,0.11627906976744186,0.12643678160919541,0.24175824175824176,0.12087912087912088,0.11363636363636363,0.1076923076923077,0.12,0.12941176470588237,0.11688311688311688,0.15384615384615385,0.11827956989247312,0.10666666666666667,0.10638297872340426,0.12359550561797752,0.1095890410958904,0.1323529411764706,0.0958904109589041,0.10588235294117647,0.12162162162162163,0.11627906976744186,0.09900990099009901,0.1125,0.12048192771084337,0.12048192771084337,0.17073170731707318,0.11904761904761904,0.1375,0.11764705882352941,0.13636363636363635,0.0958904109589041,0.07692307692307693,0.09859154929577464,0.09523809523809523,0.1267605633802817,0.10714285714285714,0.10236220472440945,0.07894736842105263,0.11904761904761904,0.1566265060240964,0.08602150537634409,0.13580246913580246,0.10344827586206896,0.08139534883720931,0.11578947368421053,0.09195402298850575,0.13414634146341464,0.12048192771084337,0.1,0.12643678160919541,0.15384615384615385,0.13253012048192772,0.1,0.08641975308641975,0.1095890410958904,0.13580246913580246,0.13157894736842105,0.0945945945945946,0.10101010101010101,0.09090909090909091,0.08695652173913043,0.06976744186046512,0.11688311688311688,0.09016393442622951,0.10752688172043011,0.14102564102564102,0.16666666666666666,0.1267605633802817,0.12195121951219512,0.1111111111111111,0.12371134020618557,0.12048192771084337
Docetaxel,0.175,0.15822784810126583,0.0,0.10619469026548672,1.0,0.07971014492753623,0.17834394904458598,0.10476190476190476,0.1048951048951049,0.12598425196850394,0.13709677419354838,0.12598425196850394,0.11304347826086956,0.1,0.12413793103448276,0.10077519379844961,0.08870967741935484,0.14925373134328357,0.11016949152542373,0.125,0.10294117647058823,0.11678832116788321,0.13138686131386862,0.09302325581395349,0.12698412698412698,0.13533834586466165,0.12403100775193798,0.10948905109489052,0.09774436090225563,0.1694915254237288,0.09523809523809523,0.04854368932038835,0.10071942446043165,0.7676767676767676,0.11194029850746269,0.1411042944785276,0.12,0.11347517730496454,0.1619718309859155,0.06060606060606061,0.18045112781954886,0.11585365853658537,0.11194029850746269,0.08333333333333333,0.07936507936507936,0.10483870967741936,0.1386861313868613,0.09219858156028368,0.11206896551724138,0.12295081967213115,0.12751677852348994,0.08943089430894309,0.11711711711711711,0.11940298507462686,0.12056737588652482,0.1349206349206349,0.1016949152542373,0.0967741935483871,0.06015037593984962,0.08403361344537816,0.15789473684210525,0.15079365079365079,0.09090909090909091,0.0859375,0.15079365079365079,0.18796992481203006,0.03571428571428571,0.13533834586466165,0.1223021582733813,0.14173228346456693,0.1111111111111111,0.08,0.11278195488721804,0.11194029850746269,0.16153846153846155,0.12162162162162163,0.11510791366906475,0.13533834586466165,0.12612612612612611,0.16101694915254236,0.11194029850746269,0.112,0.1171875,0.12949640287769784,0.088,0.12949640287769784,0.10869565217391304,0.10743801652892562,0.09243697478991597,0.10833333333333334,0.10526315789473684,0.07936507936507936,0.09558823529411764,0.11564625850340136,0.11811023622047244,0.08955223880597014,0.09774436090225563,0.11194029850746269,0.11363636363636363,0.09923664122137404,0.12121212121212122,0.12658227848101267,0.1565217391304348,0.11851851851851852,0.10084033613445378,0.10909090909090909,0.05555555555555555,0.13178294573643412,0.13529411764705881,0.14285714285714285,0.11363636363636363,0.12878787878787878,0.1079136690647482,0.14173228346456693,0.13740458015267176,0.09774436090225563,0.11971830985915492,0.05714285714285714,0.168,0.10606060606060606,0.11023622047244094,0.11851851851851852,0.0970873786407767,0.11363636363636363,0.1016949152542373,0.11023622047244094,0.10743801652892562,0.10687022900763359,0.13008130081300814,0.08064516129032258,0.14893617021276595,0.10273972602739725,0.16363636363636364,0.09022556390977443,0.07751937984496124,0.14814814814814814,0.1223021582733813,0.08396946564885496,0.14285714285714285,0.10833333333333334,0.1693548387096774,0.09821428571428571,0.11724137931034483,0.14960629921259844
Gefitinib,0.12,0.1323529411764706,0.015625,0.07865168539325842,0.07971014492753623,1.0,0.2,0.0875,0.13157894736842105,0.14,0.08737864077669903,0.10679611650485436,0.16470588235294117,0.17045454545454544,0.44086021505376344,0.17708333333333334,0.16483516483516483,0.26262626262626265,0.10869565217391304,0.16981132075471697,0.1308411214953271,0.6533333333333333,0.2727272727272727,0.09803921568627451,0.10784313725490197,0.11926605504587157,0.11538461538461539,0.17142857142857143,0.20618556701030927,0.14736842105263157,0.13541666666666666,0.06756756756756757,0.20388349514563106,0.07352941176470588,0.18811881188118812,0.0979020979020979,0.15625,0.19626168224299065,0.13333333333333333,0.013333333333333334,0.19626168224299065,0.1937984496124031,0.14285714285714285,0.16326530612244897,0.40789473684210525,0.08,0.17592592592592593,0.12612612612612611,0.0989010989010989,0.08,0.24107142857142858,0.08247422680412371,0.11764705882352941,0.12037037037037036,0.1415929203539823,0.10679611650485436,0.14772727272727273,0.13829787234042554,0.15463917525773196,0.07526881720430108,0.13636363636363635,0.09433962264150944,0.0963855421686747,0.13402061855670103,0.11538461538461539,0.13157894736842105,0.07407407407407407,0.1509433962264151,0.42696629213483145,0.1958762886597938,0.12037037037037036,0.33,0.2268041237113402,0.1111111111111111,0.11926605504587157,0.1322314049586777,0.14545454545454545,0.11926605504587157,0.11627906976744186,0.10204081632653061,0.1650485436893204,0.0891089108910891,0.11764705882352941,0.2549019607843137,0.12631578947368421,0.09401709401709402,0.14814814814814814,0.09375,0.14772727272727273,0.11827956989247312,0.1568627450980392,0.17582417582417584,0.15384615384615385,0.125,0.10784313725490197,0.21875,0.14705882352941177,0.12149532710280374,0.07272727272727272,0.17346938775510204,0.11214953271028037,0.1037037037037037,0.11827956989247312,0.25773195876288657,0.1590909090909091,0.12048192771084337,0.15555555555555556,0.13592233009708737,0.18840579710144928,0.15748031496062992,0.1568627450980392,0.12149532710280374,0.42045454545454547,0.1717171717171717,0.1650485436893204,0.20618556701030927,0.1926605504587156,0.43373493975903615,0.18181818181818182,0.14705882352941177,0.14285714285714285,0.0990990990990991,0.09090909090909091,0.14563106796116504,0.09782608695652174,0.12,0.10526315789473684,0.13725490196078433,0.13402061855670103,0.08247422680412371,0.13675213675213677,0.48314606741573035,0.11235955056179775,0.16,0.0784313725490196,0.12142857142857143,0.17592592592592593,0.1188118811881188,0.11650485436893204,0.08333333333333333,0.1717171717171717,0.11904761904761904,0.16666666666666666,0.125
Navitoclax,0.15625,0.15853658536585366,0.01,0.09090909090909091,0.17834394904458598,0.2,1.0,0.10810810810810811,0.14583333333333334,0.12781954887218044,0.1297709923664122,0.1450381679389313,0.13445378151260504,0.16806722689075632,0.1643835616438356,0.14615384615384616,0.12698412698412698,0.2578125,0.11290322580645161,0.1267605633802817,0.0979020979020979,0.23076923076923078,0.14893617021276595,0.08029197080291971,0.12878787878787878,0.12056737588652482,0.16030534351145037,0.19548872180451127,0.13333333333333333,0.15079365079365079,0.11538461538461539,0.045454545454545456,0.18518518518518517,0.1895424836601307,0.1386861313868613,0.10285714285714286,0.13076923076923078,0.15492957746478872,0.14666666666666667,0.05660377358490566,0.21481481481481482,0.18012422360248448,0.1386861313868613,0.15384615384615385,0.1,0.08270676691729323,0.18115942028985507,0.14184397163120568,0.0967741935483871,0.13385826771653545,0.19863013698630136,0.1015625,0.10084033613445378,0.15441176470588236,0.12244897959183673,0.13636363636363635,0.07874015748031496,0.1,0.12121212121212122,0.11475409836065574,0.14184397163120568,0.11764705882352941,0.08547008547008547,0.08955223880597014,0.14285714285714285,0.15384615384615385,0.0603448275862069,0.11267605633802817,0.16428571428571428,0.17829457364341086,0.13768115942028986,0.14965986394557823,0.2204724409448819,0.15555555555555556,0.1366906474820144,0.12337662337662338,0.19117647058823528,0.14492753623188406,0.1282051282051282,0.13385826771653545,0.10638297872340426,0.12307692307692308,0.15384615384615385,0.19708029197080293,0.12598425196850394,0.1388888888888889,0.1510791366906475,0.09302325581395349,0.16101694915254236,0.12903225806451613,0.14074074074074075,0.07518796992481203,0.13043478260869565,0.1476510067114094,0.11194029850746269,0.16793893129770993,0.10071942446043165,0.1386861313868613,0.18461538461538463,0.1889763779527559,0.12318840579710146,0.12121212121212122,0.15702479338842976,0.17037037037037037,0.14049586776859505,0.1415929203539823,0.12,0.15037593984962405,0.42857142857142855,0.525,0.16666666666666666,0.13043478260869565,0.16666666666666666,0.16923076923076924,0.14705882352941177,0.16793893129770993,0.1292517006802721,0.11510791366906475,0.1953125,0.15037593984962405,0.13846153846153847,0.1048951048951049,0.09090909090909091,0.1079136690647482,0.12295081967213115,0.08823529411764706,0.18487394957983194,0.14285714285714285,0.12307692307692308,0.06015037593984962,0.12666666666666668,0.20863309352517986,0.16379310344827586,0.09352517985611511,0.06569343065693431,0.15568862275449102,0.16428571428571428,0.1037037037037037,0.17054263565891473,0.14754098360655737,0.20634920634920634,0.1504424778761062,0.1342281879194631,0.15037593984962405
Vorinostat,0.11267605633802817,0.11009174311926606,0.03225806451612903,0.125,0.10476190476190476,0.0875,0.10810810810810811,1.0,0.11627906976744186,0.14084507042253522,0.16176470588235295,0.14084507042253522,0.1,0.1111111111111111,0.1348314606741573,0.1267605633802817,0.10606060606060606,0.13580246913580246,0.13114754098360656,0.07058823529411765,0.11392405063291139,0.19736842105263158,0.12048192771084337,0.12857142857142856,0.1111111111111111,0.08536585365853659,0.09210526315789473,0.08433734939759036,0.07692307692307693,0.11764705882352941,0.13432835820895522,0.06976744186046512,0.12345679012345678,0.10784313725490197,0.03571428571428571,0.06896551724137931,0.14705882352941177,0.09195402298850575,0.09574468085106383,0.10256410256410256,0.11764705882352941,0.1,0.12987012987012986,0.0945945945945946,0.13846153846153847,0.10294117647058823,0.11904761904761904,0.10843373493975904,0.13559322033898305,0.171875,0.1276595744680851,0.058823529411764705,0.14814814814814814,0.1,0.14285714285714285,0.19117647058823528,0.0967741935483871,0.05714285714285714,0.05333333333333334,0.06349206349206349,0.13580246913580246,0.09210526315789473,0.09433962264150944,0.06944444444444445,0.09210526315789473,0.09090909090909091,0.038461538461538464,0.1125,0.13253012048192772,0.10666666666666667,0.08641975308641975,0.08695652173913043,0.13157894736842105,0.10126582278481013,0.07228915662650602,0.07216494845360824,0.14814814814814814,0.17105263157894737,0.18867924528301888,0.19047619047619047,0.10126582278481013,0.14925373134328357,0.0945945945945946,0.1728395061728395,0.05714285714285714,0.11764705882352941,0.0963855421686747,0.16129032258064516,0.1724137931034483,0.24561403508771928,0.11842105263157894,0.07246376811594203,0.17567567567567569,0.0851063829787234,0.1111111111111111,0.07692307692307693,0.13513513513513514,0.0875,0.14864864864864866,0.1232876712328767,0.13157894736842105,0.07407407407407407,0.18333333333333332,0.07228915662650602,0.09523809523809523,0.1111111111111111,0.028985507246376812,0.12,0.06504065040650407,0.11764705882352941,0.11842105263157894,0.12987012987012986,0.10843373493975904,0.10666666666666667,0.06097560975609756,0.09090909090909091,0.1411764705882353,0.08860759493670886,0.10526315789473684,0.1506849315068493,0.2153846153846154,0.08536585365853659,0.13333333333333333,0.08974358974358974,0.11475409836065574,0.039473684210526314,0.2,0.09210526315789473,0.1,0.07462686567164178,0.14942528735632185,0.13793103448275862,0.2222222222222222,0.07792207792207792,0.04054054054054054,0.10714285714285714,0.10588235294117647,0.06666666666666667,0.15492957746478872,0.24561403508771928,0.136986301369863,0.08928571428571429,0.1111111111111111,0.09090909090909091
Nilotinib,0.11009174311926606,0.10884353741496598,0.0,0.08247422680412371,0.1048951048951049,0.13157894736842105,0.14583333333333334,0.11627906976744186,1.0,0.12844036697247707,0.1523809523809524,0.20588235294117646,0.125,0.07692307692307693,0.144,0.1509433962264151,0.07476635514018691,0.17543859649122806,0.08823529411764706,0.1271186440677966,0.18181818181818182,0.1981981981981982,0.20535714285714285,0.12037037037037036,0.11926605504587157,0.18018018018018017,0.1574074074074074,0.11864406779661017,0.11504424778761062,0.1346153846153846,0.14563106796116504,0.07317073170731707,0.1981981981981982,0.10714285714285714,0.11206896551724138,0.05732484076433121,0.21212121212121213,0.21238938053097345,0.10687022900763359,0.036585365853658534,0.15126050420168066,0.22556390977443608,0.17272727272727273,0.18269230769230768,0.13725490196078433,0.15841584158415842,0.1724137931034483,0.13559322033898305,0.09,0.17,0.2032520325203252,0.14,0.10638297872340426,0.1016949152542373,0.13114754098360656,0.18269230769230768,0.14583333333333334,0.1485148514851485,0.14150943396226415,0.17204301075268819,0.18584070796460178,0.1574074074074074,0.12359550561797752,0.11214953271028037,0.1574074074074074,0.08661417322834646,0.043478260869565216,0.08264462809917356,0.14285714285714285,0.13636363636363635,0.1504424778761062,0.11811023622047244,0.11304347826086956,0.205607476635514,0.18018018018018017,0.12307692307692308,0.18421052631578946,0.1391304347826087,0.25,0.21875,0.13157894736842105,0.2268041237113402,0.11818181818181818,0.22321428571428573,0.1717171717171717,0.096,0.17699115044247787,0.11764705882352941,0.1827956989247312,0.2988505747126437,0.11403508771929824,0.1262135922330097,0.13157894736842105,0.18032786885245902,0.19607843137254902,0.17757009345794392,0.2,0.17272727272727273,0.19811320754716982,0.20388349514563106,0.12280701754385964,0.12857142857142856,0.16494845360824742,0.12931034482758622,0.12121212121212122,0.0851063829787234,0.13,0.1559633027522936,0.15333333333333332,0.1223021582733813,0.14414414414414414,0.15178571428571427,0.1452991452991453,0.09649122807017543,0.15178571428571427,0.11504424778761062,0.2636363636363636,0.11304347826086956,0.09565217391304348,0.13513513513513514,0.2604166666666667,0.18018018018018017,0.08139534883720931,0.10434782608695652,0.1,0.1308411214953271,0.10679611650485436,0.12612612612612611,0.14423076923076922,0.08571428571428572,0.12698412698412698,0.1652892561983471,0.17391304347826086,0.12612612612612611,0.09174311926605505,0.09933774834437085,0.23636363636363636,0.14018691588785046,0.16981132075471697,0.21505376344086022,0.14678899082568808,0.11956521739130435,0.21367521367521367,0.11504424778761062
Olaparib,0.15217391304347827,0.15625,0.0,0.13924050632911392,0.12598425196850394,0.14,0.12781954887218044,0.14084507042253522,0.12844036697247707,1.0,0.19101123595505617,0.18681318681318682,0.19230769230769232,0.12790697674418605,0.16363636363636364,0.20224719101123595,0.14942528735632185,0.1553398058252427,0.17073170731707318,0.16831683168316833,0.09523809523809523,0.1568627450980392,0.1650485436893204,0.1276595744680851,0.17582417582417584,0.1958762886597938,0.13402061855670103,0.14705882352941177,0.15625,0.14444444444444443,0.11956521739130435,0.15873015873015872,0.1568627450980392,0.1111111111111111,0.16326530612244897,0.12686567164179105,0.12903225806451613,0.1509433962264151,0.16071428571428573,0.09375,0.1619047619047619,0.1746031746031746,0.2,0.16129032258064516,0.10989010989010989,0.1590909090909091,0.14150943396226415,0.20202020202020202,0.13253012048192772,0.13333333333333333,0.11764705882352941,0.1,0.09876543209876543,0.11650485436893204,0.11818181818181818,0.21348314606741572,0.10465116279069768,0.1348314606741573,0.21839080459770116,0.13253012048192772,0.1553398058252427,0.12244897959183673,0.11842105263157894,0.15555555555555556,0.13402061855670103,0.09821428571428571,0.06578947368421052,0.1485148514851485,0.19801980198019803,0.1827956989247312,0.18556701030927836,0.11403508771929824,0.1414141414141414,0.15151515151515152,0.16,0.11016949152542373,0.22448979591836735,0.1958762886597938,0.13924050632911392,0.18604651162790697,0.16326530612244897,0.14285714285714285,0.14893617021276595,0.1509433962264151,0.10989010989010989,0.1619047619047619,0.1568627450980392,0.1511627906976744,0.15853658536585366,0.16666666666666666,0.13131313131313133,0.12222222222222222,0.14,0.16216216216216217,0.13829787234042554,0.1326530612244898,0.18085106382978725,0.1875,0.13131313131313133,0.1978021978021978,0.16494845360824742,0.12598425196850394,0.15294117647058825,0.1262135922330097,0.10344827586206896,0.12987012987012986,0.11363636363636363,0.1326530612244898,0.16176470588235295,0.14634146341463414,0.16666666666666666,0.17525773195876287,0.16666666666666666,0.1827956989247312,0.11764705882352941,0.14432989690721648,0.1588785046728972,0.15306122448979592,0.16842105263157894,0.18085106382978725,0.17777777777777778,0.16,0.14705882352941177,0.15463917525773196,0.14457831325301204,0.09278350515463918,0.16470588235294117,0.0891089108910891,0.11827956989247312,0.1,0.17592592592592593,0.17757009345794392,0.1625,0.1111111111111111,0.11827956989247312,0.16153846153846155,0.1523809523809524,0.15053763440860216,0.1978021978021978,0.13953488372093023,0.15789473684210525,0.14285714285714285,0.22115384615384615,0.14432989690721648
